Vg Id Ig
0.5 -2.246E-011 1.439E-011
0.486 -1.155E-011 1.17E-011
0.472 -1.147E-011 1.166E-011
0.458 -1.239E-011 1.051E-011
0.444 -1.337E-011 8.43E-012
0.43 -1.515E-011 7.34E-012
0.416 -1.636E-011 6.45E-012
0.402 -1.721E-011 4.18E-012
0.388 -1.858E-011 3.86E-012
0.374 -1.923E-011 2.34E-012
0.36 -1.999E-011 -2.6E-013
0.346 -2.191E-011 -3.72E-012
0.332 -2.098E-011 -6.39E-012
0.318 -2.068E-011 -5.94E-012
0.304 -2.017E-011 -7.26E-012
0.29 -1.934E-011 -7.39E-012
0.276 -1.823E-011 -6.98E-012
0.262 -1.756E-011 -7.4E-012
0.248 -1.597E-011 -8.28E-012
0.234 -1.45E-011 -6.77E-012
0.22 -1.275E-011 -8.37E-012
0.206 -1.127E-011 -7.4E-012
0.192 -9.36E-012 -7.16E-012
0.178 -7.03E-012 -7.47E-012
0.164 -3.71E-012 -6.51E-012
0.15 -3.54E-012 -7.01E-012
0.136 -2.83E-012 -5.9E-012
0.122 -1.59E-012 -6.02E-012
0.108 -3.15E-012 -5.4E-012
0.094 -3.81E-012 -5.45E-012
0.08 -6.84E-012 -4.49E-012
0.066 -1.324E-011 -4.61E-012
0.052 -2.319E-011 -2.74E-012
0.038 -4.243E-011 -2.15E-012
0.024 -7.268E-011 -1.33E-012
0.01 -1.2196E-010 -1.39E-012
-0.004 -2.0167E-010 -6.4E-013
-0.018 -3.2925E-010 2.79E-012
-0.032 -5.3725E-010 4.44E-012
-0.046 -8.6655E-010 4.97E-012
-0.06 -1.3799E-009 -5.16E-012
-0.074 -2.1607E-009 -4.55E-012
-0.088 -3.4204E-009 -6.14E-012
-0.102 -5.4267E-009 -5.55E-012
-0.116 -8.5456E-009 -6.92E-012
-0.13 -1.37602E-008 7.1E-012
-0.144 -2.17186E-008 -3.6E-013
-0.158 -3.26908E-008 -9.93E-012
-0.172 -4.97504E-008 -5.38E-012
-0.186 -7.8556E-008 7.2E-012
-0.2 -1.2458E-007 3.5E-013
-0.214 -1.904E-007 -4.1E-012
-0.228 -0.000000296 -8.54E-012
-0.242 -4.584E-007 -9.11E-012
-0.256 -7.0914E-007 -9.33E-012
-0.27 -0.000001111 1.5E-012
-0.284 -1.6673E-006 -3.01E-012
-0.298 -2.5161E-006 -6.19E-012
-0.312 -3.7594E-006 -8.11E-012
-0.326 -5.5699E-006 -1.045E-011
-0.34 -0.000008238 -1.162E-011
-0.354 -0.000012034 -9.49E-012
-0.368 -0.000017864 -4.76E-012
-0.382 -0.000026092 2.46E-012
-0.396 -0.000036698 5.88E-012
-0.41 -0.000050502 7.4E-012
-0.424 -0.000067726 7.42E-012
-0.438 -0.000087712 4.73E-012
-0.452 -0.00011248 -1.273E-011
-0.466 -0.00014528 -1.255E-011
-0.48 -0.00018556 -1.034E-011
-0.494 -0.00023566 -6.98E-012
-0.508 -0.00029292 -2.67E-012
-0.522 -0.00035884 1.09E-012
-0.536 -0.00043042 3.41E-012
-0.55 -0.00050788 4.84E-012
-0.564 -0.00059218 3.87E-012
-0.578 -0.00067794 3.26E-012
-0.592 -0.00076734 -1.76E-012
-0.606 -0.0008669 -7.74E-012
-0.62 -0.0009725 -1.256E-011
-0.634 -0.00108458 -1.641E-011
-0.648 -0.0012134 -4.38E-012
-0.662 -0.0013292 -9.73E-012
-0.676 -0.0014558 -1.437E-011
-0.69 -0.0015844 -1.7E-011
-0.704 -0.0017236 -1.391E-011
-0.718 -0.001869 -7.85E-012
-0.732 -0.0020112 -2.66E-012
-0.746 -0.0021436 -9.3E-013
-0.76 -0.0022728 -1.04E-012
-0.774 -0.00239 -4.04E-012
-0.788 -0.0025088 -9.35E-012
-0.802 -0.0026218 -1.587E-011
-0.816 -0.0027404 -2.112E-011
-0.83 -0.0028548 -2.49E-011
-0.844 -0.0029638 -2.467E-011
-0.858 -0.003071 -2.205E-011
-0.872 -0.0031698 -2.001E-011
-0.886 -0.0032684 -1.677E-011
-0.9 -0.0033566 -1.526E-011
-0.9 -0.0033372 -3.037E-011
-0.886 -0.0032502 -2.845E-011
-0.872 -0.003165 -2.468E-011
-0.858 -0.003074 -1.815E-011
-0.844 -0.0029786 -1.202E-011
-0.83 -0.002874 -7.45E-012
-0.816 -0.0027636 -4.57E-012
-0.802 -0.002642 -2.61E-012
-0.788 -0.0025118 -2.59E-012
-0.774 -0.0023762 -5.01E-012
-0.76 -0.0022412 -9.52E-012
-0.746 -0.0021038 -1.534E-011
-0.732 -0.0019726 -1.603E-011
-0.718 -0.0018486 -1.3E-011
-0.704 -0.0017204 -1.114E-011
-0.69 -0.0015922 -6.22E-012
-0.676 -0.0014708 -1.26E-012
-0.662 -0.001345 1.68E-012
-0.648 -0.001223 3.58E-012
-0.634 -0.0010998 4.4E-012
-0.62 -0.00098252 -1.65E-012
-0.606 -0.00087728 -1.13E-012
-0.592 -0.00077382 2.43E-012
-0.578 -0.00067858 5.18E-012
-0.564 -0.00058344 5.62E-012
-0.55 -0.00049318 3.93E-012
-0.536 -0.0004117 1.5E-013
-0.522 -0.00034104 -6.02E-012
-0.508 -0.00027882 -9.47E-012
-0.494 -0.00022582 -1.227E-011
-0.48 -0.00018036 -1.188E-011
-0.466 -0.00014332 -9.56E-012
-0.452 -0.0001125 -5.69E-012
-0.438 -0.000083468 -9.99E-012
-0.424 -0.000061922 -1.195E-011
-0.41 -0.00004568 -1.114E-011
-0.396 -0.000033978 -7.79E-012
-0.382 -0.00002459 -3.29E-012
-0.368 -0.00001776 1.51E-012
-0.354 -0.00001253 4.83E-012
-0.34 -7.9574E-006 -9.62E-012
-0.326 -5.5193E-006 -7.13E-012
-0.312 -3.7589E-006 -4.04E-012
-0.298 -2.5345E-006 -1.34E-012
-0.284 -0.000001691 1.66E-012
-0.27 -1.1282E-006 3.69E-012
-0.256 -6.8118E-007 -5.93E-012
-0.242 -4.3908E-007 -8.61E-012
-0.228 -2.8362E-007 -1.033E-011
-0.214 -1.834E-007 -8.79E-012
-0.2 -1.2254E-007 -7.78E-012
-0.186 -8.15678E-008 7.33E-012
-0.172 -5.21444E-008 -2.42E-012
-0.158 -3.15742E-008 -9.67E-012
-0.144 -1.94476E-008 -5.44E-012
-0.13 -1.24362E-008 6.28E-012
-0.116 -0.000000008 -1.02E-011
-0.102 -5.0849E-009 -9.41E-012
-0.088 -3.2182E-009 -1.042E-011
-0.074 -0.000000002 -1.009E-011
-0.06 -1.2791E-009 -1.021E-011
-0.046 -7.9502E-010 -3.92E-012
-0.032 -5.044E-010 -2.51E-012
