Vg Id Ig Vd
0.5 -8.4E-012 -5.49E-012 0.05
0.486 -1.86E-011 -6.41E-012 0.05
0.472 -1.818E-011 -6.83E-012 0.05
0.458 -1.775E-011 -7.03E-012 0.05
0.444 -1.654E-011 -8.47E-012 0.05
0.43 -1.626E-011 -7.97E-012 0.05
0.416 -1.467E-011 -9.38E-012 0.05
0.402 -1.368E-011 -8.01E-012 0.05
0.388 -1.187E-011 -9.46E-012 0.05
0.374 -9.28E-012 -8.7E-012 0.05
0.36 -7.29E-012 -9.33E-012 0.05
0.346 -5.54E-012 -8.07E-012 0.05
0.332 -2.25E-012 -8.88E-012 0.05
0.318 1.89E-012 -8.21E-012 0.05
0.304 1.272E-011 -4.84E-012 0.05
0.29 2.195E-011 -1.54E-012 0.05
0.276 2.192E-011 -1.73E-012 0.05
0.262 2.985E-011 2.78E-012 0.05
0.248 3.045E-011 3.14E-012 0.05
0.234 3.138E-011 3.67E-012 0.05
0.22 3.14E-011 3.35E-012 0.05
0.206 3.245E-011 4.13E-012 0.05
0.192 3.225E-011 5.14E-012 0.05
0.178 3.241E-011 5.33E-012 0.05
0.164 3.275E-011 6.29E-012 0.05
0.15 3.302E-011 5.14E-012 0.05
0.136 3.247E-011 3.41E-012 0.05
0.122 3.061E-011 3.2E-012 0.05
0.108 3.006E-011 3.43E-012 0.05
0.094 2.998E-011 4.51E-012 0.05
0.08 2.86E-011 3.46E-012 0.05
0.066 2.708E-011 5.37E-012 0.05
0.052 2.361E-011 5.26E-012 0.05
0.038 1.803E-011 6.5E-012 0.05
0.024 8.46E-012 7.53E-012 0.05
0.01 -9.45E-012 8.63E-012 0.05
-0.004 -3.856E-011 9.83E-012 0.05
-0.018 -8.457E-011 8.69E-012 0.05
-0.032 -1.4172E-010 7.81E-012 0.05
-0.046 -2.3158E-010 8.54E-012 0.05
-0.06 -3.7267E-010 7.87E-012 0.05
-0.074 -5.9313E-010 7.53E-012 0.05
-0.088 -9.4526E-010 7.25E-012 0.05
-0.102 -1.5826E-009 9.15E-012 0.05
-0.116 -2.5297E-009 7.88E-012 0.05
-0.13 -0.000000004 8.16E-012 0.05
-0.144 -6.3421E-009 7.74E-012 0.05
-0.158 -1.00541E-008 7.37E-012 0.05
-0.172 -1.44344E-008 2.15E-012 0.05
-0.186 -2.38422E-008 9.43E-012 0.05
-0.2 -4.00508E-008 4.86E-012 0.05
-0.214 -6.17008E-008 -4.37E-012 0.05
-0.228 -9.05854E-008 -9.77E-012 0.05
-0.242 -1.3708E-007 -9.16E-012 0.05
-0.256 -2.2182E-007 -6.91E-012 0.05
-0.27 -3.5064E-007 -1.83E-012 0.05
-0.284 -5.557E-007 2.38E-012 0.05
-0.298 -8.6272E-007 5.09E-012 0.05
-0.312 -1.1822E-006 -9.79E-012 0.05
-0.326 -1.8135E-006 -8.32E-012 0.05
-0.34 -2.7644E-006 -7.02E-012 0.05
-0.354 -4.1185E-006 -4.66E-012 0.05
-0.368 -6.0905E-006 -1.96E-012 0.05
-0.382 -8.8759E-006 5.8E-013 0.05
-0.396 -0.000012798 4.97E-012 0.05
-0.41 -0.000017656 7.21E-012 0.05
-0.424 -0.000023568 5.63E-012 0.05
-0.438 -0.000030844 6.2E-013 0.05
-0.452 -0.000040032 -5.06E-012 0.05
-0.466 -0.000051012 -1.024E-011 0.05
-0.48 -0.000064018 -1.361E-011 0.05
-0.494 -0.000078888 -1.439E-011 0.05
-0.508 -0.000095222 -1.4E-011 0.05
-0.522 -0.00011704 4.66E-012 0.05
-0.536 -0.00013452 4.99E-012 0.05
-0.55 -0.00015114 3.98E-012 0.05
-0.564 -0.00016678 -2.21E-012 0.05
-0.578 -0.00018292 -8.27E-012 0.05
-0.592 -0.00019892 -1.246E-011 0.05
-0.606 -0.00021538 -1.542E-011 0.05
-0.62 -0.00023092 -1.515E-011 0.05
-0.634 -0.00024564 -1.463E-011 0.05
-0.648 -0.00026054 -1.13E-011 0.05
-0.662 -0.0002741 -7.58E-012 0.05
-0.676 -0.00028648 -3.62E-012 0.05
-0.69 -0.00029792 -2.43E-012 0.05
-0.704 -0.0003079 -1.48E-012 0.05
-0.718 -0.00031698 -3.43E-012 0.05
-0.732 -0.00032468 -8.56E-012 0.05
-0.746 -0.00033216 -1.775E-011 0.05
-0.76 -0.0003404 -2.366E-011 0.05
-0.774 -0.00034784 -2.561E-011 0.05
-0.788 -0.00035528 -2.485E-011 0.05
-0.802 -0.00036228 -2.211E-011 0.05
-0.816 -0.00036916 -1.882E-011 0.05
-0.83 -0.0003754 -1.793E-011 0.05
-0.844 -0.00038074 -1.697E-011 0.05
-0.858 -0.00038594 -1.885E-011 0.05
-0.872 -0.0003903 -2.139E-011 0.05
-0.886 -0.00039574 -2.812E-011 0.05
-0.9 -0.00039992 -3.649E-011 0.05
-0.9 -0.00040024 -3.081E-011 0.05
-0.886 -0.00039618 -2.408E-011 0.05
-0.872 -0.00039096 -2.093E-011 0.05
-0.858 -0.0003859 -1.77E-011 0.05
-0.844 -0.00037956 -1.828E-011 0.05
-0.83 -0.00037394 -2.162E-011 0.05
-0.816 -0.00036732 -2.602E-011 0.05
-0.802 -0.00036156 -2.704E-011 0.05
-0.788 -0.00035392 -2.691E-011 0.05
-0.774 -0.0003468 -2.415E-011 0.05
-0.76 -0.00033956 -2.059E-011 0.05
-0.746 -0.00033248 -1.568E-011 0.05
-0.732 -0.0003246 -9.32E-012 0.05
-0.718 -0.00031572 -5.35E-012 0.05
-0.704 -0.00030622 -7.9E-013 0.05
-0.69 -0.00029544 9.1E-013 0.05
-0.676 -0.00028358 -2.8E-013 0.05
-0.662 -0.00027082 -5.59E-012 0.05
-0.648 -0.00025678 -1.442E-011 0.05
-0.634 -0.00024306 -1.646E-011 0.05
-0.62 -0.00022896 -1.606E-011 0.05
-0.606 -0.00021428 -1.492E-011 0.05
-0.592 -0.0001982 -1.342E-011 0.05
-0.578 -0.0001826 -9.94E-012 0.05
-0.564 -0.00016622 -5.04E-012 0.05
-0.55 -0.00015004 -4.3E-013 0.05
-0.536 -0.00013284 3.36E-012 0.05
-0.522 -0.00011542 4.9E-012 0.05
-0.508 -0.000095738 -7.91E-012 0.05
-0.494 -0.000080478 -3.48E-012 0.05
-0.48 -0.000066752 1.5E-012 0.05
-0.466 -0.000053304 4.85E-012 0.05
-0.452 -0.00004145 7.27E-012 0.05
-0.438 -0.000031196 6.82E-012 0.05
-0.424 -0.000022636 3.24E-012 0.05
-0.41 -0.000016148 -2.83E-012 0.05
-0.396 -0.000011458 -7.87E-012 0.05
-0.382 -8.7911E-006 8.23E-012 0.05
-0.368 -5.9513E-006 7.61E-012 0.05
-0.354 -4.1619E-006 8.37E-012 0.05
-0.34 -2.7294E-006 7.51E-012 0.05
-0.326 -1.7975E-006 6.13E-012 0.05
-0.312 -1.1823E-006 3.29E-012 0.05
-0.298 -8.1214E-007 -1.01E-012 0.05
-0.284 -5.4992E-007 3.22E-012 0.05
-0.27 -3.633E-007 7.21E-012 0.05
-0.256 -2.3072E-007 9.96E-012 0.05
-0.242 -1.3748E-007 4.06E-012 0.05
-0.228 -8.73528E-008 -9.25E-012 0.05
-0.214 -5.3457E-008 -3.88E-012 0.05
-0.2 -3.50618E-008 7.81E-012 0.05
-0.186 -2.43024E-008 7.66E-012 0.05
-0.172 -0.000000016 8E-013 0.05
-0.158 -9.623E-009 -8.39E-012 0.05
-0.144 -6.4613E-009 3.41E-012 0.05
-0.13 -0.000000004 3.92E-012 0.05
-0.116 -2.5486E-009 2.59E-012 0.05
-0.102 -1.6033E-009 1.99E-012 0.05
-0.088 -0.000000001 -3.14E-012 0.05
-0.074 -6.0671E-010 -7.94E-012 0.05
-0.06 -3.81E-010 -8.05E-012 0.05
-0.046 -2.3963E-010 -7.14E-012 0.05
-0.032 -1.508E-010 -7.11E-012 0.05
-0.018 -9.205E-011 -6.42E-012 0.05
-0.004 -5.401E-011 -9.03E-012 0.05
0.01 -4.59E-011 -8.54E-012 0.05
0.024 -3.054E-011 -8.41E-012 0.05
0.038 -1.965E-011 -8.37E-012 0.05
0.052 -1.317E-011 -8.41E-012 0.05
0.066 -6.76E-012 -7.7E-012 0.05
0.08 -1.75E-012 -7.56E-012 0.05
0.094 3.8E-013 -7.56E-012 0.05
0.108 3.79E-012 -6.63E-012 0.05
0.122 5.59E-012 -6.88E-012 0.05
0.136 8.1E-012 -6.11E-012 0.05
0.15 1.152E-011 -3.78E-012 0.05
0.164 1.25E-011 -4.77E-012 0.05
0.178 1.424E-011 -2.94E-012 0.05
0.192 1.581E-011 -2.49E-012 0.05
0.206 1.94E-011 -2.55E-012 0.05
0.22 2.045E-011 -1.01E-012 0.05
0.234 2.158E-011 -1.3E-013 0.05
0.248 2.292E-011 -2.2E-013 0.05
0.262 2.516E-011 9.1E-013 0.05
0.276 2.58E-011 1.3E-012 0.05
0.29 2.661E-011 2.4E-012 0.05
0.304 2.733E-011 3.09E-012 0.05
0.318 2.817E-011 3.84E-012 0.05
0.332 2.891E-011 4.16E-012 0.05
0.346 2.875E-011 6.12E-012 0.05
0.36 2.886E-011 4.21E-012 0.05
0.374 3E-011 6.28E-012 0.05
0.388 3.022E-011 5.79E-012 0.05
0.402 3.043E-011 6.57E-012 0.05
0.416 3.124E-011 7.31E-012 0.05
0.43 3.085E-011 7.26E-012 0.05
0.444 3.113E-011 8.28E-012 0.05
0.458 3.118E-011 9.16E-012 0.05
0.472 2.989E-011 6.12E-012 0.05
0.486 3.09E-011 7.39E-012 0.05
0.5 3.083E-011 8.45E-012 0.05
