Vd Vg Vs Vb Id Lg Ig  
-0.05 0.5 0.0 0.0 -8.4E-012 70e-9 -5.49E-012 
-0.05 0.486 0.0 0.0 -1.86E-011 70e-9 -6.41E-012 
-0.05 0.472 0.0 0.0 -1.818E-011 70e-9 -6.83E-012 
-0.05 0.458 0.0 0.0 -1.775E-011 70e-9 -7.03E-012 
-0.05 0.444 0.0 0.0 -1.654E-011 70e-9 -8.47E-012 
-0.05 0.43 0.0 0.0 -1.626E-011 70e-9 -7.97E-012 
-0.05 0.416 0.0 0.0 -1.467E-011 70e-9 -9.38E-012 
-0.05 0.402 0.0 0.0 -1.368E-011 70e-9 -8.01E-012 
-0.05 0.388 0.0 0.0 -1.187E-011 70e-9 -9.46E-012 
-0.05 0.374 0.0 0.0 -9.28E-012 70e-9 -8.7E-012 
-0.05 0.36 0.0 0.0 -7.29E-012 70e-9 -9.33E-012 
-0.05 0.346 0.0 0.0 -5.54E-012 70e-9 -8.07E-012 
-0.05 0.332 0.0 0.0 -2.25E-012 70e-9 -8.88E-012 
-0.05 0.318 0.0 0.0 1.89E-012 70e-9 -8.21E-012 
-0.05 0.304 0.0 0.0 1.272E-011 70e-9 -4.84E-012 
-0.05 0.29 0.0 0.0 2.195E-011 70e-9 -1.54E-012 
-0.05 0.276 0.0 0.0 2.192E-011 70e-9 -1.73E-012 
-0.05 0.262 0.0 0.0 2.985E-011 70e-9 2.78E-012 
-0.05 0.248 0.0 0.0 3.045E-011 70e-9 3.14E-012 
-0.05 0.234 0.0 0.0 3.138E-011 70e-9 3.67E-012 
-0.05 0.22 0.0 0.0 3.14E-011 70e-9 3.35E-012 
-0.05 0.206 0.0 0.0 3.245E-011 70e-9 4.13E-012 
-0.05 0.192 0.0 0.0 3.225E-011 70e-9 5.14E-012 
-0.05 0.178 0.0 0.0 3.241E-011 70e-9 5.33E-012 
-0.05 0.164 0.0 0.0 3.275E-011 70e-9 6.29E-012 
-0.05 0.15 0.0 0.0 3.302E-011 70e-9 5.14E-012 
-0.05 0.136 0.0 0.0 3.247E-011 70e-9 3.41E-012 
-0.05 0.122 0.0 0.0 3.061E-011 70e-9 3.2E-012 
