Vd Vg Vs Vb Ids  
-0.05 -0.9 0 0 -0.000410384880385
-0.5 -0.9 0 0 -0.00351332613844
-0.9 -0.9 0 0 -0.00423752710669
-0.05 -0.890909090909 0 0 -0.000411552471694
-0.5 -0.890909090909 0 0 -0.00344614176987
-0.9 -0.890909090909 0 0 -0.00412929056897
-0.05 -0.881818181818 0 0 -0.000412571048484
-0.5 -0.881818181818 0 0 -0.0033757909973
-0.9 -0.881818181818 0 0 -0.00402088780593
-0.05 -0.872727272727 0 0 -0.00041342418597
-0.5 -0.872727272727 0 0 -0.00330259284832
-0.9 -0.872727272727 0 0 -0.00391240523096
-0.05 -0.863636363636 0 0 -0.000414093941175
-0.5 -0.863636363636 0 0 -0.0032268439441
-0.9 -0.863636363636 0 0 -0.00380392753876
-0.05 -0.854545454545 0 0 -0.000414560742301
-0.5 -0.854545454545 0 0 -0.0031488075398
-0.9 -0.854545454545 0 0 -0.00369553815814
-0.05 -0.845454545455 0 0 -0.000414803281237
-0.5 -0.845454545455 0 0 -0.0030687122024
-0.9 -0.845454545455 0 0 -0.00358731966458
-0.05 -0.836363636364 0 0 -0.000414798414047
-0.5 -0.836363636364 0 0 -0.0029867592011
-0.9 -0.836363636364 0 0 -0.00347935414517
-0.05 -0.827272727273 0 0 -0.000414521076044
-0.5 -0.827272727273 0 0 -0.00290313496078
-0.9 -0.827272727273 0 0 -0.00337172351299
-0.05 -0.818181818182 0 0 -0.000413944220341
-0.5 -0.818181818182 0 0 -0.0028180239405
-0.9 -0.818181818182 0 0 -0.00326450977105
-0.05 -0.809090909091 0 0 -0.000413038791687
-0.5 -0.809090909091 0 0 -0.00273161825572
-0.9 -0.809090909091 0 0 -0.00315779522882
-0.05 -0.8 0 0 -0.000411773751037
-0.5 -0.8 0 0 -0.00264412239622
-0.9 -0.8 0 0 -0.00305166267573
-0.05 -0.790909090909 0 0 -0.000410116170859
-0.5 -0.790909090909 0 0 -0.0025557533395
-0.9 -0.790909090909 0 0 -0.00294619551709
-0.05 -0.781818181818 0 0 -0.000408031426753
-0.5 -0.781818181818 0 0 -0.00246673749949
-0.9 -0.781818181818 0 0 -0.00284147787833
-0.05 -0.772727272727 0 0 -0.00040548351762
-0.5 -0.772727272727 0 0 -0.00237730619513
-0.9 -0.772727272727 0 0 -0.00273759468274
-0.05 -0.763636363636 0 0 -0.000402435554489
-0.5 -0.763636363636 0 0 -0.00228769098306
-0.9 -0.763636363636 0 0 -0.00263463170705
-0.05 -0.754545454545 0 0 -0.000398850466956
-0.5 -0.754545454545 0 0 -0.00219811965464
-0.9 -0.754545454545 0 0 -0.00253267561733
-0.05 -0.745454545455 0 0 -0.000394691985659
-0.5 -0.745454545455 0 0 -0.00210881320932
-0.9 -0.745454545455 0 0 -0.0024318139847
-0.05 -0.736363636364 0 0 -0.000389925968393
-0.5 -0.736363636364 0 0 -0.00201998378826
-0.9 -0.736363636364 0 0 -0.00233213527686
-0.05 -0.727272727273 0 0 -0.000384522144443
-0.5 -0.727272727273 0 0 -0.00193183338346
-0.9 -0.727272727273 0 0 -0.00223372881634
-0.05 -0.718181818182 0 0 -0.0003784563531
-0.5 -0.718181818182 0 0 -0.00184455308092
-0.9 -0.718181818182 0 0 -0.00213668469021
-0.05 -0.709090909091 0 0 -0.00037171334189
-0.5 -0.709090909091 0 0 -0.00175832260359
-0.9 -0.709090909091 0 0 -0.00204109358873
-0.05 -0.7 0 0 -0.000364290156601
-0.5 -0.7 0 0 -0.00167330995416
-0.9 -0.7 0 0 -0.00194704654217
-0.05 -0.690909090909 0 0 -0.000356200079061
-0.5 -0.690909090909 0 0 -0.00158967100001
-0.9 -0.690909090909 0 0 -0.00185463451662
-0.05 -0.681818181818 0 0 -0.00034747691621
-0.5 -0.681818181818 0 0 -0.00150754888691
-0.9 -0.681818181818 0 0 -0.00176394782271
-0.05 -0.672727272727 0 0 -0.000338179162952
-0.5 -0.672727272727 0 0 -0.00142707321392
-0.9 -0.672727272727 0 0 -0.00167507528728
-0.05 -0.663636363636 0 0 -0.000328393086639
-0.5 -0.663636363636 0 0 -0.00134835895565
-0.9 -0.663636363636 0 0 -0.00158810314067
-0.05 -0.654545454545 0 0 -0.000318233080785
-0.5 -0.654545454545 0 0 -0.0012715051852
-0.9 -0.654545454545 0 0 -0.00150311358462
-0.05 -0.645454545455 0 0 -0.000307836838671
-0.5 -0.645454545455 0 0 -0.00119659373594
-0.9 -0.645454545455 0 0 -0.00142018303251
-0.05 -0.636363636364 0 0 -0.000297352509512
-0.5 -0.636363636364 0 0 -0.00112368804428
-0.9 -0.636363636364 0 0 -0.00133938005884
-0.05 -0.627272727273 0 0 -0.000286916025304
-0.5 -0.627272727273 0 0 -0.00105283252868
-0.9 -0.627272727273 0 0 -0.00126076316164
-0.05 -0.618181818182 0 0 -0.000276620293812
-0.5 -0.618181818182 0 0 -0.00098405296077
-0.9 -0.618181818182 0 0 -0.00118437853142
-0.05 -0.609090909091 0 0 -0.00026648373462
-0.5 -0.609090909091 0 0 -0.000917358329004
-0.9 -0.609090909091 0 0 -0.00111025812749
-0.05 -0.6 0 0 -0.000256430797923
-0.5 -0.6 0 0 -0.000852744627031
-0.9 -0.6 0 0 -0.0010384184738
-0.05 -0.590909090909 0 0 -0.000246296865854
-0.5 -0.590909090909 0 0 -0.000790200757011
-0.9 -0.590909090909 0 0 -0.000968860670871
-0.05 -0.581818181818 0 0 -0.000235861646467
-0.5 -0.581818181818 0 0 -0.000729716299092
-0.9 -0.581818181818 0 0 -0.000901572132811
-0.05 -0.572727272727 0 0 -0.000224902210047
-0.5 -0.572727272727 0 0 -0.000671290316886
-0.9 -0.572727272727 0 0 -0.000836530437673
-0.05 -0.563636363636 0 0 -0.000213247231127
-0.5 -0.563636363636 0 0 -0.000614939808348
-0.9 -0.563636363636 0 0 -0.00077370937576
-0.05 -0.554545454545 0 0 -0.000200814090612
-0.5 -0.554545454545 0 0 -0.000560706110861
-0.9 -0.554545454545 0 0 -0.000713086788101
-0.05 -0.545454545455 0 0 -0.00018761970116
-0.5 -0.545454545455 0 0 -0.000508657735519
-0.9 -0.545454545455 0 0 -0.000654653190734
-0.05 -0.536363636364 0 0 -0.000173767901464
-0.5 -0.536363636364 0 0 -0.000458888776007
-0.9 -0.536363636364 0 0 -0.000598419667592
-0.05 -0.527272727273 0 0 -0.000159424276078
-0.5 -0.527272727273 0 0 -0.000411513016939
-0.9 -0.527272727273 0 0 -0.000544423326419
-0.05 -0.518181818182 0 0 -0.000144790413952
-0.5 -0.518181818182 0 0 -0.000366654810528
-0.9 -0.518181818182 0 0 -0.000492728919788
-0.05 -0.509090909091 0 0 -0.000130085285599
-0.5 -0.509090909091 0 0 -0.00032443838616
-0.9 -0.509090909091 0 0 -0.000443426013145
-0.05 -0.5 0 0 -0.000115535078575
-0.5 -0.5 0 0 -0.000284977362017
-0.9 -0.5 0 0 -0.000396622087098
-0.05 -0.490909090909 0 0 -0.000101367848147
-0.5 -0.490909090909 0 0 -0.000248365880278
-0.9 -0.490909090909 0 0 -0.000352432839154
-0.05 -0.481818181818 0 0 -8.78076665012e-05
-0.5 -0.481818181818 0 0 -0.000214672138026
-0.9 -0.481818181818 0 0 -0.000310971422539
-0.05 -0.472727272727 0 0 -7.50646737527e-05
-0.5 -0.472727272727 0 0 -0.000183934334371
-0.9 -0.472727272727 0 0 -0.000272338331645
-0.05 -0.463636363636 0 0 -6.33209970596e-05
-0.5 -0.463636363636 0 0 -0.000156158420347
-0.9 -0.463636363636 0 0 -0.000236613189399
-0.05 -0.454545454545 0 0 -5.27156918971e-05
-0.5 -0.454545454545 0 0 -0.000131316728365
-0.9 -0.454545454545 0 0 -0.000203848984356
-0.05 -0.445454545455 0 0 -4.33330888447e-05
-0.5 -0.445454545455 0 0 -0.000109346702482
-0.9 -0.445454545455 0 0 -0.000174068561634
-0.05 -0.436363636364 0 0 -3.51979815734e-05
-0.5 -0.436363636364 0 0 -9.01495274331e-05
-0.9 -0.436363636364 0 0 -0.000147262620158
-0.05 -0.427272727273 0 0 -2.8278830801e-05
-0.5 -0.427272727273 0 0 -7.35892451827e-05
-0.9 -0.427272727273 0 0 -0.00012338830167
-0.05 -0.418181818182 0 0 -2.24977668849e-05
-0.5 -0.418181818182 0 0 -5.94935724123e-05
-0.9 -0.418181818182 0 0 -0.000102367759828
-0.05 -0.409090909091 0 0 -1.77445753497e-05
-0.5 -0.409090909091 0 0 -4.76576972736e-05
-0.9 -0.409090909091 0 0 -8.40867803967e-05
-0.05 -0.4 0 0 -1.38914509254e-05
-0.5 -0.4 0 0 -3.78516707437e-05
-0.9 -0.4 0 0 -6.83943000978e-05
-0.05 -0.390909090909 0 0 -1.08059510549e-05
-0.5 -0.390909090909 0 0 -2.98308583792e-05
-0.9 -0.390909090909 0 0 -5.51041333994e-05
-0.05 -0.381818181818 0 0 -8.36073944216e-06
-0.5 -0.381818181818 0 0 -2.33478559797e-05
-0.9 -0.381818181818 0 0 -4.40000210621e-05
-0.05 -0.372727272727 0 0 -6.43982357839e-06
-0.5 -0.372727272727 0 0 -1.81638392517e-05
-0.9 -0.372727272727 0 0 -3.48442281338e-05
-0.05 -0.363636363636 0 0 -4.94173264755e-06
-0.5 -0.363636363636 0 0 -1.40576565145e-05
-0.9 -0.363636363636 0 0 -2.73887288364e-05
-0.05 -0.354545454545 0 0 -3.78040671327e-06
-0.5 -0.354545454545 0 0 -1.08317920384e-05
-0.9 -0.354545454545 0 0 -2.13871338344e-05
-0.05 -0.345454545455 0 0 -2.88458926943e-06
-0.5 -0.345454545455 0 0 -8.31517742498e-06
-0.9 -0.345454545455 0 0 -1.66053700486e-05
-0.05 -0.336363636364 0 0 -2.19637990612e-06
-0.5 -0.336363636364 0 0 -6.36340387716e-06
-0.9 -0.336363636364 0 0 -1.28296846159e-05
-0.05 -0.327272727273 0 0 -1.66942208875e-06
-0.5 -0.327272727273 0 0 -4.8571202031e-06
-0.9 -0.327272727273 0 0 -9.87142368285e-06
-0.05 -0.318181818182 0 0 -1.26703330478e-06
-0.5 -0.318181818182 0 0 -3.69937668622e-06
-0.9 -0.318181818182 0 0 -7.56881066818e-06
-0.05 -0.309090909091 0 0 -9.60454365622e-07
-0.5 -0.309090909091 0 0 -2.81251985088e-06
-0.9 -0.309090909091 0 0 -5.78639782526e-06
-0.05 -0.3 0 0 -7.27303868178e-07
-0.5 -0.3 0 0 -2.13505557021e-06
-0.9 -0.3 0 0 -4.41299036974e-06
-0.05 -0.290909090909 0 0 -5.5026615992e-07
-0.5 -0.290909090909 0 0 -1.61873167618e-06
-0.9 -0.290909090909 0 0 -3.3587568072e-06
-0.05 -0.281818181818 0 0 -4.16007817883e-07
-0.5 -0.281818181818 0 0 -1.22596585464e-06
-0.9 -0.281818181818 0 0 -2.55206321139e-06
-0.05 -0.272727272727 0 0 -3.14300661616e-07
-0.5 -0.272727272727 0 0 -9.27660459552e-07
-0.9 -0.272727272727 0 0 -1.93638504178e-06
-0.05 -0.263636363636 0 0 -2.37322524518e-07
-0.5 -0.263636363636 0 0 -7.01395181734e-07
-0.9 -0.263636363636 0 0 -1.46749745006e-06
-0.05 -0.254545454545 0 0 -1.79106089768e-07
-0.5 -0.254545454545 0 0 -5.29961771005e-07
-0.9 -0.254545454545 0 0 -1.11103498333e-06
-0.05 -0.245454545455 0 0 -1.3510824606e-07
-0.5 -0.245454545455 0 0 -4.00193908322e-07
-0.9 -0.245454545455 0 0 -8.40440527979e-07
-0.05 -0.236363636364 0 0 -1.01875907624e-07
-0.5 -0.236363636364 0 0 -3.02043568691e-07
-0.9 -0.236363636364 0 0 -6.35282325721e-07
-0.05 -0.227272727273 0 0 -7.67880816324e-08
-0.5 -0.227272727273 0 0 -2.27858492997e-07
-0.9 -0.227272727273 0 0 -4.79897655118e-07
-0.05 -0.218181818182 0 0 -5.78576320214e-08
-0.5 -0.218181818182 0 0 -1.71820951909e-07
-0.9 -0.218181818182 0 0 -3.62314668716e-07
-0.05 -0.209090909091 0 0 -4.3579439516e-08
-0.5 -0.209090909091 0 0 -1.29514211057e-07
-0.9 -0.209090909091 0 0 -2.7340436289e-07
-0.05 -0.2 0 0 -3.28144151606e-08
-0.5 -0.2 0 0 -9.75891135322e-08
-0.9 -0.2 0 0 -2.06219029919e-07
-0.05 -0.190909090909 0 0 -2.47010960824e-08
-0.5 -0.190909090909 0 0 -7.35085587955e-08
-0.9 -0.190909090909 0 0 -1.55479508343e-07
-0.05 -0.181818181818 0 0 -1.85883843756e-08
-0.5 -0.181818181818 0 0 -5.53522317781e-08
-0.9 -0.181818181818 0 0 -1.17179785697e-07
-0.05 -0.172727272727 0 0 -1.39844473806e-08
-0.5 -0.172727272727 0 0 -4.16677157049e-08
-0.9 -0.172727272727 0 0 -8.82833294665e-08
-0.05 -0.163636363636 0 0 -1.05179429949e-08
-0.5 -0.163636363636 0 0 -3.13571815967e-08
-0.9 -0.163636363636 0 0 -6.64906219717e-08
-0.05 -0.154545454545 0 0 -7.9086269738e-09
-0.5 -0.154545454545 0 0 -2.35912848966e-08
-0.9 -0.154545454545 0 0 -5.0061667066e-08
-0.05 -0.145454545455 0 0 -5.94509151432e-09
-0.5 -0.145454545455 0 0 -1.77438185889e-08
-0.9 -0.145454545455 0 0 -3.76807563611e-08
-0.05 -0.136363636364 0 0 -4.46791733164e-09
-0.5 -0.136363636364 0 0 -1.33421713945e-08
-0.9 -0.136363636364 0 0 -2.83536108859e-08
-0.05 -0.127272727273 0 0 -3.35693136921e-09
-0.5 -0.127272727273 0 0 -1.00298017105e-08
-0.9 -0.127272727273 0 0 -2.13292586598e-08
-0.05 -0.118181818182 0 0 -2.52157498089e-09
-0.5 -0.118181818182 0 0 -7.53783478115e-09
-0.9 -0.118181818182 0 0 -1.60407691112e-08
-0.05 -0.109090909091 0 0 -1.8936274749e-09
-0.5 -0.109090909091 0 0 -5.66357945254e-09
-0.9 -0.109090909091 0 0 -1.20603374318e-08
-0.05 -0.1 0 0 -1.4217114179e-09
-0.5 -0.1 0 0 -4.25428814196e-09
-0.9 -0.1 0 0 -9.06527275091e-09
-0.05 -0.0909090909091 0 0 -1.06714519497e-09
-0.5 -0.0909090909091 0 0 -3.19488718257e-09
-0.9 -0.0909090909091 0 0 -6.8122618269e-09
-0.05 -0.0818181818182 0 0 -8.00813911751e-10
-0.5 -0.0818181818182 0 0 -2.39871101262e-09
-0.9 -0.0818181818182 0 0 -5.11790707687e-09
-0.05 -0.0727272727273 0 0 -6.00809239253e-10
-0.5 -0.0727272727273 0 0 -1.8005081077e-09
-0.9 -0.0727272727273 0 0 -3.84401785444e-09
-0.05 -0.0636363636364 0 0 -4.50650030391e-10
-0.5 -0.0636363636364 0 0 -1.35116349339e-09
-0.9 -0.0636363636364 0 0 -2.88649942439e-09
-0.05 -0.0545454545455 0 0 -3.37941092472e-10
-0.5 -0.0545454545455 0 0 -1.0137183921e-09
-0.9 -0.0545454545455 0 0 -2.1669637589e-09
-0.05 -0.0454545454545 0 0 -2.53362593155e-10
-0.5 -0.0454545454545 0 0 -7.60368836133e-10
-0.9 -0.0454545454545 0 0 -1.62639814534e-09
-0.05 -0.0363636363636 0 0 -1.89908820973e-10
-0.5 -0.0363636363636 0 0 -5.70203571063e-10
-0.9 -0.0363636363636 0 0 -1.2203883482e-09
-0.05 -0.0272727272727 0 0 -1.42314922369e-10
-0.5 -0.0272727272727 0 0 -4.27499280165e-10
-0.9 -0.0272727272727 0 0 -9.15516438355e-10
-0.05 -0.0181818181818 0 0 -1.06625275461e-10
-0.5 -0.0181818181818 0 0 -3.20436569288e-10
-0.9 -0.0181818181818 0 0 -6.86644811758e-10
-0.05 -0.00909090909091 0 0 -7.9868683454e-11
-0.5 -0.00909090909091 0 0 -2.40132894296e-10
-0.9 -0.00909090909091 0 0 -5.14869501772e-10
-0.05 0.0 0 0 -5.98139089357e-11
-0.5 0.0 0 0 -1.79914492027e-10
-0.9 0.0 0 0 -3.85977944564e-10
