Vd Vg Vs Vb Ids  
-0.05 -0.9 0 0 -0.000375941537397
-0.5 -0.9 0 0 -0.00334817161709
-0.9 -0.9 0 0 -0.00404942067561
-0.05 -0.890909090909 0 0 -0.00037957252951
-0.5 -0.890909090909 0 0 -0.00329914298623
-0.9 -0.890909090909 0 0 -0.00396107016877
-0.05 -0.881818181818 0 0 -0.000383116140799
-0.5 -0.881818181818 0 0 -0.00324623368149
-0.9 -0.881818181818 0 0 -0.00387160789087
-0.05 -0.872727272727 0 0 -0.000386552574767
-0.5 -0.872727272727 0 0 -0.00318965000859
-0.9 -0.872727272727 0 0 -0.0037811373404
-0.05 -0.863636363636 0 0 -0.000389859730631
-0.5 -0.863636363636 0 0 -0.00312960797692
-0.9 -0.863636363636 0 0 -0.00368975765028
-0.05 -0.854545454545 0 0 -0.000393013010435
-0.5 -0.854545454545 0 0 -0.00306632849929
-0.9 -0.854545454545 0 0 -0.00359756407495
-0.05 -0.845454545455 0 0 -0.000395985128616
-0.5 -0.845454545455 0 0 -0.00300003450107
-0.9 -0.845454545455 0 0 -0.00350464856394
-0.05 -0.836363636364 0 0 -0.000398745931394
-0.5 -0.836363636364 0 0 -0.00293094968942
-0.9 -0.836363636364 0 0 -0.00341110040394
-0.05 -0.827272727273 0 0 -0.000401262235988
-0.5 -0.827272727273 0 0 -0.00285929845825
-0.9 -0.827272727273 0 0 -0.00331700691204
-0.05 -0.818181818182 0 0 -0.000403497702964
-0.5 -0.818181818182 0 0 -0.0027853063207
-0.9 -0.818181818182 0 0 -0.00322245416289
-0.05 -0.809090909091 0 0 -0.000405412759071
-0.5 -0.809090909091 0 0 -0.00270920035086
-0.9 -0.809090909091 0 0 -0.00312752773298
-0.05 -0.8 0 0 -0.000406964592888
-0.5 -0.8 0 0 -0.00263120930914
-0.9 -0.8 0 0 -0.00303231344559
-0.05 -0.790909090909 0 0 -0.000408107251365
-0.5 -0.790909090909 0 0 -0.0025515633369
-0.9 -0.790909090909 0 0 -0.00293689810034
-0.05 -0.781818181818 0 0 -0.000408791872128
-0.5 -0.781818181818 0 0 -0.00247049327156
-0.9 -0.781818181818 0 0 -0.0028413701715
-0.05 -0.772727272727 0 0 -0.000408967093847
-0.5 -0.772727272727 0 0 -0.00238822972446
-0.9 -0.772727272727 0 0 -0.0027458204594
-0.05 -0.763636363636 0 0 -0.000408579694855
-0.5 -0.763636363636 0 0 -0.00230500208274
-0.9 -0.763636363636 0 0 -0.00265034267915
-0.05 -0.754545454545 0 0 -0.00040757551783
-0.5 -0.754545454545 0 0 -0.00222103756572
-0.9 -0.754545454545 0 0 -0.00255503397096
-0.05 -0.745454545455 0 0 -0.00040590074455
-0.5 -0.745454545455 0 0 -0.00213656041085
-0.9 -0.745454545455 0 0 -0.00245999531575
-0.05 -0.736363636364 0 0 -0.000403503587445
-0.5 -0.736363636364 0 0 -0.00205179120675
-0.9 -0.736363636364 0 0 -0.002365331839
-0.05 -0.727272727273 0 0 -0.000400336460733
-0.5 -0.727272727273 0 0 -0.00196694634294
-0.9 -0.727272727273 0 0 -0.00227115298499
-0.05 -0.718181818182 0 0 -0.000396358677708
-0.5 -0.718181818182 0 0 -0.00188223751413
-0.9 -0.718181818182 0 0 -0.00217757254206
-0.05 -0.709090909091 0 0 -0.000391539683462
-0.5 -0.709090909091 0 0 -0.00179787120031
-0.9 -0.709090909091 0 0 -0.00208470849773
-0.05 -0.7 0 0 -0.000385862759694
-0.5 -0.7 0 0 -0.00171404804121
-0.9 -0.7 0 0 -0.00199268270099
-0.05 -0.690909090909 0 0 -0.000379329009044
-0.5 -0.690909090909 0 0 -0.00163096203125
-0.9 -0.690909090909 0 0 -0.00190162030699
-0.05 -0.681818181818 0 0 -0.000371961213174
-0.5 -0.681818181818 0 0 -0.00154879947859
-0.9 -0.681818181818 0 0 -0.00181164897893
-0.05 -0.672727272727 0 0 -0.000363806837826
-0.5 -0.672727272727 0 0 -0.00146773769799
-0.9 -0.672727272727 0 0 -0.00172289782246
-0.05 -0.663636363636 0 0 -0.000354939038657
-0.5 -0.663636363636 0 0 -0.00138794344519
-0.9 -0.663636363636 0 0 -0.00163549603272
-0.05 -0.654545454545 0 0 -0.000345454105326
-0.5 -0.654545454545 0 0 -0.00130957115129
-0.9 -0.654545454545 0 0 -0.00154957124434
-0.05 -0.645454545455 0 0 -0.000335463637413
-0.5 -0.645454545455 0 0 -0.00123276108386
-0.9 -0.645454545455 0 0 -0.00146524759394
-0.05 -0.636363636364 0 0 -0.000325080329414
-0.5 -0.636363636364 0 0 -0.00115763764477
-0.9 -0.636363636364 0 0 -0.00138264353724
