Vd Vg Vs Vb Lg Ids Qg  
-0.05 -0.9 0 0 7e-08 -0.000375941537397 -1.57686265299e-14
-0.5 -0.9 0 0 7e-08 -0.00334817161709 -8.14361340506e-15
-0.9 -0.9 0 0 7e-08 -0.00404942067561 -7.52017556798e-15
-0.05 -0.890909090909 0 0 7e-08 -0.00037957252951 -1.5198695303e-14
-0.5 -0.890909090909 0 0 7e-08 -0.00329914298623 -7.82637843465e-15
-0.9 -0.890909090909 0 0 7e-08 -0.00396107016877 -7.29443147634e-15
-0.05 -0.881818181818 0 0 7e-08 -0.000383116140799 -1.4635920684e-14
-0.5 -0.881818181818 0 0 7e-08 -0.00324623368149 -7.5201776939e-15
-0.9 -0.881818181818 0 0 7e-08 -0.00387160789087 -7.07319308074e-15
-0.05 -0.872727272727 0 0 7e-08 -0.000386552574767 -1.40805720269e-14
-0.5 -0.872727272727 0 0 7e-08 -0.00318965000859 -7.22461593813e-15
-0.9 -0.872727272727 0 0 7e-08 -0.0037811373404 -6.85631364109e-15
-0.05 -0.863636363636 0 0 7e-08 -0.000389859730631 -1.35329301403e-14
-0.5 -0.863636363636 0 0 7e-08 -0.00312960797692 -6.93930013426e-15
-0.9 -0.863636363636 0 0 7e-08 -0.00368975765028 -6.64365884232e-15
-0.05 -0.854545454545 0 0 7e-08 -0.000393013010435 -1.29932873823e-14
-0.5 -0.854545454545 0 0 7e-08 -0.00306632849929 -6.66384787541e-15
-0.9 -0.854545454545 0 0 7e-08 -0.00359756407495 -6.43510621994e-15
-0.05 -0.845454545455 0 0 7e-08 -0.000395985128616 -1.24619476343e-14
-0.5 -0.845454545455 0 0 7e-08 -0.00300003450107 -6.39789131412e-15
-0.9 -0.845454545455 0 0 7e-08 -0.00350464856394 -6.23054443232e-15
-0.05 -0.836363636364 0 0 7e-08 -0.000398745931394 -1.1939226124e-14
-0.5 -0.836363636364 0 0 7e-08 -0.00293094968942 -6.14107721417e-15
-0.9 -0.836363636364 0 0 7e-08 -0.00341110040394 -6.02987242054e-15
-0.05 -0.827272727273 0 0 7e-08 -0.000401262235988 -1.14254490532e-14
-0.5 -0.827272727273 0 0 7e-08 -0.00285929845825 -5.89306438998e-15
-0.9 -0.827272727273 0 0 7e-08 -0.00331700691204 -5.83299849637e-15
-0.05 -0.818181818182 0 0 7e-08 -0.000403497702964 -1.09209529868e-14
-0.5 -0.818181818182 0 0 7e-08 -0.0027853063207 -5.6535200494e-15
-0.9 -0.818181818182 0 0 7e-08 -0.00322245416289 -5.63983939642e-15
-0.05 -0.809090909091 0 0 7e-08 -0.000405412759071 -1.04260839407e-14
-0.5 -0.809090909091 0 0 7e-08 -0.00270920035086 -5.42211638856e-15
-0.9 -0.809090909091 0 0 7e-08 -0.00312752773298 -5.45031933657e-15
-0.05 -0.8 0 0 7e-08 -0.000406964592888 -9.94119610291e-15
-0.5 -0.8 0 0 7e-08 -0.00263120930914 -5.1985283441e-15
-0.9 -0.8 0 0 7e-08 -0.00303231344559 -5.26436909702e-15
-0.05 -0.790909090909 0 0 7e-08 -0.000408107251365 -9.46665010506e-15
-0.5 -0.790909090909 0 0 7e-08 -0.0025515633369 -4.98243287911e-15
-0.9 -0.790909090909 0 0 7e-08 -0.00293689810034 -5.08192516283e-15
-0.05 -0.781818181818 0 0 7e-08 -0.000408791872128 -9.00281074826e-15
-0.5 -0.781818181818 0 0 7e-08 -0.00247049327156 -4.77350972506e-15
-0.9 -0.781818181818 0 0 7e-08 -0.0028413701715 -4.90292893966e-15
