Vd Vg Vs Vb Ids  
-0.05 -0.9 0 0 -0.000432634068114
-0.5 -0.9 0 0 -0.00346236460176
-0.9 -0.9 0 0 -0.0042750165879
-0.05 -0.890909090909 0 0 -0.000431122442257
-0.5 -0.890909090909 0 0 -0.00339442576429
-0.9 -0.890909090909 0 0 -0.00416577891141
-0.05 -0.881818181818 0 0 -0.000429525103823
-0.5 -0.881818181818 0 0 -0.00332397791716
-0.9 -0.881818181818 0 0 -0.00405663439096
-0.05 -0.872727272727 0 0 -0.000427835631025
-0.5 -0.872727272727 0 0 -0.00325117922242
-0.9 -0.872727272727 0 0 -0.00394764337826
-0.05 -0.863636363636 0 0 -0.000426047038359
-0.5 -0.863636363636 0 0 -0.0031761960762
-0.9 -0.863636363636 0 0 -0.0038388641933
-0.05 -0.854545454545 0 0 -0.000424151725244
-0.5 -0.854545454545 0 0 -0.00309919617967
-0.9 -0.854545454545 0 0 -0.0037303536334
-0.05 -0.845454545455 0 0 -0.000422141421044
-0.5 -0.845454545455 0 0 -0.00302034406182
-0.9 -0.845454545455 0 0 -0.00362216731345
-0.05 -0.836363636364 0 0 -0.000420007126688
-0.5 -0.836363636364 0 0 -0.00293980014089
-0.9 -0.836363636364 0 0 -0.00351435989814
-0.05 -0.827272727273 0 0 -0.000417739053354
-0.5 -0.827272727273 0 0 -0.00285772299593
-0.9 -0.827272727273 0 0 -0.00340698527754
-0.05 -0.818181818182 0 0 -0.000415326559001
-0.5 -0.818181818182 0 0 -0.00277427317445
-0.9 -0.818181818182 0 0 -0.00330009672719
-0.05 -0.809090909091 0 0 -0.000412758083978
-0.5 -0.809090909091 0 0 -0.00268961659157
-0.9 -0.809090909091 0 0 -0.00319374708462
-0.05 -0.8 0 0 -0.000410021087503
-0.5 -0.8 0 0 -0.00260392655167
-0.9 -0.8 0 0 -0.00308798896656
-0.05 -0.790909090909 0 0 -0.000407101987665
-0.5 -0.790909090909 0 0 -0.00251738468546
-0.9 -0.790909090909 0 0 -0.00298287504407
-0.05 -0.781818181818 0 0 -0.000403986108566
-0.5 -0.781818181818 0 0 -0.0024301814529
-0.9 -0.781818181818 0 0 -0.00287845838683
-0.05 -0.772727272727 0 0 -0.000400657639672
-0.5 -0.772727272727 0 0 -0.00234251609323
-0.9 -0.772727272727 0 0 -0.00277479288171
-0.05 -0.763636363636 0 0 -0.000397099614119
-0.5 -0.763636363636 0 0 -0.00225459501511
-0.9 -0.763636363636 0 0 -0.00267193372459
-0.05 -0.754545454545 0 0 -0.000393293914952
-0.5 -0.754545454545 0 0 -0.00216662783598
-0.9 -0.754545454545 0 0 -0.00256993797838
-0.05 -0.745454545455 0 0 -0.000389221320879
-0.5 -0.745454545455 0 0 -0.00207882164984
-0.9 -0.745454545455 0 0 -0.00246886518305
-0.05 -0.736363636364 0 0 -0.000384861606198
-0.5 -0.736363636364 0 0 -0.00199137533637
-0.9 -0.736363636364 0 0 -0.00236877799748
-0.05 -0.727272727273 0 0 -0.000380193712743
-0.5 -0.727272727273 0 0 -0.00190447568475
-0.9 -0.727272727273 0 0 -0.00226974284551
-0.05 -0.718181818182 0 0 -0.000375196014621
-0.5 -0.718181818182 0 0 -0.00181829602983
-0.9 -0.718181818182 0 0 -0.00217183053294
-0.05 -0.709090909091 0 0 -0.000369846698131
-0.5 -0.709090909091 0 0 -0.00173299700488
-0.9 -0.709090909091 0 0 -0.00207511679632
-0.05 -0.7 0 0 -0.000364124277819
-0.5 -0.7 0 0 -0.00164872851438
-0.9 -0.7 0 0 -0.00197968274032
-0.05 -0.690909090909 0 0 -0.000358008262561
-0.5 -0.690909090909 0 0 -0.00156563206819
-0.9 -0.690909090909 0 0 -0.0018856151178
-0.05 -0.681818181818 0 0 -0.000351479968924
-0.5 -0.681818181818 0 0 -0.00148384289131
-0.9 -0.681818181818 0 0 -0.00179300640646
-0.05 -0.672727272727 0 0 -0.000344523448436
-0.5 -0.672727272727 0 0 -0.00140349150387
-0.9 -0.672727272727 0 0 -0.00170195463847
-0.05 -0.663636363636 0 0 -0.000337126446854
-0.5 -0.663636363636 0 0 -0.0013247046662
-0.9 -0.663636363636 0 0 -0.00161256294521
-0.05 -0.654545454545 0 0 -0.000329281247286
-0.5 -0.654545454545 0 0 -0.00124760569961
-0.9 -0.654545454545 0 0 -0.00152493878891
-0.05 -0.645454545455 0 0 -0.000320985174523
-0.5 -0.645454545455 0 0 -0.00117231425147
-0.9 -0.645454545455 0 0 -0.00143919286659
-0.05 -0.636363636364 0 0 -0.000312240480564
-0.5 -0.636363636364 0 0 -0.00109894560084
