Vd Vg Vs Vb Ids  
-0.05 -0.9 0 0 -0.00172991593539
-0.5 -0.9 0 0 -0.00646442361749
-0.9 -0.9 0 0 -0.00734311719038
-0.05 -0.890909090909 0 0 -0.00168707232518
-0.5 -0.890909090909 0 0 -0.00619036341421
-0.9 -0.890909090909 0 0 -0.00704601900928
-0.05 -0.881818181818 0 0 -0.00164366889509
-0.5 -0.881818181818 0 0 -0.00592172024491
-0.9 -0.881818181818 0 0 -0.00675494552999
-0.05 -0.872727272727 0 0 -0.00159972545596
-0.5 -0.872727272727 0 0 -0.00565864687295
-0.9 -0.872727272727 0 0 -0.0064699708673
-0.05 -0.863636363636 0 0 -0.00155526539321
-0.5 -0.863636363636 0 0 -0.00540129393417
-0.9 -0.863636363636 0 0 -0.00619116687833
-0.05 -0.854545454545 0 0 -0.0015103159793
-0.5 -0.854545454545 0 0 -0.0051498077827
-0.9 -0.854545454545 0 0 -0.00591860296212
-0.05 -0.845454545455 0 0 -0.00146490869562
-0.5 -0.845454545455 0 0 -0.00490432786473
-0.9 -0.845454545455 0 0 -0.00565234584409
-0.05 -0.836363636364 0 0 -0.00141907955979
-0.5 -0.836363636364 0 0 -0.00466498413174
-0.9 -0.836363636364 0 0 -0.00539245934432
-0.05 -0.827272727273 0 0 -0.00137286945398
-0.5 -0.827272727273 0 0 -0.00443189496613
-0.9 -0.827272727273 0 0 -0.00513900412869
-0.05 -0.818181818182 0 0 -0.00132632444801
-0.5 -0.818181818182 0 0 -0.00420516587341
-0.9 -0.818181818182 0 0 -0.00489203744187
-0.05 -0.809090909091 0 0 -0.00127949611027
-0.5 -0.809090909091 0 0 -0.00398488894245
-0.9 -0.809090909091 0 0 -0.00465161282106
-0.05 -0.8 0 0 -0.00123244179765
-0.5 -0.8 0 0 -0.00377114290577
-0.9 -0.8 0 0 -0.00441777978967
-0.05 -0.790909090909 0 0 -0.00118522491439
-0.5 -0.790909090909 0 0 -0.00356399357085
-0.9 -0.790909090909 0 0 -0.00419058352983
-0.05 -0.781818181818 0 0 -0.00113791512818
-0.5 -0.781818181818 0 0 -0.00336349441197
-0.9 -0.781818181818 0 0 -0.003970064533
-0.05 -0.772727272727 0 0 -0.00109058852996
-0.5 -0.772727272727 0 0 -0.00316968716665
-0.9 -0.772727272727 0 0 -0.00375625822785
-0.05 -0.763636363636 0 0 -0.00104332772247
-0.5 -0.763636363636 0 0 -0.00298260233935
-0.9 -0.763636363636 0 0 -0.00354919458493
-0.05 -0.754545454545 0 0 -0.000996221820253
-0.5 -0.754545454545 0 0 -0.00280225956375
-0.9 -0.754545454545 0 0 -0.00334889769757
-0.05 -0.745454545455 0 0 -0.000949366341875
-0.5 -0.745454545455 0 0 -0.00262866780815
-0.9 -0.745454545455 0 0 -0.00315538533893
-0.05 -0.736363636364 0 0 -0.000902862971762
-0.5 -0.736363636364 0 0 -0.00246182542924
-0.9 -0.736363636364 0 0 -0.00296866849522
-0.05 -0.727272727273 0 0 -0.000856819165035
-0.5 -0.727272727273 0 0 -0.00230172009033
-0.9 -0.727272727273 0 0 -0.00278875087562
-0.05 -0.718181818182 0 0 -0.00081134756235
-0.5 -0.718181818182 0 0 -0.00214832856439
-0.9 -0.718181818182 0 0 -0.00261562839965
-0.05 -0.709090909091 0 0 -0.000766565172861
-0.5 -0.709090909091 0 0 -0.00200161644334
-0.9 -0.709090909091 0 0 -0.00244928866335
-0.05 -0.7 0 0 -0.000722592271232
-0.5 -0.7 0 0 -0.00186153777454
-0.9 -0.7 0 0 -0.00228971038627
-0.05 -0.690909090909 0 0 -0.000679550939653
-0.5 -0.690909090909 0 0 -0.00172803464382
-0.9 -0.690909090909 0 0 -0.00213686284177
-0.05 -0.681818181818 0 0 -0.000637563170758
-0.5 -0.681818181818 0 0 -0.00160103672422
-0.9 -0.681818181818 0 0 -0.00199070527431
-0.05 -0.672727272727 0 0 -0.000596748438703
-0.5 -0.672727272727 0 0 -0.00148046080925
-0.9 -0.672727272727 0 0 -0.00185118630827
-0.05 -0.663636363636 0 0 -0.000557220655529
-0.5 -0.663636363636 0 0 -0.00136621035154
-0.9 -0.663636363636 0 0 -0.00171824335435
-0.05 -0.654545454545 0 0 -0.000519084476401
-0.5 -0.654545454545 0 0 -0.00125817503063
-0.9 -0.654545454545 0 0 -0.00159180202165
-0.05 -0.645454545455 0 0 -0.000482431021221
-0.5 -0.645454545455 0 0 -0.00115623038026
-0.9 -0.645454545455 0 0 -0.00147177554606
-0.05 -0.636363636364 0 0 -0.000447333255964
-0.5 -0.636363636364 0 0 -0.00106023751372
-0.9 -0.636363636364 0 0 -0.00135806424936
-0.05 -0.627272727273 0 0 -0.00041384151695
-0.5 -0.627272727273 0 0 -0.000970042999421
-0.9 -0.627272727273 0 0 -0.00125055504865
-0.05 -0.618181818182 0 0 -0.000381979916137
-0.5 -0.618181818182 0 0 -0.000885478954607
-0.9 -0.618181818182 0 0 -0.00114912104338
-0.05 -0.609090909091 0 0 -0.000351744537044
-0.5 -0.609090909091 0 0 -0.000806363444887
-0.9 -0.609090909091 0 0 -0.00105362121724
-0.05 -0.6 0 0 -0.000323104291191
-0.5 -0.6 0 0 -0.000732501296109
-0.9 -0.6 0 0 -0.000963900305903
-0.05 -0.590909090909 0 0 -0.000296004953006
-0.5 -0.590909090909 0 0 -0.000663685437445
-0.9 -0.590909090909 0 0 -0.000879788898554
-0.05 -0.581818181818 0 0 -0.000270376231619
-0.5 -0.581818181818 0 0 -0.000599698889991
-0.9 -0.581818181818 0 0 -0.000801103860119
-0.05 -0.572727272727 0 0 -0.000246140931417
-0.5 -0.572727272727 0 0 -0.000540317479831
-0.9 -0.572727272727 0 0 -0.000727649179016
-0.05 -0.563636363636 0 0 -0.000223224587597
