VD VG VS VB Ids  
-0.05 -2.0 0 0 -0.000800136812797
-0.2 -2.0 0 0 -0.00318358881596
-0.3 -2.0 0 0 -0.00474910205753
-0.5 -2.0 0 0 -0.00767938322116
-0.7 -2.0 0 0 -0.00986177106705
-0.95 -2.0 0 0 -0.0116306704075
-0.05 -1.9797979798 0 0 -0.000799265448353
-0.2 -1.9797979798 0 0 -0.00317945798671
-0.3 -1.9797979798 0 0 -0.00474167531558
-0.5 -1.9797979798 0 0 -0.00765383075476
-0.7 -1.9797979798 0 0 -0.00979812439913
-0.95 -1.9797979798 0 0 -0.0115295517883
-0.05 -1.9595959596 0 0 -0.000798363862962
-0.2 -1.9595959596 0 0 -0.00317516989667
-0.3 -1.9595959596 0 0 -0.00473392858176
-0.5 -1.9595959596 0 0 -0.00762689773648
-0.7 -1.9595959596 0 0 -0.0097322410688
-0.95 -1.9595959596 0 0 -0.0114259805877
-0.05 -1.93939393939 0 0 -0.000797430531439
-0.2 -1.93939393939 0 0 -0.00317071571655
-0.3 -1.93939393939 0 0 -0.00472584116959
-0.5 -1.93939393939 0 0 -0.00759849907106
-0.7 -1.93939393939 0 0 -0.00966405239446
-0.95 -1.93939393939 0 0 -0.0113198916882
-0.05 -1.91919191919 0 0 -0.000796463827705
-0.2 -1.91919191919 0 0 -0.00316608595723
-0.3 -1.91919191919 0 0 -0.00471739061107
-0.5 -1.91919191919 0 0 -0.00756854517609
-0.7 -1.91919191919 0 0 -0.00959348790605
-0.95 -1.91919191919 0 0 -0.0112112183601
-0.05 -1.89898989899 0 0 -0.000795462016537
-0.2 -1.89898989899 0 0 -0.00316127040774
-0.3 -1.89898989899 0 0 -0.00470855246821
-0.5 -1.89898989899 0 0 -0.007536941923
-0.7 -1.89898989899 0 0 -0.00952047530123
-0.95 -1.89898989899 0 0 -0.0110998922952
-0.05 -1.87878787879 0 0 -0.000794423244506
-0.2 -1.87878787879 0 0 -0.00315625806634
-0.3 -1.87878787879 0 0 -0.00469930012163
-0.5 -1.87878787879 0 0 -0.00750359060368
-0.7 -1.87878787879 0 0 -0.00944494040651
-0.95 -1.87878787879 0 0 -0.0109858436566
-0.05 -1.85858585859 0 0 -0.000793345530033
-0.2 -1.85858585859 0 0 -0.00315103706352
-0.3 -1.85858585859 0 0 -0.00468960453338
-0.5 -1.85858585859 0 0 -0.00746838792537
-0.7 -1.85858585859 0 0 -0.00936680714514
-0.95 -1.85858585859 0 0 -0.0108690011447
-0.05 -1.83838383838 0 0 -0.000792226752438
-0.2 -1.83838383838 0 0 -0.00314559457605
-0.3 -1.83838383838 0 0 -0.00467943398051
-0.5 -1.83838383838 0 0 -0.00743122603652
-0.7 -1.83838383838 0 0 -0.00928599751385
-0.95 -1.83838383838 0 0 -0.0107492920862
-0.05 -1.81818181818 0 0 -0.000791064639885
-0.2 -1.81818181818 0 0 -0.0031399167307
-0.3 -1.81818181818 0 0 -0.00466875375578
-0.5 -1.81818181818 0 0 -0.00739199258543
-0.7 -1.81818181818 0 0 -0.0092024315707
-0.95 -1.81818181818 0 0 -0.0106266425458
-0.05 -1.79797979798 0 0 -0.000789856756077
-0.2 -1.79797979798 0 0 -0.00313398849626
-0.3 -1.79797979798 0 0 -0.00465752583134
-0.5 -1.79797979798 0 0 -0.00735057081369
-0.7 -1.79797979798 0 0 -0.00911602743702
-0.95 -1.79797979798 0 0 -0.0105009774695
-0.05 -1.77777777778 0 0 -0.000788600485564
-0.2 -1.77777777778 0 0 -0.00312779356221
-0.3 -1.77777777778 0 0 -0.0046457084807
-0.5 -1.77777777778 0 0 -0.00730683968569
-0.7 -1.77777777778 0 0 -0.00902670131634
-0.95 -1.77777777778 0 0 -0.0103722208607
