VD VG VS VB Ids Qg  
-0.05 -2.0 0 0 -0.00119623654854 -5.0504897173e-14
-0.2 -2.0 0 0 -0.00474585218311 -4.77972565e-14
-0.3 -2.0 0 0 -0.00705793793272 -4.6020709554e-14
-0.5 -2.0 0 0 -0.0112975925523 -4.27315810029e-14
-0.7 -2.0 0 0 -0.0143614522942 -4.04560194289e-14
-0.95 -2.0 0 0 -0.0167078062127 -3.90067779799e-14
-0.05 -1.9797979798 0 0 -0.00119406302273 -4.96627540734e-14
-0.2 -1.9797979798 0 0 -0.00473579398654 -4.69605819944e-14
-0.3 -1.9797979798 0 0 -0.00704029893811 -4.51890062177e-14
-0.5 -1.9797979798 0 0 -0.0112468023252 -4.19245369802e-14
-0.7 -1.9797979798 0 0 -0.0142531127677 -3.96989962812e-14
-0.95 -1.9797979798 0 0 -0.0165457144119 -3.82970848553e-14
-0.05 -1.9595959596 0 0 -0.0011918227968 -4.88221439301e-14
-0.2 -1.9595959596 0 0 -0.00472539912027 -4.61255812442e-14
-0.3 -1.9595959596 0 0 -0.00702200264177 -4.43591637481e-14
-0.5 -1.9595959596 0 0 -0.0111938292423 -4.11205904485e-14
-0.7 -1.9595959596 0 0 -0.0141416151203 -3.89459877705e-14
-0.95 -1.9595959596 0 0 -0.016380515056 -3.75913168608e-14
-0.05 -1.93939393939 0 0 -0.00118951290942 -4.798310073e-14
-0.2 -1.93939393939 0 0 -0.00471465103177 -4.52922948484e-14
-0.3 -1.93939393939 0 0 -0.00700301280085 -4.35312353707e-14
-0.5 -1.93939393939 0 0 -0.0111385676677 -4.03198597513e-14
-0.7 -1.93939393939 0 0 -0.0140268884872 -3.81970818424e-14
-0.95 -1.93939393939 0 0 -0.0162121567095 -3.68895448144e-14
-0.05 -1.91919191919 0 0 -0.00118713022816 -4.71456597368e-14
-0.2 -1.91919191919 0 0 -0.00470353209274 -4.44607651441e-14
-0.3 -1.91919191919 0 0 -0.00698329057218 -4.27052771898e-14
-0.5 -1.91919191919 0 0 -0.0110809080018 -3.9522468063e-14
-0.7 -1.91919191919 0 0 -0.013908861761 -3.7452367764e-14
-0.95 -1.91919191919 0 0 -0.016040587864 -3.61918409074e-14
-0.05 -1.89898989899 0 0 -0.00118467143733 -4.6309857558e-14
-0.2 -1.89898989899 0 0 -0.0046920235123 -4.36310363171e-14
-0.3 -1.89898989899 0 0 -0.00696279429149 -4.1881348418e-14
-0.5 -1.89898989899 0 0 -0.011020736746 -3.87285434199e-14
-0.7 -1.89898989899 0 0 -0.0137874636777 -3.67119361357e-14
-0.95 -1.89898989899 0 0 -0.0158657570469 -3.54982787042e-14
-0.05 -1.87878787879 0 0 -0.00118213302488 -4.54757322176e-14
-0.2 -1.87878787879 0 0 -0.00468010524184 -4.28031545213e-14
-0.3 -1.87878787879 0 0 -0.0069414792326 -4.10595116285e-14
-0.5 -1.87878787879 0 0 -0.0109579366004 -3.79382187266e-14
-0.7 -1.87878787879 0 0 -0.0136626229121 -3.59758789018e-14
-0.95 -1.87878787879 0 0 -0.0156876129441 -3.48089331373e-14
-0.05 -1.85858585859 0 0 -0.00117951126813 -4.46433232324e-14
-0.2 -1.85858585859 0 0 -0.00466775587058 -4.19771680088e-14
-0.3 -1.85858585859 0 0 -0.00691929734478 -4.0239833032e-14
-0.5 -1.85858585859 0 0 -0.0108923865963 -3.71516317376e-14
-0.7 -1.85858585859 0 0 -0.0135342681867 -3.52442893598e-14
-0.95 -1.85858585859 0 0 -0.0155061045377 -3.41238804964e-14
-0.05 -1.83838383838 0 0 -0.00117680221834 -4.38126716948e-14
-0.2 -1.83838383838 0 0 -0.00465495251098 -4.11531272721e-14
-0.3 -1.83838383838 0 0 -0.00689619696668 -3.94223827809e-14
-0.5 -1.83838383838 0 0 -0.0108239622683 -3.63689250103e-14
-0.7 -1.83838383838 0 0 -0.0134023283926 -3.45172621673e-14
-0.95 -1.83838383838 0 0 -0.0153211812606 -3.34431984134e-14
-0.05 -1.81818181818 0 0 -0.00117400168393 -4.29838203606e-14
-0.2 -1.81818181818 0 0 -0.00464167067272 -4.03310851983e-14
-0.3 -1.81818181818 0 0 -0.006872122515 -3.86072353039e-14
-0.5 -1.81818181818 0 0 -0.0107525358661 -3.55902458289e-14
-0.7 -1.81818181818 0 0 -0.0132667327267 -3.3794893345e-14
-0.95 -1.81818181818 0 0 -0.015132793169 -3.27669658386e-14
-0.05 -1.79797979798 0 0 -0.00117110521221 -4.21568137443e-14
-0.2 -1.79797979798 0 0 -0.00462788412399 -3.95110972387e-14
-0.3 -1.79797979798 0 0 -0.00684701414623 -3.77944696736e-14
-0.5 -1.79797979798 0 0 -0.010677976611 -3.48157460972e-14
-0.7 -1.79797979798 0 0 -0.013127410846 -3.30772802769e-14
-0.95 -1.79797979798 0 0 -0.0149408911362 -3.20952630108e-14
-0.05 -1.77777777778 0 0 -0.00116810806952 -4.13316982199e-14
-0.2 -1.77777777778 0 0 -0.00461356473881 -3.86932215938e-14
-0.3 -1.77777777778 0 0 -0.00682080738987 -3.698417001e-14
-0.5 -1.77777777778 0 0 -0.0106001509977 -3.40455821995e-14
-0.7 -1.77777777778 0 0 -0.0129842930415 -3.23645217043e-14
-0.95 -1.77777777778 0 0 -0.0147454270688 -3.14281714166e-14
-0.05 -1.75757575758 0 0 -0.00116500521963 -4.05085221305e-14
-0.2 -1.75757575758 0 0 -0.00459868232858 -3.78775194168e-14
-0.3 -1.75757575758 0 0 -0.0067934327516 -3.61764259237e-14
-0.5 -1.75757575758 0 0 -0.0105189231436 -3.32799148282e-14
-0.7 -1.75757575758 0 0 -0.0128373104332 -3.1656717714e-14
-0.95 -1.75757575758 0 0 -0.0145463541496 -3.07657737391e-14
-0.05 -1.73737373737 0 0 -0.00116179130017 -3.96873359054e-14
-0.2 -1.73737373737 0 0 -0.00458320445625 -3.7064055037e-14
-0.3 -1.73737373737 0 0 -0.0067648152852 -3.5371333001e-14
-0.5 -1.73737373737 0 0 -0.0104341551888 -3.25189087792e-14
-0.7 -1.73737373737 0 0 -0.012686395191 -3.09539697198e-14
-0.95 -1.73737373737 0 0 -0.0143436271089 -3.0108153794e-14
-0.05 -1.71717171717 0 0 -0.00115846059686 -3.88681921863e-14
-0.2 -1.71717171717 0 0 -0.00456709623103 -3.62528962061e-14
-0.3 -1.71717171717 0 0 -0.00673487413256 -3.4568993336e-14
-0.5 -1.71717171717 0 0 -0.0103457077463 -3.17627327132e-14
-0.7 -1.71717171717 0 0 -0.0125314807811 -3.02563804344e-14
-0.95 -1.71717171717 0 0 -0.0141372025296 -2.94553964485e-14
-0.05 -1.69696969697 0 0 -0.00115500701549 -3.80511459638e-14
-0.2 -1.69696969697 0 0 -0.00455032008154 -3.544411437e-14
-0.3 -1.69696969697 0 0 -0.00670352203134 -3.37695161101e-14
-0.5 -1.69696969697 0 0 -0.0102534404054 -3.10115588846e-14
-0.7 -1.69696969697 0 0 -0.0123725022439 -2.95640538316e-14
-0.95 -1.69696969697 0 0 -0.0139270391903 -2.88075875215e-14
-0.05 -1.67676767677 0 0 -0.00115142405119 -3.72362547243e-14
-0.2 -1.67676767677 0 0 -0.00453283550479 -3.4637784969e-14
-0.3 -1.67676767677 0 0 -0.00667066479115 -3.29730182251e-14
-0.5 -1.67676767677 0 0 -0.0101572122885 -3.0265562839e-14
-0.7 -1.67676767677 0 0 -0.0122093965049 -2.88770950972e-14
-0.95 -1.67676767677 0 0 -0.0137130984519 -2.81648136598e-14
-0.05 -1.65656565657 0 0 -0.00114770475485 -3.64235786086e-14
-0.2 -1.65656565657 0 0 -0.00451459878845 -3.38339877709e-14
-0.3 -1.65656565657 0 0 -0.00663620073968 -3.21796249892e-14
-0.5 -1.65656565657 0 0 -0.010056882663 -2.95249230798e-14
-0.7 -1.65656565657 0 0 -0.0120421027222 -2.81956105655e-14
-0.95 -1.65656565657 0 0 -0.0134953446952 -2.75271621847e-14
-0.05 -1.63636363636 0 0 -0.00114384169638 -3.56131805837e-14
-0.2 -1.63636363636 0 0 -0.00449556270334 -3.303280724e-14
-0.3 -1.63636363636 0 0 -0.00660002014208 -3.138947086e-14
-0.5 -1.63636363636 0 0 -0.0099523116083 -2.87898207052e-14
-0.7 -1.63636363636 0 0 -0.0118705626758 -2.75197076418e-14
-0.95 -1.63636363636 0 0 -0.0132737458179 -2.68947209014e-14
-0.05 -1.61616161616 0 0 -0.00113982692437 -3.48051266291e-14
-0.2 -1.61616161616 0 0 -0.00447567616286 -3.22343329482e-14
-0.3 -1.61616161616 0 0 -0.00656200459841 -3.06027002427e-14
-0.5 -1.61616161616 0 0 -0.00984336073977 -2.80604390185e-14
-0.7 -1.61616161616 0 0 -0.0116947212005 -2.68494947061e-14
-0.95 -1.61616161616 0 0 -0.0130482738007 -2.62675778637e-14
-0.05 -1.59595959596 0 0 -0.00113565192193 -3.39994859389e-14
-0.2 -1.59595959596 0 0 -0.00445488384584 -3.14386600319e-14
-0.3 -1.59595959596 0 0 -0.00652202642647 -2.98194683453e-14
-0.5 -1.59595959596 0 0 -0.00972989398982 -2.73369631125e-14
-0.7 -1.59595959596 0 0 -0.0115145266698 -2.61850809979e-14
-0.95 -1.59595959596 0 0 -0.0128189053563 -2.56458210801e-14
-0.05 -1.57575757576 0 0 -0.00113130755816 -3.31963311401e-14
-0.2 -1.57575757576 0 0 -0.00443312577902 -3.06458897025e-14
-0.3 -1.57575757576 0 0 -0.00647994804031 -2.90399420852e-14
-0.5 -1.57575757576 0 0 -0.00961177844797 -2.66195794305e-14
-0.7 -1.57575757576 0 0 -0.0113299315327 -2.55265764781e-14
-0.95 -1.57575757576 0 0 -0.0125856226752 -2.50295381484e-14
-0.05 -1.55555555556 0 0 -0.00112678403484 -3.23957385324e-14
-0.2 -1.55555555556 0 0 -0.00441033687501 -2.98561298163e-14
-0.3 -1.55555555556 0 0 -0.00643562133796 -2.82643010434e-14
-0.5 -1.55555555556 0 0 -0.00948888526108 -2.59084753044e-14
-0.7 -1.55555555556 0 0 -0.0111408929118 -2.48740916651e-14
