Vd Vg Vs Vb Lg Ids Qg  
-0.05 -0.9 0 0 7e-08 -0.000435596404063 -1.0571890177e-14
-0.5 -0.9 0 0 7e-08 -0.00352900606811 -5.75585915356e-15
-0.9 -0.9 0 0 7e-08 -0.00421224646324 -5.2873409469e-15
-0.05 -0.890909090909 0 0 7e-08 -0.0004370199497 -1.02404933358e-14
-0.5 -0.890909090909 0 0 7e-08 -0.00346523177193 -5.56158499403e-15
-0.9 -0.890909090909 0 0 7e-08 -0.00411207709559 -5.15476061483e-15
-0.05 -0.881818181818 0 0 7e-08 -0.000438284277259 -9.91207982701e-15
-0.5 -0.881818181818 0 0 7e-08 -0.00339837253668 -5.37316027251e-15
-0.9 -0.881818181818 0 0 7e-08 -0.00401134341111 -5.02409764031e-15
-0.05 -0.872727272727 0 0 7e-08 -0.000439373021843 -9.58676215416e-15
-0.5 -0.872727272727 0 0 7e-08 -0.00332860508597 -5.19042281836e-15
-0.9 -0.872727272727 0 0 7e-08 -0.00391012840139 -4.89527632572e-15
-0.05 -0.863636363636 0 0 7e-08 -0.000440268555516 -9.2646577903e-15
-0.5 -0.863636363636 0 0 7e-08 -0.00325611819067 -5.013197072e-15
-0.9 -0.863636363636 0 0 7e-08 -0.00380851350483 -4.76822555999e-15
-0.05 -0.854545454545 0 0 7e-08 -0.000440951932221 -8.94588927246e-15
-0.5 -0.854545454545 0 0 7e-08 -0.00318110999591 -4.84129680727e-15
-0.9 -0.854545454545 0 0 7e-08 -0.00370657894998 -4.64287860687e-15
-0.05 -0.845454545455 0 0 7e-08 -0.000441402842512 -8.63058425743e-15
-0.5 -0.845454545455 0 0 7e-08 -0.00310378562683 -4.67452750839e-15
-0.9 -0.845454545455 0 0 7e-08 -0.00360440409685 -4.51917288954e-15
-0.05 -0.836363636364 0 0 7e-08 -0.000441599582447 -8.31887552715e-15
-0.5 -0.836363636364 0 0 7e-08 -0.00302435507738 -4.51268844268e-15
-0.9 -0.836363636364 0 0 7e-08 -0.00350206777144 -4.39704977758e-15
-0.05 -0.827272727273 0 0 7e-08 -0.000441519042174 -8.01090092917e-15
-0.5 -0.827272727273 0 0 7e-08 -0.00294303135934 -4.35557451046e-15
-0.9 -0.827272727273 0 0 7e-08 -0.00339964858953 -4.27645438178e-15
-0.05 -0.818181818182 0 0 7e-08 -0.000441136721018 -7.7068032346e-15
-0.5 -0.818181818182 0 0 7e-08 -0.0028600288786 -4.20297796281e-15
-0.9 -0.818181818182 0 0 7e-08 -0.00329722526575 -4.15733536113e-15
-0.05 -0.809090909091 0 0 7e-08 -0.000440426777402 -7.40672989256e-15
-0.5 -0.809090909091 0 0 7e-08 -0.00277556200878 -4.05469006071e-15
-0.9 -0.809090909091 0 0 7e-08 -0.00319487690447 -4.03964474586e-15
-0.05 -0.8 0 0 7e-08 -0.000439362123601 -7.11083265619e-15
-0.5 -0.8 0 0 7e-08 -0.00268984384231 -3.9105027172e-15
-0.9 -0.8 0 0 7e-08 -0.00309268326939 -3.92333777934e-15
-0.05 -0.790909090909 0 0 7e-08 -0.000437914577075 -6.81926705123e-15
-0.5 -0.790909090909 0 0 7e-08 -0.00260308510941 -3.77021012839e-15
-0.9 -0.790909090909 0 0 7e-08 -0.00299072502851 -3.80837278066e-15
-0.05 -0.781818181818 0 0 7e-08 -0.000436055081776 -6.53219165417e-15
-0.5 -0.781818181818 0 0 7e-08 -0.00251549326221 -3.63361036976e-15
-0.9 -0.781818181818 0 0 7e-08 -0.00288908397158 -3.69471102898e-15
-0.05 -0.772727272727 0 0 7e-08 -0.000433754014139 -6.24976714345e-15
-0.5 -0.772727272727 0 0 7e-08 -0.00242727172297 -3.50050691555e-15
-0.9 -0.772727272727 0 0 7e-08 -0.00278784319689 -3.5823166696e-15
-0.05 -0.763636363636 0 0 7e-08 -0.000430981588891 -5.97215508534e-15
-0.5 -0.763636363636 0 0 7e-08 -0.0023386192925 -3.37071003323e-15
-0.9 -0.763636363636 0 0 7e-08 -0.00268708726409 -3.47115664104e-15
-0.05 -0.754545454545 0 0 7e-08 -0.000427708378711 -5.69951641703e-15
-0.5 -0.754545454545 0 0 7e-08 -0.00224972970874 -3.24403800908e-15
-0.9 -0.754545454545 0 0 7e-08 -0.00258690230995 -3.36120062134e-15
-0.05 -0.745454545455 0 0 7e-08 -0.000423905958096 -5.43200959572e-15
-0.5 -0.745454545455 0 0 7e-08 -0.0021607913388 -3.12031817274e-15
-0.9 -0.745454545455 0 0 7e-08 -0.00248737612319 -3.25242099128e-15
-0.05 -0.736363636364 0 0 7e-08 -0.000419547673993 -5.16978839668e-15
-0.5 -0.736363636364 0 0 7e-08 -0.00207198698142 -2.99938770261e-15
-0.9 -0.736363636364 0 0 7e-08 -0.0023885981747 -3.14479281163e-15
-0.05 -0.727272727273 0 0 7e-08 -0.000414609532376 -4.91299936969e-15
-0.5 -0.727272727273 0 0 7e-08 -0.00198349375325 -2.8810942093e-15
-0.9 -0.727272727273 0 0 7e-08 -0.00229065959919 -3.03829381114e-15
