Vd Vg Vs Vb Idnorm  
0.05 0.0 0 0 7.76346395088e-09
0.7 0.0 0 0 2.13359434538e-08
0.05 0.00707070707071 0 0 9.7331155181e-09
0.7 0.00707070707071 0 0 2.65771886822e-08
0.05 0.0141414141414 0 0 1.22015301058e-08
0.7 0.0141414141414 0 0 3.31012704144e-08
0.05 0.0212121212121 0 0 1.52944960786e-08
0.7 0.0212121212121 0 0 4.12198694538e-08
0.05 0.0282828282828 0 0 1.9169262259e-08
0.7 0.0282828282828 0 0 5.13193170717e-08
0.05 0.0353535353535 0 0 2.40222772522e-08
0.7 0.0353535353535 0 0 6.38779975528e-08
0.05 0.0424242424242 0 0 3.00987731642e-08
0.7 0.0424242424242 0 0 7.94876037638e-08
0.05 0.0494949494949 0 0 3.77046076012e-08
0.7 0.0494949494949 0 0 9.88790114819e-08
0.05 0.0565656565657 0 0 4.72208588881e-08
0.7 0.0565656565657 0 0 1.22953650931e-07
0.05 0.0636363636364 0 0 5.9121762225e-08
0.7 0.0636363636364 0 0 1.52821364067e-07
0.05 0.0707070707071 0 0 7.39966743084e-08
0.7 0.0707070707071 0 0 1.89845834499e-07
0.05 0.0777777777778 0 0 9.2576861248e-08
0.7 0.0777777777778 0 0 2.35698744945e-07
0.05 0.0848484848485 0 0 1.15768006766e-07
0.7 0.0848484848485 0 0 2.92423833987e-07
0.05 0.0919191919192 0 0 1.4468943107e-07
0.7 0.0919191919192 0 0 3.62511955736e-07
0.05 0.0989898989899 0 0 1.80721071469e-07
0.7 0.0989898989899 0 0 4.48988055833e-07
0.05 0.106060606061 0 0 2.25559284967e-07
0.7 0.106060606061 0 0 5.5551060846e-07
0.05 0.113131313131 0 0 2.81282455429e-07
0.7 0.113131313131 0 0 6.86483461225e-07
0.05 0.120202020202 0 0 3.50427176986e-07
0.7 0.120202020202 0 0 8.47179143049e-07
0.05 0.127272727273 0 0 4.36075386003e-07
0.7 0.127272727273 0 0 1.04387145748e-06
0.05 0.134343434343 0 0 5.41952159315e-07
0.7 0.134343434343 0 0 1.28397358484e-06
0.05 0.141414141414 0 0 6.72532909291e-07
0.7 0.141414141414 0 0 1.57617597504e-06
0.05 0.148484848485 0 0 8.33157327965e-07
0.7 0.148484848485 0 0 1.93057613083e-06
0.05 0.155555555556 0 0 1.03014561204e-06
0.7 0.155555555556 0 0 2.35879016239e-06
0.05 0.162626262626 0 0 1.27091025604e-06
0.7 0.162626262626 0 0 2.87403406742e-06
0.05 0.169696969697 0 0 1.56405412497e-06
0.7 0.169696969697 0 0 3.49116148995e-06
0.05 0.176767676768 0 0 1.91944284122e-06
0.7 0.176767676768 0 0 4.22664474469e-06
0.05 0.183838383838 0 0 2.34823711737e-06
0.7 0.183838383838 0 0 5.09848763213e-06
0.05 0.190909090909 0 0 2.8628690827e-06
0.7 0.190909090909 0 0 6.12606231399e-06
0.05 0.19797979798 0 0 3.47694653118e-06
0.7 0.19797979798 0 0 7.3298682545e-06
0.05 0.205050505051 0 0 4.20507101945e-06
0.7 0.205050505051 0 0 8.73121849844e-06
0.05 0.212121212121 0 0 5.06256033275e-06
0.7 0.212121212121 0 0 1.03518664587e-05
0.05 0.219191919192 0 0 6.06507310888e-06
0.7 0.219191919192 0 0 1.22135936936e-05
0.05 0.226262626263 0 0 7.22814288972e-06
0.7 0.226262626263 0 0 1.43377845932e-05
0.05 0.233333333333 0 0 8.56663946915e-06
0.7 0.233333333333 0 0 1.67450164459e-05
0.05 0.240404040404 0 0 1.0094185565e-05
0.7 0.240404040404 0 0 1.94546925423e-05
0.05 0.247474747475 0 0 1.18225648484e-05
0.7 0.247474747475 0 0 2.24847419605e-05
0.05 0.254545454545 0 0 1.37611618072e-05
0.7 0.254545454545 0 0 2.58514032072e-05
0.05 0.261616161616 0 0 1.59164740688e-05
0.7 0.261616161616 0 0 2.95691010034e-05
0.05 0.268686868687 0 0 1.82917337841e-05
0.7 0.268686868687 0 0 3.36504173119e-05
0.05 0.275757575758 0 0 2.08866673138e-05
0.7 0.275757575758 0 0 3.81061501209e-05
0.05 0.282828282828 0 0 2.36974129254e-05
0.7 0.282828282828 0 0 4.29454472083e-05
0.05 0.289898989899 0 0 2.67166055651e-05
0.7 0.289898989899 0 0 4.81759975494e-05
