Vd Vg Vs Vb Idnorm  
0.05 0.0 0 0 4.76708685286e-09
0.7 0.0 0 0 1.28094040227e-08
0.05 0.00707070707071 0 0 5.97781073398e-09
0.7 0.00707070707071 0 0 1.59626140408e-08
0.05 0.0141414141414 0 0 7.49582408437e-09
0.7 0.0141414141414 0 0 1.98909716255e-08
0.05 0.0212121212121 0 0 9.399006983e-09
0.7 0.0212121212121 0 0 2.47844941951e-08
0.05 0.0282828282828 0 0 1.17849180775e-08
0.7 0.0282828282828 0 0 3.08795192418e-08
0.05 0.0353535353535 0 0 1.47757365142e-08
0.7 0.0353535353535 0 0 3.84698750942e-08
0.05 0.0424242424242 0 0 1.8524430262e-08
0.7 0.0424242424242 0 0 4.79206922909e-08
0.05 0.0494949494949 0 0 2.3222448437e-08
0.7 0.0494949494949 0 0 5.96854557609e-08
0.05 0.0565656565657 0 0 2.91093044562e-08
0.7 0.0565656565657 0 0 7.43270244366e-08
0.05 0.0636363636364 0 0 3.64845011355e-08
0.7 0.0636363636364 0 0 9.25434908613e-08
0.05 0.0707070707071 0 0 4.5722349492e-08
0.7 0.0707070707071 0 0 1.15199922486e-07
0.05 0.0777777777778 0 0 5.72903541894e-08
0.7 0.0777777777778 0 0 1.43367216955e-07
0.05 0.0848484848485 0 0 7.17719803108e-08
0.7 0.0848484848485 0 0 1.78369509212e-07
0.05 0.0919191919192 0 0 8.98947811675e-08
0.7 0.0919191919192 0 0 2.21841793338e-07
0.05 0.0989898989899 0 0 1.12565055144e-07
0.7 0.0989898989899 0 0 2.75799633392e-07
0.05 0.106060606061 0 0 1.4091040721e-07
0.7 0.106060606061 0 0 3.42723041547e-07
0.05 0.113131313131 0 0 1.76331814688e-07
0.7 0.113131313131 0 0 4.25656735801e-07
0.05 0.120202020202 0 0 2.20567020776e-07
0.7 0.120202020202 0 0 5.28329034035e-07
0.05 0.127272727273 0 0 2.75767287739e-07
0.7 0.127272727273 0 0 6.55291505458e-07
0.05 0.134343434343 0 0 3.4458969454e-07
0.7 0.134343434343 0 0 8.12081111362e-07
0.05 0.141414141414 0 0 4.30307221635e-07
0.7 0.141414141414 0 0 1.00540580409e-06
0.05 0.148484848485 0 0 5.36938739756e-07
0.7 0.148484848485 0 0 1.24335328443e-06
0.05 0.155555555556 0 0 6.69400633786e-07
0.7 0.155555555556 0 0 1.53562070473e-06
0.05 0.162626262626 0 0 8.3368099891e-07
0.7 0.162626262626 0 0 1.89376042459e-06
0.05 0.169696969697 0 0 1.03703600214e-06
0.7 0.169696969697 0 0 2.33143340925e-06
0.05 0.176767676768 0 0 1.28820593569e-06
0.7 0.176767676768 0 0 2.86465756549e-06
0.05 0.183838383838 0 0 1.597645534e-06
0.7 0.183838383838 0 0 3.51203348454e-06
0.05 0.190909090909 0 0 1.97775918131e-06
0.7 0.190909090909 0 0 4.2949252277e-06
0.05 0.19797979798 0 0 2.44312672457e-06
0.7 0.19797979798 0 0 5.23756980289e-06
0.05 0.205050505051 0 0 3.01069996786e-06
0.7 0.205050505051 0 0 6.36708699141e-06
0.05 0.212121212121 0 0 3.6999441387e-06
0.7 0.212121212121 0 0 7.71336251923e-06
0.05 0.219191919192 0 0 4.53289366489e-06
0.7 0.219191919192 0 0 9.30878341488e-06
0.05 0.226262626263 0 0 5.53408887795e-06
0.7 0.226262626263 0 0 1.118781539e-05
0.05 0.233333333333 0 0 6.73036142403e-06
0.7 0.233333333333 0 0 1.33864278122e-05
0.05 0.240404040404 0 0 8.15044277652e-06
0.7 0.240404040404 0 0 1.59413905613e-05
0.05 0.247474747475 0 0 9.82438322547e-06
0.7 0.247474747475 0 0 1.88894857049e-05
0.05 0.254545454545 0 0 1.17827877072e-05
0.7 0.254545454545 0 0 2.22666916896e-05
0.05 0.261616161616 0 0 1.4055897727e-05
0.7 0.261616161616 0 0 2.61074050667e-05
0.05 0.268686868687 0 0 1.66725715821e-05
0.7 0.268686868687 0 0 3.04437624919e-05
0.05 0.275757575758 0 0 1.96592332446e-05
0.7 0.275757575758 0 0 3.53051139075e-05
0.05 0.282828282828 0 0 2.30388690815e-05
0.7 0.282828282828 0 0 4.07176787279e-05
0.05 0.289898989899 0 0 2.68301484444e-05
0.7 0.289898989899 0 0 4.67043943865e-05
0.05 0.29696969697 0 0 3.10467294172e-05
0.7 0.29696969697 0 0 5.32849449844e-05
0.05 0.30404040404 0 0 3.56967880616e-05
0.7 0.30404040404 0 0 6.04759405074e-05
0.05 0.311111111111 0 0 4.07827836086e-05
0.7 0.311111111111 0 0 6.82912061861e-05
0.05 0.318181818182 0 0 4.63014485373e-05
0.7 0.318181818182 0 0 7.67421375654e-05
0.05 0.325252525253 0 0 5.22439751446e-05
0.7 0.325252525253 0 0 8.58380789523e-05
0.05 0.332323232323 0 0 5.8596360545e-05
0.7 0.332323232323 0 0 9.55866895586e-05
0.05 0.339393939394 0 0 6.5339869482e-05
0.7 0.339393939394 0 0 0.000105994270924
0.05 0.346464646465 0 0 7.24515770584e-05
0.7 0.346464646465 0 0 0.000117066039252
0.05 0.353535353535 0 0 7.99049593383e-05
0.7 0.353535353535 0 0 0.000128806335604
0.05 0.360606060606 0 0 8.76705067725e-05
0.7 0.360606060606 0 0 0.000141218774428
0.05 0.367676767677 0 0 9.57163421154e-05
0.7 0.367676767677 0 0 0.000154306336248
0.05 0.374747474747 0 0 0.00010400883001
0.7 0.374747474747 0 0 0.000168071413408
0.05 0.381818181818 0 0 0.000112513169243
0.7 0.381818181818 0 0 0.000182515818952
0.05 0.388888888889 0 0 0.000121193960781
0.7 0.388888888889 0 0 0.000197640768491
0.05 0.39595959596 0 0 0.000130015745362
0.7 0.39595959596 0 0 0.000213446843798
0.05 0.40303030303 0 0 0.000138943504157
0.7 0.40303030303 0 0 0.000229933945335
0.05 0.410101010101 0 0 0.000147943115543
0.7 0.410101010101 0 0 0.000247101239327
0.05 0.417171717172 0 0 0.000156981760825
0.7 0.417171717172 0 0 0.000264947103564
0.05 0.424242424242 0 0 0.00016602827235
0.7 0.424242424242 0 0 0.000283469074913
0.05 0.431313131313 0 0 0.000175053418909
0.7 0.431313131313 0 0 0.000302663800686
0.05 0.438383838384 0 0 0.000184030125567
0.7 0.438383838384 0 0 0.000322526995351
0.05 0.445454545455 0 0 0.00019293362773
0.7 0.445454545455 0 0 0.000343053403691
0.05 0.452525252525 0 0 0.000201741562045
0.7 0.452525252525 0 0 0.000364236771237
0.05 0.459595959596 0 0 0.000210433999156
0.7 0.459595959596 0 0 0.000386069822631
0.05 0.466666666667 0 0 0.000218993425248
0.7 0.466666666667 0 0 0.000408544248431
0.05 0.473737373737 0 0 0.000227404680494
0.7 0.473737373737 0 0 0.000431650700738
0.05 0.480808080808 0 0 0.000235654862967
0.7 0.480808080808 0 0 0.000455378797877
0.05 0.487878787879 0 0 0.000243733206455
0.7 0.487878787879 0 0 0.000479717138234
0.05 0.494949494949 0 0 0.000251630939958
0.7 0.494949494949 0 0 0.000504653323143
0.05 0.50202020202 0 0 0.00025934113574
0.7 0.50202020202 0 0 0.000530173988571
0.05 0.509090909091 0 0 0.000266858551696
0.7 0.509090909091 0 0 0.000556264845152
0.05 0.516161616162 0 0 0.0002741794727
0.7 0.516161616162 0 0 0.000582910725973
0.05 0.523232323232 0 0 0.000281301554563
0.7 0.523232323232 0 0 0.000610095641355
0.05 0.530303030303 0 0 0.000288223673269
0.7 0.530303030303 0 0 0.000637802839757
0.05 0.537373737374 0 0 0.000294945781436
0.7 0.537373737374 0 0 0.000666014873851
0.05 0.544444444444 0 0 0.000301468773245
0.7 0.544444444444 0 0 0.000694713670751
0.05 0.551515151515 0 0 0.000307794358628
0.7 0.551515151515 0 0 0.000723880605349
0.05 0.558585858586 0 0 0.000313924947088
0.7 0.558585858586 0 0 0.000753496575729
0.05 0.565656565657 0 0 0.000319863541253
0.7 0.565656565657 0 0 0.000783542079657
0.05 0.572727272727 0 0 0.000325613640029
0.7 0.572727272727 0 0 0.000813997291194
0.05 0.579797979798 0 0 0.000331179151079
0.7 0.579797979798 0 0 0.000844842136561
0.05 0.586868686869 0 0 0.000336564312228
0.7 0.586868686869 0 0 0.000876056368465
0.05 0.593939393939 0 0 0.000341773621331
0.7 0.593939393939 0 0 0.000907619638188
0.05 0.60101010101 0 0 0.000346811774087
0.7 0.60101010101 0 0 0.000939511564852
0.05 0.608080808081 0 0 0.000351683609238
0.7 0.608080808081 0 0 0.000971711801348
0.05 0.615151515152 0 0 0.000356394060611
0.7 0.615151515152 0 0 0.00100420009656
0.05 0.622222222222 0 0 0.000360948115424
0.7 0.622222222222 0 0 0.00103695635355
0.05 0.629292929293 0 0 0.000365350778318
0.7 0.629292929293 0 0 0.0010699606835
0.05 0.636363636364 0 0 0.000369607040572
0.7 0.636363636364 0 0 0.00110319345532
0.05 0.643434343434 0 0 0.000373721853984
0.7 0.643434343434 0 0 0.00113663534073
0.05 0.650505050505 0 0 0.000377700108952
0.7 0.650505050505 0 0 0.00117026735501
0.05 0.657575757576 0 0 0.000381546616268
0.7 0.657575757576 0 0 0.00120407089327
0.05 0.664646464646 0 0 0.000385266092228
0.7 0.664646464646 0 0 0.00123802776248
0.05 0.671717171717 0 0 0.000388863146653
0.7 0.671717171717 0 0 0.00127212020938
0.05 0.678787878788 0 0 0.000392342273461
0.7 0.678787878788 0 0 0.00130633094432
0.05 0.685858585859 0 0 0.000395707843461
0.7 0.685858585859 0 0 0.00134064316139
0.05 0.692929292929 0 0 0.000398964099085
0.7 0.692929292929 0 0 0.0013750405549
0.05 0.7 0 0 0.000402115150771
0.7 0.7 0 0 0.00140950733259
