Vd Vg Vs Vb Lg Ids SS  
0.05 0.7 0 0 1e-08 4.4106368145e-05 2.99233591616
0.7 0.7 0 0 1e-08 0.000216721651087 3.15932449654
0.05 0.7 0 0 1.6681005372e-08 4.18432750298e-05 1.55439253779
0.7 0.7 0 0 1.6681005372e-08 0.000171048670134 1.57829113424
0.05 0.7 0 0 2.78255940221e-08 3.82052747835e-05 1.18882628556
0.7 0.7 0 0 2.78255940221e-08 0.000147546526221 1.19320911595
0.05 0.7 0 0 4.64158883361e-08 3.31791945302e-05 1.10068618033
0.7 0.7 0 0 4.64158883361e-08 0.000128774686265 1.10275677268
0.05 0.7 0 0 7.74263682681e-08 2.70998511221e-05 1.06550010514
0.7 0.7 0 0 7.74263682681e-08 0.000106383921005 1.06713159249
0.05 0.7 0 0 1.29154966501e-07 2.07172753681e-05 1.03648128635
0.7 0.7 0 0 1.29154966501e-07 8.09113714745e-05 1.03738009252
0.05 0.7 0 0 2.15443469003e-07 1.48676657178e-05 1.01924263672
0.7 0.7 0 0 2.15443469003e-07 5.69740252392e-05 1.01962614304
0.05 0.7 0 0 3.5938136638e-07 1.01051078805e-05 1.01160979023
0.7 0.7 0 0 3.5938136638e-07 3.77563332124e-05 1.01175668847
0.05 0.7 0 0 5.99484250319e-07 6.58404055371e-06 1.00864182242
0.7 0.7 0 0 5.99484250319e-07 2.4006277646e-05 1.0086958515
0.05 0.7 0 0 1e-06 4.16287539835e-06 1.0075440059
0.7 0.7 0 0 1e-06 1.48851856765e-05 1.00756358576
