vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi ids02 sweepvar qm qmd vgs
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.402e-11 -3.803e-04 -3.9349 14.4413 -6.8154 3.164e-07 -3.803e-04 1.290e-12 6.063e-08 1.6906 3.164e-07 2.276e-23 1.626e-11 5.0000e-02 6.396e-08 6.063e-08 -1.303e-15
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.455e-11 -3.803e-04 -3.9082 16.8890 -6.7692 5.129e-07 -3.803e-04 3.179e-12 7.890e-09 4.2151 5.129e-07 2.277e-23 4.011e-11 0.70000 1.448e-08 7.890e-09 -3.220e-15
0.05 0.0368421052632 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.252e-11 -3.803e-04 -3.9349 14.4413 -6.8154 1.185e-06 -3.804e-04 4.831e-12 2.271e-07 1.6906 1.185e-06 2.500e-23 6.090e-11 5.0000e-02 2.396e-07 2.271e-07 3.684e-02
0.7 0.0368421052632 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.283e-10 -3.803e-04 -3.9082 16.8890 -6.7692 1.904e-06 -3.804e-04 1.180e-11 2.929e-08 4.2151 1.904e-06 2.543e-23 1.489e-10 0.70000 5.374e-08 2.929e-08 3.684e-02
0.05 0.0736842105263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.967e-10 -3.803e-04 -3.9349 14.4413 -6.8154 4.438e-06 -3.806e-04 1.810e-11 8.505e-07 1.6906 4.438e-06 3.034e-23 2.281e-10 5.0000e-02 8.973e-07 8.504e-07 7.368e-02
0.7 0.0736842105263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.761e-10 -3.803e-04 -3.9082 16.8890 -6.7692 7.066e-06 -3.808e-04 4.380e-11 1.087e-07 4.2151 7.066e-06 3.231e-23 5.526e-10 0.70000 1.995e-07 1.087e-07 7.368e-02
0.05 0.110526315789 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.366e-10 -3.805e-04 -3.9349 14.4413 -6.8154 1.662e-05 -3.816e-04 6.777e-11 3.185e-06 1.6906 1.662e-05 4.742e-23 8.542e-10 5.0000e-02 3.360e-06 3.185e-06 0.1105
0.7 0.110526315789 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.767e-09 -3.803e-04 -3.9082 16.8890 -6.7692 2.623e-05 -3.823e-04 1.626e-10 4.035e-07 4.2151 2.623e-05 5.501e-23 2.051e-09 0.70000 7.404e-07 4.035e-07 0.1105
0.05 0.147368421053 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.758e-09 -3.812e-04 -3.9349 14.4413 -6.8154 6.224e-05 -3.851e-04 2.538e-10 1.193e-05 1.6906 6.226e-05 1.086e-22 3.198e-09 5.0000e-02 1.259e-05 1.193e-05 0.1474
0.7 0.147368421053 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.557e-09 -3.804e-04 -3.9082 16.8892 -6.7692 9.733e-05 -3.879e-04 6.033e-10 1.498e-06 4.2153 9.736e-05 1.365e-22 7.610e-09 0.70000 2.748e-06 1.498e-06 0.1474
