vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qms vfes ids qgi sweepvar qm qmd vgs
0.4 0.0 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.447e-03 0. 4.568e-09 3.013e-21 0.40000 -4.563e-04 4.563e-04 -4.568e-12
0.4 0.0040404040404 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 5.064e-03 0. 5.203e-09 3.429e-21 0.40000 -5.197e-04 5.197e-04 4.040e-03
0.4 0.00808080808081 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 5.765e-03 0. 5.927e-09 3.903e-21 0.40000 -5.919e-04 5.919e-04 8.081e-03
0.4 0.0121212121212 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 6.563e-03 0. 6.751e-09 4.443e-21 0.40000 -6.741e-04 6.741e-04 1.212e-02
0.4 0.0161616161616 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 7.470e-03 0. 7.688e-09 5.056e-21 0.40000 -7.676e-04 7.676e-04 1.616e-02
0.4 0.020202020202 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 8.501e-03 0. 8.754e-09 5.753e-21 0.40000 -8.739e-04 8.739e-04 2.020e-02
0.4 0.0242424242424 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 9.671e-03 0. 9.967e-09 6.546e-21 0.40000 -9.948e-04 9.948e-04 2.424e-02
0.4 0.0282828282828 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.100e-02 0. 1.135e-08 7.446e-21 0.40000 -1.132e-03 1.132e-03 2.828e-02
0.4 0.0323232323232 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.251e-02 0. 1.291e-08 8.469e-21 0.40000 -1.288e-03 1.288e-03 3.232e-02
0.4 0.0363636363636 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.422e-02 0. 1.470e-08 9.630e-21 0.40000 -1.466e-03 1.466e-03 3.636e-02
0.4 0.040404040404 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.616e-02 0. 1.672e-08 1.095e-20 0.40000 -1.667e-03 1.667e-03 4.040e-02
0.4 0.0444444444444 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.835e-02 0. 1.902e-08 1.244e-20 0.40000 -1.896e-03 1.896e-03 4.444e-02
0.4 0.0484848484848 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.084e-02 0. 2.163e-08 1.413e-20 0.40000 -2.155e-03 2.155e-03 4.848e-02
0.4 0.0525252525253 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.365e-02 0. 2.459e-08 1.605e-20 0.40000 -2.448e-03 2.448e-03 5.253e-02
0.4 0.0565656565657 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.682e-02 0. 2.794e-08 1.822e-20 0.40000 -2.781e-03 2.781e-03 5.657e-02
0.4 0.0606060606061 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.040e-02 0. 3.174e-08 2.066e-20 0.40000 -3.157e-03 3.157e-03 6.061e-02
0.4 0.0646464646465 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.443e-02 0. 3.604e-08 2.343e-20 0.40000 -3.583e-03 3.583e-03 6.465e-02
0.4 0.0686868686869 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.897e-02 0. 4.091e-08 2.655e-20 0.40000 -4.064e-03 4.064e-03 6.869e-02
0.4 0.0727272727273 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.407e-02 0. 4.640e-08 3.006e-20 0.40000 -4.606e-03 4.606e-03 7.273e-02
0.4 0.0767676767677 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.978e-02 0. 5.261e-08 3.401e-20 0.40000 -5.218e-03 5.218e-03 7.677e-02
0.4 0.0808080808081 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 5.618e-02 0. 5.960e-08 3.844e-20 0.40000 -5.906e-03 5.906e-03 8.081e-02
0.4 0.0848484848485 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 6.333e-02 0. 6.748e-08 4.341e-20 0.40000 -6.680e-03 6.680e-03 8.485e-02
0.4 0.0888888888889 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 7.129e-02 0. 7.633e-08 4.896e-20 0.40000 -7.548e-03 7.548e-03 8.889e-02
0.4 0.0929292929293 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 8.015e-02 0. 8.627e-08 5.516e-20 0.40000 -8.521e-03 8.521e-03 9.293e-02
0.4 0.0969696969697 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 8.997e-02 0. 9.742e-08 6.207e-20 0.40000 -9.610e-03 9.610e-03 9.697e-02
0.4 0.10101010101 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.1008 0. 1.099e-07 6.975e-20 0.40000 -1.083e-02 1.083e-02 0.1010
0.4 0.105050505051 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.1128 0. 1.238e-07 7.826e-20 0.40000 -1.218e-02 1.218e-02 0.1051
0.4 0.109090909091 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.1260 0. 1.393e-07 8.766e-20 0.40000 -1.369e-02 1.369e-02 0.1091
0.4 0.113131313131 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.1405 0. 1.566e-07 9.803e-20 0.40000 -1.536e-02 1.536e-02 0.1131
0.4 0.117171717172 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.1563 0. 1.758e-07 1.094e-19 0.40000 -1.721e-02 1.721e-02 0.1172
0.4 0.121212121212 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.1734 0. 1.970e-07 1.219e-19 0.40000 -1.926e-02 1.926e-02 0.1212
0.4 0.125252525253 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.1921 0. 2.205e-07 1.355e-19 0.40000 -2.152e-02 2.152e-02 0.1253
0.4 0.129292929293 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.2123 0. 2.463e-07 1.504e-19 0.40000 -2.401e-02 2.401e-02 0.1293
0.4 0.133333333333 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.2341 0. 2.748e-07 1.665e-19 0.40000 -2.673e-02 2.673e-02 0.1333
0.4 0.137373737374 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.2575 0. 3.059e-07 1.839e-19 0.40000 -2.972e-02 2.972e-02 0.1374
0.4 0.141414141414 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.2825 0. 3.400e-07 2.027e-19 0.40000 -3.299e-02 3.299e-02 0.1414
0.4 0.145454545455 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.3092 0. 3.772e-07 2.228e-19 0.40000 -3.655e-02 3.655e-02 0.1455
0.4 0.149494949495 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.3376 0. 4.177e-07 2.444e-19 0.40000 -4.043e-02 4.043e-02 0.1495
0.4 0.153535353535 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.3677 0. 4.617e-07 2.675e-19 0.40000 -4.464e-02 4.464e-02 0.1535
0.4 0.157575757576 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.3995 0. 5.093e-07 2.920e-19 0.40000 -4.921e-02 4.921e-02 0.1576
0.4 0.161616161616 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.4330 0. 5.606e-07 3.180e-19 0.40000 -5.415e-02 5.415e-02 0.1616
0.4 0.165656565657 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.4683 0. 6.160e-07 3.456e-19 0.40000 -5.948e-02 5.948e-02 0.1657
0.4 0.169696969697 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.5052 0. 6.754e-07 3.746e-19 0.40000 -6.522e-02 6.522e-02 0.1697
0.4 0.173737373737 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.5438 0. 7.392e-07 4.052e-19 0.40000 -7.140e-02 7.140e-02 0.1737
0.4 0.177777777778 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.5840 0. 8.073e-07 4.372e-19 0.40000 -7.804e-02 7.804e-02 0.1778
0.4 0.181818181818 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.6258 0. 8.801e-07 4.708e-19 0.40000 -8.515e-02 8.515e-02 0.1818
0.4 0.185858585859 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.6693 0. 9.575e-07 5.059e-19 0.40000 -9.276e-02 9.276e-02 0.1859
0.4 0.189898989899 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.7143 0. 1.040e-06 5.425e-19 0.40000 -0.1009 0.1009 0.1899
0.4 0.193939393939 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.7608 0. 1.127e-06 5.805e-19 0.40000 -0.1096 0.1096 0.1939
0.4 0.19797979798 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.8089 0. 1.219e-06 6.200e-19 0.40000 -0.1188 0.1188 0.1980
0.4 0.20202020202 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.8584 0. 1.317e-06 6.610e-19 0.40000 -0.1286 0.1286 0.2020
0.4 0.206060606061 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.9094 0. 1.419e-06 7.034e-19 0.40000 -0.1390 0.1390 0.2061
0.4 0.210101010101 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 0.9618 0. 1.527e-06 7.471e-19 0.40000 -0.1501 0.1501 0.2101
0.4 0.214141414141 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.0155 0. 1.641e-06 7.923e-19 0.40000 -0.1618 0.1618 0.2141
0.4 0.218181818182 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.0706 0. 1.760e-06 8.389e-19 0.40000 -0.1741 0.1741 0.2182
0.4 0.222222222222 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.1270 0. 1.884e-06 8.868e-19 0.40000 -0.1872 0.1872 0.2222
0.4 0.226262626263 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.1847 0. 2.015e-06 9.360e-19 0.40000 -0.2009 0.2009 0.2263
0.4 0.230303030303 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.2436 0. 2.150e-06 9.866e-19 0.40000 -0.2153 0.2153 0.2303
0.4 0.234343434343 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.3037 0. 2.292e-06 1.038e-18 0.40000 -0.2305 0.2305 0.2343
0.4 0.238383838384 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.3651 0. 2.439e-06 1.092e-18 0.40000 -0.2464 0.2464 0.2384
0.4 0.242424242424 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.4276 0. 2.593e-06 1.146e-18 0.40000 -0.2630 0.2630 0.2424
0.4 0.246464646465 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.4912 0. 2.752e-06 1.202e-18 0.40000 -0.2805 0.2805 0.2465
0.4 0.250505050505 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.5560 0. 2.916e-06 1.258e-18 0.40000 -0.2986 0.2986 0.2505
0.4 0.254545454545 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.6218 0. 3.087e-06 1.317e-18 0.40000 -0.3176 0.3176 0.2545
0.4 0.258585858586 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.6887 0. 3.264e-06 1.376e-18 0.40000 -0.3374 0.3374 0.2586
0.4 0.262626262626 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.7566 0. 3.446e-06 1.436e-18 0.40000 -0.3579 0.3579 0.2626
0.4 0.266666666667 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.8255 0. 3.634e-06 1.498e-18 0.40000 -0.3793 0.3793 0.2667
