vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.0 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.504e-04 -6.6660 16.0049 -11.5458 4.583e-03 -9.406e-04 4.712e-09 4.674e-04 3.4198 4.578e-03 3.103e-21 0.40000 -4.674e-04 4.674e-04 -1.123e-06
0.4 0.0040404040404 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.534e-04 -6.6660 16.0054 -11.5458 5.224e-03 -9.702e-04 5.373e-09 5.324e-04 3.4204 5.218e-03 3.535e-21 0.40000 -5.325e-04 5.325e-04 4.041e-03
0.4 0.00808080808081 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.568e-04 -6.6660 16.0061 -11.5458 5.954e-03 -1.004e-03 6.127e-09 6.064e-04 3.4211 5.946e-03 4.028e-21 0.40000 -6.065e-04 6.065e-04 8.080e-03
0.4 0.0121212121212 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.607e-04 -6.6660 16.0069 -11.5458 6.786e-03 -1.042e-03 6.988e-09 6.906e-04 3.4219 6.775e-03 4.589e-21 0.40000 -6.908e-04 6.908e-04 1.212e-02
0.4 0.0161616161616 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.652e-04 -6.6660 16.0078 -11.5458 7.734e-03 -1.086e-03 7.970e-09 7.864e-04 3.4227 7.721e-03 5.229e-21 0.40000 -7.866e-04 7.866e-04 1.616e-02
0.4 0.020202020202 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.702e-04 -6.6660 16.0088 -11.5458 8.815e-03 -1.136e-03 9.092e-09 8.954e-04 3.4237 8.797e-03 5.959e-21 0.40000 -8.956e-04 8.956e-04 2.020e-02
0.4 0.0242424242424 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.759e-04 -6.6660 16.0099 -11.5458 1.005e-02 -1.193e-03 1.037e-08 1.019e-03 3.4249 1.002e-02 6.791e-21 0.40000 -1.020e-03 1.020e-03 2.424e-02
0.4 0.0282828282828 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.825e-04 -6.6660 16.0112 -11.5458 1.145e-02 -1.258e-03 1.183e-08 1.160e-03 3.4262 1.142e-02 7.739e-21 0.40000 -1.161e-03 1.161e-03 2.828e-02
0.4 0.0323232323232 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.899e-04 -6.6660 16.0127 -11.5458 1.305e-02 -1.332e-03 1.350e-08 1.320e-03 3.4277 1.301e-02 8.820e-21 0.40000 -1.321e-03 1.321e-03 3.232e-02
0.4 0.0363636363636 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.983e-04 -6.6660 16.0144 -11.5458 1.487e-02 -1.416e-03 1.541e-08 1.502e-03 3.4294 1.483e-02 1.005e-20 0.40000 -1.503e-03 1.503e-03 3.636e-02
0.4 0.040404040404 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.078e-04 -6.6660 16.0163 -11.5458 1.695e-02 -1.512e-03 1.759e-08 1.709e-03 3.4313 1.689e-02 1.146e-20 0.40000 -1.710e-03 1.710e-03 4.040e-02
