vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qms vfes ids qgi sweepvar qm qmd vgs
0.4 0.0 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.505e-04 4.569e-03 -8.406e-04 4.557e-09 3.095e-21 0.40000 2.419e-03 4.688e-04 8.406e-04
0.4 0.0040404040404 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.535e-04 5.205e-03 -8.561e-04 5.193e-09 3.525e-21 0.40000 2.755e-03 5.343e-04 4.896e-03
0.4 0.00808080808081 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.570e-04 5.929e-03 -8.737e-04 5.918e-09 4.014e-21 0.40000 3.137e-03 6.088e-04 8.953e-03
0.4 0.0121212121212 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.609e-04 6.754e-03 -8.939e-04 6.745e-09 4.571e-21 0.40000 3.573e-03 6.937e-04 1.301e-02
0.4 0.0161616161616 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.653e-04 7.692e-03 -9.168e-04 7.687e-09 5.206e-21 0.40000 4.069e-03 7.905e-04 1.708e-02
0.4 0.020202020202 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.704e-04 8.760e-03 -9.429e-04 8.760e-09 5.929e-21 0.40000 4.633e-03 9.007e-04 2.114e-02
0.4 0.0242424242424 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.762e-04 9.975e-03 -9.726e-04 9.983e-09 6.752e-21 0.40000 5.276e-03 1.026e-03 2.521e-02
0.4 0.0282828282828 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.828e-04 1.136e-02 -1.006e-03 1.138e-08 7.688e-21 0.40000 6.008e-03 1.169e-03 2.929e-02
0.4 0.0323232323232 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.904e-04 1.293e-02 -1.045e-03 1.296e-08 8.754e-21 0.40000 6.842e-03 1.332e-03 3.337e-02
0.4 0.0363636363636 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.989e-04 1.472e-02 -1.089e-03 1.477e-08 9.968e-21 0.40000 7.790e-03 1.517e-03 3.745e-02
0.4 0.040404040404 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.087e-04 1.675e-02 -1.139e-03 1.683e-08 1.135e-20 0.40000 8.868e-03 1.728e-03 4.154e-02
0.4 0.0444444444444 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.198e-04 1.905e-02 -1.195e-03 1.918e-08 1.292e-20 0.40000 1.009e-02 1.969e-03 4.564e-02
0.4 0.0484848484848 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.324e-04 2.167e-02 -1.260e-03 2.186e-08 1.470e-20 0.40000 1.149e-02 2.242e-03 4.974e-02
0.4 0.0525252525253 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.468e-04 2.465e-02 -1.333e-03 2.490e-08 1.673e-20 0.40000 1.308e-02 2.553e-03 5.385e-02
0.4 0.0565656565657 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.631e-04 2.802e-02 -1.416e-03 2.837e-08 1.904e-20 0.40000 1.488e-02 2.907e-03 5.798e-02
0.4 0.0606060606061 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.817e-04 3.184e-02 -1.511e-03 3.232e-08 2.165e-20 0.40000 1.692e-02 3.310e-03 6.211e-02
0.4 0.0646464646465 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.029e-04 3.618e-02 -1.618e-03 3.682e-08 2.463e-20 0.40000 1.925e-02 3.768e-03 6.626e-02
0.4 0.0686868686869 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.269e-04 4.108e-02 -1.740e-03 4.194e-08 2.800e-20 0.40000 2.188e-02 4.289e-03 7.042e-02
0.4 0.0727272727273 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.543e-04 4.663e-02 -1.878e-03 4.777e-08 3.183e-20 0.40000 2.487e-02 4.880e-03 7.460e-02
0.4 0.0767676767677 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.853e-04 5.290e-02 -2.034e-03 5.440e-08 3.616e-20 0.40000 2.826e-02 5.553e-03 7.879e-02
0.4 0.0808080808081 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.021e-03 5.997e-02 -2.212e-03 6.195e-08 4.107e-20 0.40000 3.210e-02 6.316e-03 8.301e-02
0.4 0.0848484848485 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.061e-03 6.795e-02 -2.412e-03 7.053e-08 4.663e-20 0.40000 3.644e-02 7.184e-03 8.725e-02
0.4 0.0888888888889 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.106e-03 7.693e-02 -2.639e-03 8.030e-08 5.291e-20 0.40000 4.135e-02 8.168e-03 9.152e-02
0.4 0.0929292929293 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.158e-03 8.704e-02 -2.895e-03 9.141e-08 6.001e-20 0.40000 4.690e-02 9.285e-03 9.581e-02
0.4 0.0969696969697 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.216e-03 9.838e-02 -3.184e-03 1.040e-07 6.801e-20 0.40000 5.315e-02 1.055e-02 0.1001
0.4 0.10101010101 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.283e-03 0.1111 -3.510e-03 1.184e-07 7.704e-20 0.40000 6.020e-02 1.199e-02 0.1045
0.4 0.105050505051 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.358e-03 0.1253 -3.877e-03 1.347e-07 8.719e-20 0.40000 6.814e-02 1.362e-02 0.1089
0.4 0.109090909091 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.443e-03 0.1413 -4.289e-03 1.532e-07 9.861e-20 0.40000 7.706e-02 1.546e-02 0.1134
0.4 0.113131313131 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.540e-03 0.1590 -4.751e-03 1.742e-07 1.114e-19 0.40000 8.708e-02 1.755e-02 0.1179
0.4 0.117171717172 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.649e-03 0.1788 -5.270e-03 1.981e-07 1.258e-19 0.40000 9.830e-02 1.991e-02 0.1224
0.4 0.121212121212 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.772e-03 0.2007 -5.849e-03 2.251e-07 1.419e-19 0.40000 0.1109 2.259e-02 0.1270
0.4 0.125252525253 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.912e-03 0.2250 -6.497e-03 2.558e-07 1.598e-19 0.40000 0.1249 2.562e-02 0.1317
0.4 0.129292929293 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.070e-03 0.2520 -7.219e-03 2.906e-07 1.798e-19 0.40000 0.1405 2.904e-02 0.1365
0.4 0.133333333333 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.249e-03 0.2817 -8.022e-03 3.299e-07 2.021e-19 0.40000 0.1579 3.292e-02 0.1413
0.4 0.137373737374 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.452e-03 0.3144 -8.914e-03 3.745e-07 2.268e-19 0.40000 0.1772 3.730e-02 0.1463
0.4 0.141414141414 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.681e-03 0.3504 -9.903e-03 4.250e-07 2.542e-19 0.40000 0.1987 4.226e-02 0.1513
0.4 0.145454545455 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.940e-03 0.3898 -1.100e-02 4.820e-07 2.845e-19 0.40000 0.2224 4.786e-02 0.1564
0.4 0.149494949495 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.233e-03 0.4330 -1.220e-02 5.464e-07 3.180e-19 0.40000 0.2485 5.421e-02 0.1617
0.4 0.153535353535 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.565e-03 0.4801 -1.353e-02 6.192e-07 3.549e-19 0.40000 0.2774 6.139e-02 0.1670
0.4 0.157575757576 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.940e-03 0.5315 -1.500e-02 7.014e-07 3.955e-19 0.40000 0.3091 6.951e-02 0.1725
0.4 0.161616161616 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.365e-03 0.5875 -1.660e-02 7.941e-07 4.401e-19 0.40000 0.3439 7.871e-02 0.1782
0.4 0.165656565657 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.846e-03 0.6483 -1.836e-02 8.985e-07 4.890e-19 0.40000 0.3821 8.914e-02 0.1840
0.4 0.169696969697 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.392e-03 0.7142 -2.028e-02 1.016e-06 5.424e-19 0.40000 0.4239 0.1009 0.1899
0.4 0.173737373737 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.010e-03 0.7857 -2.238e-02 1.149e-06 6.009e-19 0.40000 0.4696 0.1143 0.1961
0.4 0.177777777778 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.711e-03 0.8630 -2.467e-02 1.297e-06 6.647e-19 0.40000 0.5195 0.1295 0.2024
0.4 0.181818181818 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.506e-03 0.9465 -2.717e-02 1.465e-06 7.343e-19 0.40000 0.5739 0.1467 0.2089
0.4 0.185858585859 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.408e-03 1.0366 -2.988e-02 1.653e-06 8.101e-19 0.40000 0.6331 0.1663 0.2157
0.4 0.189898989899 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.430e-03 1.1339 -3.282e-02 1.863e-06 8.925e-19 0.40000 0.6975 0.1884 0.2227
0.4 0.193939393939 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.059e-02 1.2386 -3.602e-02 2.100e-06 9.821e-19 0.40000 0.7675 0.2136 0.2299
0.4 0.19797979798 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.190e-02 1.3514 -3.948e-02 2.364e-06 1.079e-18 0.40000 0.8435 0.2420 0.2374
0.4 0.20202020202 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.339e-02 1.4727 -4.322e-02 2.660e-06 1.185e-18 0.40000 0.9260 0.2743 0.2452
0.4 0.206060606061 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.508e-02 1.6031 -4.726e-02 2.990e-06 1.299e-18 0.40000 1.0155 0.3108 0.2532
0.4 0.210101010101 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.698e-02 1.7432 -5.162e-02 3.359e-06 1.424e-18 0.40000 1.1125 0.3521 0.2616
0.4 0.214141414141 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.912e-02 1.8936 -5.632e-02 3.770e-06 1.558e-18 0.40000 1.2175 0.3987 0.2704
0.4 0.218181818182 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.154e-02 2.0548 -6.137e-02 4.226e-06 1.703e-18 0.40000 1.3310 0.4512 0.2795
0.4 0.222222222222 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.424e-02 2.2274 -6.678e-02 4.732e-06 1.860e-18 0.40000 1.4536 0.5101 0.2889
0.4 0.226262626263 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.726e-02 2.4118 -7.256e-02 5.292e-06 2.029e-18 0.40000 1.5857 0.5759 0.2987
0.4 0.230303030303 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.062e-02 2.6083 -7.870e-02 5.907e-06 2.211e-18 0.40000 1.7277 0.6492 0.3089
0.4 0.234343434343 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.432e-02 2.8167 -8.520e-02 6.582e-06 2.405e-18 0.40000 1.8795 0.7302 0.3195
0.4 0.238383838384 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.837e-02 3.0368 -9.201e-02 7.316e-06 2.612e-18 0.40000 2.0412 0.8193 0.3303
0.4 0.242424242424 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.277e-02 3.2676 -9.909e-02 8.108e-06 2.831e-18 0.40000 2.2121 0.9161 0.3415
0.4 0.246464646465 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.749e-02 3.5078 -0.1064 8.954e-06 3.060e-18 0.40000 2.3913 1.0205 0.3528
0.4 0.250505050505 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.248e-02 3.7552 -0.1137 9.847e-06 3.298e-18 0.40000 2.5773 1.1315 0.3642
0.4 0.254545454545 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.768e-02 4.0076 -0.1211 1.078e-05 3.542e-18 0.40000 2.7682 1.2480 0.3757
0.4 0.258585858586 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.304e-02 4.2620 -0.1284 1.174e-05 3.790e-18 0.40000 2.9621 1.3687 0.3870
0.4 0.262626262626 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.847e-02 4.5159 -0.1355 1.271e-05 4.039e-18 0.40000 3.1567 1.4921 0.3982
0.4 0.266666666667 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.390e-02 4.7667 -0.1423 1.369e-05 4.287e-18 0.40000 3.3500 1.6166 0.4090
