vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.128e-11 0. -6.392e-07 0. 1.038e-12 5.0000e-02 -1.152e-07 -1.083e-07
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.687e-11 0. -9.770e-07 0. 2.472e-12 0.70000 -1.284e-08 -9.912e-11
0.05 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.456e-11 0. -8.252e-07 0. 1.339e-12 5.0000e-02 -1.488e-07 -1.398e-07
0.7 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.476e-11 0. -1.264e-06 0. 3.198e-12 0.70000 -1.662e-08 -1.282e-10
0.05 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.877e-11 0. -1.064e-06 0. 1.727e-12 5.0000e-02 -1.919e-07 -1.804e-07
0.7 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.475e-11 0. -1.627e-06 0. 4.117e-12 0.70000 -2.139e-08 -1.651e-10
0.05 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.424e-11 0. -1.374e-06 0. 2.230e-12 5.0000e-02 -2.477e-07 -2.328e-07
0.7 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.768e-11 0. -2.097e-06 0. 5.306e-12 0.70000 -2.757e-08 -2.128e-10
0.05 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.129e-11 0. -1.774e-06 0. 2.879e-12 5.0000e-02 -3.197e-07 -3.005e-07
0.7 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.433e-11 0. -2.703e-06 0. 6.839e-12 0.70000 -3.554e-08 -2.742e-10
0.05 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.037e-11 0. -2.288e-06 0. 3.714e-12 5.0000e-02 -4.125e-07 -3.877e-07
0.7 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 9.576e-11 0. -3.482e-06 0. 8.810e-12 0.70000 -4.578e-08 -3.533e-10
0.05 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.211e-11 0. -2.954e-06 0. 4.794e-12 5.0000e-02 -5.325e-07 -5.005e-07
0.7 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.234e-10 0. -4.489e-06 0. 1.136e-11 0.70000 -5.902e-08 -4.554e-10
0.05 0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.728e-11 0. -3.813e-06 0. 6.190e-12 5.0000e-02 -6.873e-07 -6.460e-07
0.7 0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.591e-10 0. -5.785e-06 0. 1.464e-11 0.70000 -7.605e-08 -5.869e-10
0.05 0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.684e-11 0. -4.922e-06 0. 7.989e-12 5.0000e-02 -8.872e-07 -8.339e-07
0.7 0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.050e-10 0. -7.456e-06 0. 1.886e-11 0.70000 -9.803e-08 -7.565e-10
0.05 0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.121e-10 0. -6.352e-06 0. 1.031e-11 5.0000e-02 -1.145e-06 -1.077e-06
0.7 0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.642e-10 0. -9.609e-06 0. 2.431e-11 0.70000 -1.263e-07 -9.751e-10
0.05 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.447e-10 0. -8.199e-06 0. 1.331e-11 5.0000e-02 -1.479e-06 -1.390e-06
0.7 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.409e-10 0. -1.240e-05 0. 3.136e-11 0.70000 -1.630e-07 -1.258e-09
0.05 0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.865e-10 0. -1.057e-05 0. 1.716e-11 5.0000e-02 -1.906e-06 -1.792e-06
0.7 0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.390e-10 0. -1.596e-05 0. 4.039e-11 0.70000 -2.099e-07 -1.620e-09
0.05 0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.410e-10 0. -1.366e-05 0. 2.217e-11 5.0000e-02 -2.462e-06 -2.314e-06
0.7 0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.656e-10 0. -2.057e-05 0. 5.204e-11 0.70000 -2.704e-07 -2.087e-09
0.05 0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.110e-10 0. -1.763e-05 0. 2.862e-11 5.0000e-02 -3.178e-06 -2.987e-06
0.7 0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.273e-10 0. -2.645e-05 0. 6.691e-11 0.70000 -3.477e-07 -2.685e-09
0.05 0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.013e-10 0. -2.275e-05 0. 3.692e-11 5.0000e-02 -4.100e-06 -3.854e-06
0.7 0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 9.453e-10 0. -3.437e-05 0. 8.697e-11 0.70000 -4.519e-07 -3.487e-09
0.05 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.179e-10 0. -2.935e-05 0. 4.765e-11 5.0000e-02 -5.291e-06 -4.973e-06
