vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.452e-11 0. -3.4818 19.8269 -6.0307 -2.107e-06 0. -5.016e-12 -5.169e-10 14.8935 -2.107e-06 -2.214e-23 -0.70000 -2.800e-08 -5.169e-10 -1.453e-04
-0.7 -0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 6.864e-11 0. -3.4818 19.8269 -6.0307 -2.653e-06 0. -6.315e-12 -6.508e-10 14.8935 -2.653e-06 -2.301e-23 -0.70000 -3.526e-08 -6.508e-10 7.119e-03
-0.7 -0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.577e-11 0. -3.4818 19.8269 -6.0307 -3.315e-06 0. -7.891e-12 -8.132e-10 14.8935 -3.315e-06 -2.403e-23 -0.70000 -4.405e-08 -8.132e-10 1.414e-02
-0.7 -0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.073e-10 0. -3.4818 19.8268 -6.0307 -4.145e-06 0. -9.867e-12 -1.017e-09 14.8934 -4.146e-06 -2.526e-23 -0.70000 -5.509e-08 -1.017e-09 2.119e-02
-0.7 -0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.343e-10 0. -3.4818 19.8270 -6.0307 -5.189e-06 0. -1.235e-11 -1.273e-09 14.8935 -5.189e-06 -2.675e-23 -0.70000 -6.895e-08 -1.273e-09 2.827e-02
-0.7 -0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.680e-10 0. -3.4818 19.8269 -6.0307 -6.494e-06 0. -1.546e-11 -1.593e-09 14.8935 -6.494e-06 -2.857e-23 -0.70000 -8.630e-08 -1.593e-09 3.535e-02
-0.7 -0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.096e-10 0. -3.4818 19.8269 -6.0307 -8.100e-06 0. -1.928e-11 -1.987e-09 14.8935 -8.100e-06 -3.077e-23 -0.70000 -1.076e-07 -1.987e-09 4.231e-02
-0.7 -0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.632e-10 0. -3.4818 19.8270 -6.0307 -1.017e-05 0. -2.421e-11 -2.495e-09 14.8935 -1.017e-05 -3.354e-23 -0.70000 -1.352e-07 -2.495e-09 4.949e-02
-0.7 -0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.293e-10 0. -3.4818 19.8269 -6.0307 -1.273e-05 0. -3.030e-11 -3.122e-09 14.8935 -1.273e-05 -3.692e-23 -0.70000 -1.691e-07 -3.122e-09 5.656e-02
-0.7 -0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.116e-10 0. -3.4818 19.8270 -6.0307 -1.591e-05 0. -3.786e-11 -3.902e-09 14.8936 -1.591e-05 -4.108e-23 -0.70000 -2.114e-07 -3.902e-09 6.359e-02
