vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.143e-11 -3.803e-04 -3.4664 13.7805 -6.0040 -6.480e-07 -3.803e-04 1.052e-12 -1.098e-07 1.3155 -6.480e-07 2.759e-23 5.0000e-02 -1.168e-07 -1.098e-07 -1.051e-15
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.731e-11 -3.803e-04 -3.4469 21.1437 -5.9702 -9.932e-07 -3.803e-04 2.513e-12 -1.008e-10 8.7409 -9.932e-07 2.774e-23 0.70000 -1.306e-08 -1.008e-10 -2.554e-15
0.05 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.476e-11 -3.803e-04 -3.4664 13.7807 -6.0040 -8.363e-07 -3.803e-04 1.358e-12 -1.417e-07 1.3158 -8.363e-07 2.810e-23 5.0000e-02 -1.507e-07 -1.417e-07 7.070e-03
0.7 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.520e-11 -3.803e-04 -3.4469 21.1437 -5.9702 -1.280e-06 -3.804e-04 3.239e-12 -1.299e-10 8.7409 -1.280e-06 2.834e-23 0.70000 -1.683e-08 -1.299e-10 7.075e-03
0.05 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.905e-11 -3.803e-04 -3.4664 13.7805 -6.0040 -1.080e-06 -3.804e-04 1.752e-12 -1.829e-07 1.3155 -1.080e-06 2.869e-23 5.0000e-02 -1.946e-07 -1.829e-07 1.414e-02
0.7 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.531e-11 -3.803e-04 -3.4469 21.1436 -5.9702 -1.648e-06 -3.804e-04 4.168e-12 -1.672e-10 8.7407 -1.648e-06 2.904e-23 0.70000 -2.166e-08 -1.672e-10 1.411e-02
0.05 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.458e-11 -3.803e-04 -3.4664 13.7805 -6.0040 -1.393e-06 -3.804e-04 2.261e-12 -2.361e-07 1.3155 -1.393e-06 2.939e-23 5.0000e-02 -2.511e-07 -2.360e-07 2.121e-02
0.7 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.822e-11 -3.803e-04 -3.4469 21.1438 -5.9702 -2.117e-06 -3.804e-04 5.357e-12 -2.148e-10 8.7409 -2.117e-06 2.986e-23 0.70000 -2.784e-08 -2.148e-10 2.109e-02
0.05 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.173e-11 -3.803e-04 -3.4664 13.7804 -6.0040 -1.798e-06 -3.804e-04 2.919e-12 -3.047e-07 1.3154 -1.798e-06 3.022e-23 5.0000e-02 -3.242e-07 -3.047e-07 2.828e-02
0.7 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.538e-11 -3.803e-04 -3.4469 21.1437 -5.9702 -2.741e-06 -3.805e-04 6.935e-12 -2.781e-10 8.7408 -2.741e-06 3.088e-23 0.70000 -3.604e-08 -2.781e-10 2.829e-02
