vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.905e-11 -3.803e-04 -3.4565 20.1390 -5.9869 -8.042e-07 -3.803e-04 1.752e-12 -2.292e-10 7.7055 -8.042e-07 2.757e-23 0.40000 -1.072e-08 -2.292e-10 -7.301e-06
0.4 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.457e-11 -3.803e-04 -3.4565 20.1393 -5.9869 -1.037e-06 -3.804e-04 2.260e-12 -2.955e-10 7.7058 -1.037e-06 2.810e-23 0.40000 -1.382e-08 -2.955e-10 7.060e-03
0.4 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.169e-11 -3.803e-04 -3.4565 20.1390 -5.9869 -1.338e-06 -3.804e-04 2.916e-12 -3.814e-10 7.7055 -1.338e-06 2.872e-23 0.40000 -1.783e-08 -3.814e-10 1.414e-02
0.4 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.087e-11 -3.803e-04 -3.4565 20.1390 -5.9869 -1.726e-06 -3.804e-04 3.760e-12 -4.919e-10 7.7055 -1.726e-06 2.944e-23 0.40000 -2.300e-08 -4.919e-10 2.121e-02
0.4 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.281e-11 -3.803e-04 -3.4565 20.1389 -5.9869 -2.230e-06 -3.805e-04 4.859e-12 -6.356e-10 7.7054 -2.230e-06 3.031e-23 0.40000 -2.972e-08 -6.356e-10 2.833e-02
0.4 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.802e-11 -3.803e-04 -3.4565 20.1389 -5.9869 -2.872e-06 -3.805e-04 6.257e-12 -8.186e-10 7.7054 -2.872e-06 3.134e-23 0.40000 -3.827e-08 -8.186e-10 3.536e-02
0.4 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.778e-11 -3.803e-04 -3.4565 20.1390 -5.9869 -3.706e-06 -3.806e-04 8.076e-12 -1.056e-09 7.7055 -3.706e-06 3.262e-23 0.40000 -4.939e-08 -1.056e-09 4.245e-02
0.4 0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.131e-10 -3.803e-04 -3.4565 20.1401 -5.9869 -4.774e-06 -3.807e-04 1.041e-11 -1.359e-09 7.7066 -4.775e-06 3.420e-23 0.40000 -6.363e-08 -1.359e-09 4.949e-02
0.4 0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.458e-10 -3.803e-04 -3.4565 20.1390 -5.9869 -6.158e-06 -3.808e-04 1.342e-11 -1.755e-09 7.7055 -6.158e-06 3.616e-23 0.40000 -8.207e-08 -1.755e-09 5.656e-02
0.4 0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.881e-10 -3.803e-04 -3.4565 20.1390 -5.9869 -7.942e-06 -3.810e-04 1.731e-11 -2.264e-09 7.7055 -7.942e-06 3.864e-23 0.40000 -1.058e-07 -2.264e-09 6.364e-02
0.4 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.429e-10 -3.803e-04 -3.4565 20.1386 -5.9869 -1.025e-05 -3.812e-04 2.235e-11 -2.924e-09 7.7051 -1.026e-05 4.177e-23 0.40000 -1.367e-07 -2.924e-09 7.074e-02
0.4 0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.105e-10 -3.803e-04 -3.4565 20.1376 -5.9869 -1.311e-05 -3.814e-04 2.857e-11 -3.743e-09 7.7041 -1.311e-05 4.560e-23 0.40000 -1.748e-07 -3.743e-09 7.757e-02
0.4 0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.044e-10 -3.803e-04 -3.4565 20.1389 -5.9869 -1.707e-05 -3.818e-04 3.720e-11 -4.867e-09 7.7054 -1.707e-05 5.081e-23 0.40000 -2.275e-07 -4.867e-09 8.490e-02
0.4 0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.203e-10 -3.803e-04 -3.4565 20.1390 -5.9869 -2.197e-05 -3.822e-04 4.787e-11 -6.262e-09 7.7055 -2.197e-05 5.720e-23 0.40000 -2.928e-07 -6.262e-09 9.191e-02
0.4 0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.705e-10 -3.803e-04 -3.4565 20.1393 -5.9869 -2.830e-05 -3.828e-04 6.168e-11 -8.066e-09 7.7058 -2.831e-05 6.541e-23 0.40000 -3.772e-07 -8.066e-09 9.896e-02
0.4 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.669e-10 -3.803e-04 -3.4565 20.1390 -5.9869 -3.660e-05 -3.835e-04 7.976e-11 -1.043e-08 7.7055 -3.660e-05 7.608e-23 0.40000 -4.878e-07 -1.043e-08 0.1061
0.4 0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.115e-09 -3.803e-04 -3.4565 20.1392 -5.9869 -4.707e-05 -3.845e-04 1.026e-10 -1.342e-08 7.7057 -4.708e-05 8.950e-23 0.40000 -6.273e-07 -1.342e-08 0.1131
0.4 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.440e-09 -3.803e-04 -3.4565 20.1391 -5.9869 -6.078e-05 -3.857e-04 1.325e-10 -1.733e-08 7.7056 -6.080e-05 1.070e-22 0.40000 -8.101e-07 -1.733e-08 0.1202
0.4 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.857e-09 -3.803e-04 -3.4565 20.1394 -5.9869 -7.837e-05 -3.872e-04 1.708e-10 -2.234e-08 7.7059 -7.839e-05 1.294e-22 0.40000 -1.044e-06 -2.234e-08 0.1273
