vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.120e-11 -3.803e-04 -3.5030 13.1451 -6.0673 -1.407e-06 -3.804e-04 -1.950e-12 -2.924e-07 1.6394 -1.407e-06 -2.173e-23 -5.0000e-02 -3.069e-07 -2.924e-07 -2.287e-06
-0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.543e-11 -3.803e-04 -3.4818 19.8269 -6.0307 -2.143e-06 -3.804e-04 -5.100e-12 -5.256e-10 8.3824 -2.143e-06 -2.218e-23 -0.70000 -2.847e-08 -5.256e-10 -5.107e-15
-0.05 -0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.655e-11 -3.803e-04 -3.5030 13.1448 -6.0673 -1.763e-06 -3.804e-04 -2.443e-12 -3.664e-07 1.6391 -1.763e-06 -2.246e-23 -5.0000e-02 -3.846e-07 -3.664e-07 7.062e-03
-0.7 -0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.926e-11 -3.803e-04 -3.4818 19.8270 -6.0307 -2.677e-06 -3.805e-04 -6.372e-12 -6.566e-10 8.3824 -2.677e-06 -2.304e-23 -0.70000 -3.557e-08 -6.566e-10 7.020e-03
-0.05 -0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.329e-11 -3.803e-04 -3.5030 13.1451 -6.0673 -2.209e-06 -3.805e-04 -3.063e-12 -4.592e-07 1.6394 -2.209e-06 -2.332e-23 -5.0000e-02 -4.820e-07 -4.592e-07 1.414e-02
-0.7 -0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.680e-11 -3.803e-04 -3.4818 19.8269 -6.0307 -3.355e-06 -3.806e-04 -7.986e-12 -8.229e-10 8.3824 -3.355e-06 -2.408e-23 -0.70000 -4.458e-08 -8.229e-10 1.414e-02
-0.05 -0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.171e-11 -3.803e-04 -3.5030 13.1451 -6.0673 -2.768e-06 -3.805e-04 -3.837e-12 -5.753e-07 1.6394 -2.768e-06 -2.435e-23 -5.0000e-02 -6.039e-07 -5.753e-07 2.121e-02
-0.7 -0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.082e-10 -3.803e-04 -3.4818 19.8269 -6.0307 -4.183e-06 -3.806e-04 -9.957e-12 -1.026e-09 8.3824 -4.183e-06 -2.531e-23 -0.70000 -5.559e-08 -1.026e-09 2.109e-02
-0.05 -0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.227e-11 -3.803e-04 -3.5030 13.1451 -6.0673 -3.469e-06 -3.806e-04 -4.809e-12 -7.209e-07 1.6394 -3.469e-06 -2.559e-23 -5.0000e-02 -7.568e-07 -7.209e-07 2.828e-02
-0.7 -0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.360e-10 -3.803e-04 -3.4818 19.8269 -6.0307 -5.257e-06 -3.807e-04 -1.251e-11 -1.289e-09 8.3824 -5.257e-06 -2.684e-23 -0.70000 -6.985e-08 -1.289e-09 2.830e-02
