vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.143e-11 -3.803e-04 -6.480e-07 -3.803e-04 1.052e-12 5.0000e-02 -1.168e-07 -1.098e-07
0.5 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.147e-11 -3.803e-04 -8.627e-07 -3.803e-04 1.976e-12 0.50000 -1.140e-08 -1.477e-10
0.05 0.00505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.372e-11 -3.803e-04 -7.773e-07 -3.803e-04 1.262e-12 5.0000e-02 -1.400e-07 -1.316e-07
0.5 0.00505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.575e-11 -3.803e-04 -1.034e-06 -3.804e-04 2.369e-12 0.50000 -1.367e-08 -1.771e-10
0.05 0.010101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.646e-11 -3.803e-04 -9.330e-07 -3.803e-04 1.514e-12 5.0000e-02 -1.682e-07 -1.581e-07
0.5 0.010101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.087e-11 -3.803e-04 -1.240e-06 -3.804e-04 2.840e-12 0.50000 -1.639e-08 -2.124e-10
0.05 0.0151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.976e-11 -3.803e-04 -1.120e-06 -3.804e-04 1.818e-12 5.0000e-02 -2.019e-07 -1.898e-07
0.5 0.0151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.707e-11 -3.803e-04 -1.489e-06 -3.804e-04 3.410e-12 0.50000 -1.968e-08 -2.553e-10
0.05 0.020202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.370e-11 -3.803e-04 -1.343e-06 -3.804e-04 2.180e-12 5.0000e-02 -2.422e-07 -2.276e-07
0.5 0.020202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.443e-11 -3.803e-04 -1.785e-06 -3.804e-04 4.087e-12 0.50000 -2.359e-08 -3.056e-10
0.05 0.0252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.844e-11 -3.803e-04 -1.612e-06 -3.804e-04 2.616e-12 5.0000e-02 -2.905e-07 -2.730e-07
0.5 0.0252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.311e-11 -3.803e-04 -2.134e-06 -3.805e-04 4.886e-12 0.50000 -2.820e-08 -3.655e-10
0.05 0.030303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.412e-11 -3.803e-04 -1.934e-06 -3.804e-04 3.139e-12 5.0000e-02 -3.486e-07 -3.276e-07
0.5 0.030303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.383e-11 -3.803e-04 -2.565e-06 -3.805e-04 5.873e-12 0.50000 -3.389e-08 -4.391e-10
0.05 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.095e-11 -3.803e-04 -2.321e-06 -3.805e-04 3.767e-12 5.0000e-02 -4.184e-07 -3.932e-07
0.5 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.639e-11 -3.803e-04 -3.069e-06 -3.805e-04 7.028e-12 0.50000 -4.056e-08 -5.258e-10
0.05 0.040404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.914e-11 -3.803e-04 -2.785e-06 -3.805e-04 4.521e-12 5.0000e-02 -5.020e-07 -4.719e-07
0.5 0.040404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.177e-11 -3.803e-04 -3.687e-06 -3.806e-04 8.443e-12 0.50000 -4.873e-08 -6.313e-10
0.05 0.0454545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.896e-11 -3.803e-04 -3.341e-06 -3.806e-04 5.424e-12 5.0000e-02 -6.022e-07 -5.660e-07
0.5 0.0454545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.100e-10 -3.803e-04 -4.421e-06 -3.807e-04 1.012e-11 0.50000 -5.843e-08 -7.570e-10
0.05 0.0505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.074e-11 -3.803e-04 -4.009e-06 -3.806e-04 6.508e-12 5.0000e-02 -7.227e-07 -6.793e-07
0.5 0.0505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.319e-10 -3.803e-04 -5.298e-06 -3.807e-04 1.213e-11 0.50000 -7.002e-08 -9.067e-10
0.05 0.0555555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.487e-11 -3.803e-04 -4.810e-06 -3.807e-04 7.808e-12 5.0000e-02 -8.672e-07 -8.151e-07
0.5 0.0555555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.582e-10 -3.803e-04 -6.356e-06 -3.808e-04 1.456e-11 0.50000 -8.401e-08 -1.088e-09
0.05 0.0606060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.019e-10 -3.803e-04 -5.773e-06 -3.808e-04 9.371e-12 5.0000e-02 -1.041e-06 -9.781e-07
0.5 0.0606060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.894e-10 -3.803e-04 -7.611e-06 -3.809e-04 1.743e-11 0.50000 -1.006e-07 -1.304e-09
0.05 0.0656565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.223e-10 -3.804e-04 -6.930e-06 -3.809e-04 1.125e-11 5.0000e-02 -1.249e-06 -1.174e-06
0.5 0.0656565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.275e-10 -3.803e-04 -9.139e-06 -3.811e-04 2.093e-11 0.50000 -1.208e-07 -1.565e-09
