vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.143e-11 -3.803e-04 -6.480e-07 -3.812e-04 1.051e-12 5.0000e-02 1.097e-05 -1.098e-07
0.5 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.845e-11 -3.803e-04 -8.627e-07 -3.812e-04 1.698e-12 0.50000 1.095e-05 -1.477e-10
0.05 0.00505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.371e-11 -3.803e-04 -7.776e-07 -3.812e-04 1.262e-12 5.0000e-02 1.112e-05 -1.317e-07
0.5 0.00505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.213e-11 -3.803e-04 -1.034e-06 -3.813e-04 2.036e-12 0.50000 1.110e-05 -1.771e-10
0.05 0.010101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.645e-11 -3.803e-04 -9.330e-07 -3.813e-04 1.514e-12 5.0000e-02 1.127e-05 -1.581e-07
0.5 0.010101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.653e-11 -3.803e-04 -1.240e-06 -3.813e-04 2.441e-12 0.50000 1.127e-05 -2.124e-10
0.05 0.0151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.974e-11 -3.803e-04 -1.120e-06 -3.813e-04 1.816e-12 5.0000e-02 1.145e-05 -1.897e-07
0.5 0.0151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.181e-11 -3.803e-04 -1.487e-06 -3.813e-04 2.927e-12 0.50000 1.146e-05 -2.547e-10
0.05 0.020202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.369e-11 -3.803e-04 -1.343e-06 -3.813e-04 2.180e-12 5.0000e-02 1.165e-05 -2.276e-07
0.5 0.020202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.815e-11 -3.803e-04 -1.783e-06 -3.813e-04 3.510e-12 0.50000 1.167e-05 -3.054e-10
0.05 0.0252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.843e-11 -3.803e-04 -1.612e-06 -3.813e-04 2.615e-12 5.0000e-02 1.187e-05 -2.731e-07
0.5 0.0252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.574e-11 -3.803e-04 -2.139e-06 -3.813e-04 4.208e-12 0.50000 1.191e-05 -3.662e-10
0.05 0.030303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.411e-11 -3.803e-04 -1.934e-06 -3.813e-04 3.138e-12 5.0000e-02 1.212e-05 -3.277e-07
0.5 0.030303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.485e-11 -3.803e-04 -2.564e-06 -3.813e-04 5.046e-12 0.50000 1.219e-05 -4.391e-10
0.05 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.093e-11 -3.803e-04 -2.321e-06 -3.814e-04 3.765e-12 5.0000e-02 1.241e-05 -3.932e-07
0.5 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.577e-11 -3.803e-04 -3.075e-06 -3.814e-04 6.051e-12 0.50000 1.251e-05 -5.265e-10
0.05 0.040404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.911e-11 -3.803e-04 -2.785e-06 -3.814e-04 4.518e-12 5.0000e-02 1.275e-05 -4.718e-07
0.5 0.040404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.886e-11 -3.803e-04 -3.687e-06 -3.814e-04 7.255e-12 0.50000 1.288e-05 -6.313e-10
0.05 0.0454545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.893e-11 -3.803e-04 -3.342e-06 -3.814e-04 5.421e-12 5.0000e-02 1.314e-05 -5.662e-07
0.5 0.0454545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.456e-11 -3.803e-04 -4.421e-06 -3.814e-04 8.700e-12 0.50000 1.331e-05 -7.570e-10
0.05 0.0505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.071e-11 -3.803e-04 -4.010e-06 -3.815e-04 6.505e-12 5.0000e-02 1.359e-05 -6.794e-07
0.5 0.0505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.134e-10 -3.803e-04 -5.301e-06 -3.815e-04 1.043e-11 0.50000 1.382e-05 -9.078e-10
0.05 0.0555555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.484e-11 -3.803e-04 -4.811e-06 -3.815e-04 7.806e-12 5.0000e-02 1.413e-05 -8.152e-07
0.5 0.0555555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.360e-10 -3.803e-04 -6.357e-06 -3.815e-04 1.251e-11 0.50000 1.441e-05 -1.088e-09
0.05 0.0606060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.018e-10 -3.803e-04 -5.773e-06 -3.816e-04 9.366e-12 5.0000e-02 1.475e-05 -9.781e-07
0.5 0.0606060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.630e-10 -3.803e-04 -7.622e-06 -3.816e-04 1.500e-11 0.50000 1.510e-05 -1.305e-09
0.05 0.0656565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.222e-10 -3.804e-04 -6.927e-06 -3.816e-04 1.124e-11 5.0000e-02 1.549e-05 -1.174e-06
0.5 0.0656565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.955e-10 -3.803e-04 -9.140e-06 -3.817e-04 1.799e-11 0.50000 1.592e-05 -1.565e-09
0.05 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.466e-10 -3.804e-04 -8.312e-06 -3.817e-04 1.349e-11 5.0000e-02 1.636e-05 -1.408e-06
0.5 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.344e-10 -3.803e-04 -1.096e-05 -3.818e-04 2.157e-11 0.50000 1.690e-05 -1.877e-09
0.05 0.0757575757576 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.759e-10 -3.804e-04 -9.974e-06 -3.818e-04 1.618e-11 5.0000e-02 1.740e-05 -1.690e-06
0.5 0.0757575757576 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.811e-10 -3.803e-04 -1.314e-05 -3.819e-04 2.586e-11 0.50000 1.805e-05 -2.250e-09
0.05 0.0808080808081 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.110e-10 -3.804e-04 -1.197e-05 -3.819e-04 1.942e-11 5.0000e-02 1.862e-05 -2.028e-06
0.5 0.0808080808081 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.370e-10 -3.803e-04 -1.576e-05 -3.820e-04 3.101e-11 0.50000 1.942e-05 -2.698e-09
0.05 0.0858585858586 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.532e-10 -3.805e-04 -1.436e-05 -3.820e-04 2.330e-11 5.0000e-02 2.008e-05 -2.433e-06
0.5 0.0858585858586 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.041e-10 -3.803e-04 -1.889e-05 -3.821e-04 3.718e-11 0.50000 2.105e-05 -3.235e-09
0.05 0.0909090909091 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.039e-10 -3.805e-04 -1.723e-05 -3.822e-04 2.795e-11 5.0000e-02 2.182e-05 -2.920e-06
0.5 0.0909090909091 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.846e-10 -3.803e-04 -2.265e-05 -3.823e-04 4.458e-11 0.50000 2.299e-05 -3.880e-09
0.05 0.0959595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.646e-10 -3.806e-04 -2.067e-05 -3.824e-04 3.354e-11 5.0000e-02 2.390e-05 -3.503e-06
0.5 0.0959595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.811e-10 -3.803e-04 -2.716e-05 -3.825e-04 5.346e-11 0.50000 2.530e-05 -4.652e-09
0.05 0.10101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.375e-10 -3.806e-04 -2.481e-05 -3.826e-04 4.025e-11 5.0000e-02 2.637e-05 -4.204e-06
0.5 0.10101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.967e-10 -3.803e-04 -3.257e-05 -3.828e-04 6.410e-11 0.50000 2.807e-05 -5.578e-09
0.05 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.249e-10 -3.807e-04 -2.977e-05 -3.829e-04 4.829e-11 5.0000e-02 2.933e-05 -5.044e-06
0.5 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.354e-10 -3.803e-04 -3.905e-05 -3.831e-04 7.686e-11 0.50000 3.137e-05 -6.689e-09
0.05 0.111111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.298e-10 -3.808e-04 -3.571e-05 -3.832e-04 5.795e-11 5.0000e-02 3.287e-05 -6.052e-06
0.5 0.111111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.002e-09 -3.803e-04 -4.683e-05 -3.834e-04 9.216e-11 0.50000 3.532e-05 -8.020e-09
0.05 0.116161616162 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.557e-10 -3.809e-04 -4.285e-05 -3.836e-04 6.953e-11 5.0000e-02 3.711e-05 -7.262e-06
0.5 0.116161616162 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.201e-09 -3.803e-04 -5.615e-05 -3.838e-04 1.105e-10 0.50000 4.004e-05 -9.617e-09
0.05 0.121212121212 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.068e-10 -3.810e-04 -5.142e-05 -3.840e-04 8.342e-11 5.0000e-02 4.217e-05 -8.714e-06
0.5 0.121212121212 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.440e-09 -3.803e-04 -6.732e-05 -3.843e-04 1.325e-10 0.50000 4.568e-05 -1.153e-08
0.05 0.126262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.088e-09 -3.812e-04 -6.169e-05 -3.845e-04 1.001e-10 5.0000e-02 4.824e-05 -1.046e-05
0.5 0.126262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.727e-09 -3.803e-04 -8.072e-05 -3.849e-04 1.589e-10 0.50000 5.244e-05 -1.383e-08
0.05 0.131313131313 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.305e-09 -3.814e-04 -7.402e-05 -3.852e-04 1.201e-10 5.0000e-02 5.551e-05 -1.255e-05
0.5 0.131313131313 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.070e-09 -3.803e-04 -9.678e-05 -3.857e-04 1.905e-10 0.50000 6.053e-05 -1.658e-08
0.05 0.136363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.566e-09 -3.816e-04 -8.881e-05 -3.860e-04 1.441e-10 5.0000e-02 6.422e-05 -1.506e-05
0.5 0.136363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.483e-09 -3.803e-04 -1.160e-04 -3.865e-04 2.284e-10 0.50000 7.022e-05 -1.988e-08
0.05 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.879e-09 -3.819e-04 -1.066e-04 -3.869e-04 1.729e-10 5.0000e-02 7.465e-05 -1.807e-05
0.5 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.977e-09 -3.803e-04 -1.391e-04 -3.876e-04 2.738e-10 0.50000 8.182e-05 -2.384e-08
0.05 0.146464646465 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.255e-09 -3.822e-04 -1.278e-04 -3.880e-04 2.074e-10 5.0000e-02 8.716e-05 -2.168e-05
0.5 0.146464646465 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.569e-09 -3.803e-04 -1.668e-04 -3.888e-04 3.283e-10 0.50000 9.572e-05 -2.858e-08
0.05 0.151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.705e-09 -3.826e-04 -1.534e-04 -3.893e-04 2.489e-10 5.0000e-02 1.022e-04 -2.601e-05
0.5 0.151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.279e-09 -3.803e-04 -1.999e-04 -3.903e-04 3.936e-10 0.50000 1.124e-04 -3.427e-08
0.05 0.156565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.246e-09 -3.830e-04 -1.840e-04 -3.909e-04 2.986e-10 5.0000e-02 1.201e-04 -3.121e-05
0.5 0.156565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.130e-09 -3.803e-04 -2.397e-04 -3.921e-04 4.719e-10 0.50000 1.323e-04 -4.109e-08
0.05 0.161616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.894e-09 -3.836e-04 -2.207e-04 -3.928e-04 3.583e-10 5.0000e-02 1.417e-04 -3.745e-05
0.5 0.161616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.150e-09 -3.803e-04 -2.873e-04 -3.942e-04 5.658e-10 0.50000 1.562e-04 -4.927e-08
0.05 0.166666666667 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.672e-09 -3.843e-04 -2.648e-04 -3.951e-04 4.298e-10 5.0000e-02 1.675e-04 -4.494e-05
0.5 0.166666666667 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.373e-09 -3.803e-04 -3.444e-04 -3.967e-04 6.783e-10 0.50000 1.848e-04 -5.907e-08
0.05 0.171717171717 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.604e-09 -3.851e-04 -3.177e-04 -3.979e-04 5.156e-10 5.0000e-02 1.985e-04 -5.393e-05
0.5 0.171717171717 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.839e-09 -3.803e-04 -4.128e-04 -3.998e-04 8.131e-10 0.50000 2.191e-04 -7.082e-08
0.05 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.723e-09 -3.860e-04 -3.810e-04 -4.012e-04 6.185e-10 5.0000e-02 2.356e-04 -6.471e-05
0.5 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.060e-08 -3.803e-04 -4.948e-04 -4.035e-04 9.747e-10 0.50000 2.601e-04 -8.491e-08
0.05 0.181818181818 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.064e-09 -3.872e-04 -4.570e-04 -4.051e-04 7.419e-10 5.0000e-02 2.802e-04 -7.765e-05
0.5 0.181818181818 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.270e-08 -3.803e-04 -5.930e-04 -4.078e-04 1.168e-09 0.50000 3.093e-04 -1.018e-07
0.05 0.186868686869 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.673e-09 -3.885e-04 -5.481e-04 -4.099e-04 8.899e-10 5.0000e-02 3.335e-04 -9.318e-05
0.5 0.186868686869 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.522e-08 -3.803e-04 -7.105e-04 -4.131e-04 1.400e-09 0.50000 3.682e-04 -1.221e-07
0.05 0.191919191919 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.160e-08 -3.902e-04 -6.573e-04 -4.156e-04 1.067e-09 5.0000e-02 3.975e-04 -1.118e-04
0.5 0.191919191919 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.824e-08 -3.803e-04 -8.513e-04 -4.194e-04 1.678e-09 0.50000 4.387e-04 -1.463e-07
0.05 0.19696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.391e-08 -3.922e-04 -7.881e-04 -4.224e-04 1.280e-09 5.0000e-02 4.742e-04 -1.342e-04
0.5 0.19696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.186e-08 -3.803e-04 -1.020e-03 -4.269e-04 2.011e-09 0.50000 5.230e-04 -1.754e-07
0.05 0.20202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.668e-08 -3.946e-04 -9.448e-04 -4.305e-04 1.535e-09 5.0000e-02 5.661e-04 -1.610e-04
0.5 0.20202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.620e-08 -3.803e-04 -1.221e-03 -4.359e-04 2.410e-09 0.50000 6.240e-04 -2.103e-07
0.05 0.207070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.000e-08 -3.974e-04 -1.133e-03 -4.403e-04 1.840e-09 5.0000e-02 6.761e-04 -1.932e-04
0.5 0.207070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.138e-08 -3.803e-04 -1.463e-03 -4.467e-04 2.887e-09 0.50000 7.448e-04 -2.521e-07
0.05 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.398e-08 -4.009e-04 -1.357e-03 -4.520e-04 2.206e-09 5.0000e-02 8.080e-04 -2.319e-04
0.5 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.759e-08 -3.803e-04 -1.751e-03 -4.596e-04 3.459e-09 0.50000 8.892e-04 -3.021e-07
0.05 0.217171717172 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.874e-08 -4.050e-04 -1.626e-03 -4.661e-04 2.644e-09 5.0000e-02 9.659e-04 -2.783e-04
