vd vg vs vb l alpha1_p alpha11_p t_fe idsperum qms vfes ids sweepvar qm qmd
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.162e-11 -1.007e-06 -7.625e-04 1.989e-12 0.70000 1.098e-05 -1.022e-10
0.7 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.786e-11 -1.298e-06 -7.625e-04 2.564e-12 0.70000 1.122e-05 -1.317e-10
0.7 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 3.591e-11 -1.673e-06 -7.626e-04 3.304e-12 0.70000 1.150e-05 -1.697e-10
0.7 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 4.628e-11 -2.156e-06 -7.626e-04 4.258e-12 0.70000 1.183e-05 -2.187e-10
0.7 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 5.965e-11 -2.778e-06 -7.627e-04 5.488e-12 0.70000 1.224e-05 -2.819e-10
0.7 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.688e-11 -3.580e-06 -7.628e-04 7.073e-12 0.70000 1.273e-05 -3.633e-10
0.7 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.908e-11 -4.615e-06 -7.629e-04 9.115e-12 0.70000 1.333e-05 -4.682e-10
0.7 0.0494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.277e-10 -5.947e-06 -7.630e-04 1.175e-11 0.70000 1.409e-05 -6.034e-10
0.7 0.0565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.646e-10 -7.665e-06 -7.632e-04 1.514e-11 0.70000 1.504e-05 -7.776e-10
0.7 0.0636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.121e-10 -9.878e-06 -7.634e-04 1.951e-11 0.70000 1.623e-05 -1.002e-09
0.7 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.734e-10 -1.273e-05 -7.637e-04 2.515e-11 0.70000 1.774e-05 -1.292e-09
0.7 0.0777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 3.523e-10 -1.641e-05 -7.640e-04 3.241e-11 0.70000 1.967e-05 -1.665e-09
0.7 0.0848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 4.541e-10 -2.115e-05 -7.645e-04 4.177e-11 0.70000 2.212e-05 -2.145e-09
0.7 0.0919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 5.852e-10 -2.725e-05 -7.650e-04 5.384e-11 0.70000 2.526e-05 -2.765e-09
0.7 0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.542e-10 -3.512e-05 -7.658e-04 6.938e-11 0.70000 2.928e-05 -3.564e-09
0.7 0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.720e-10 -4.526e-05 -7.667e-04 8.942e-11 0.70000 3.443e-05 -4.593e-09
0.7 0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.253e-09 -5.833e-05 -7.679e-04 1.152e-10 0.70000 4.105e-05 -5.919e-09
0.7 0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.614e-09 -7.517e-05 -7.694e-04 1.485e-10 0.70000 4.956e-05 -7.629e-09
0.7 0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.081e-09 -9.687e-05 -7.713e-04 1.914e-10 0.70000 6.049e-05 -9.832e-09
0.7 0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.682e-09 -1.248e-04 -7.738e-04 2.467e-10 0.70000 7.455e-05 -1.267e-08
0.7 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 3.456e-09 -1.609e-04 -7.771e-04 3.179e-10 0.70000 9.265e-05 -1.633e-08
0.7 0.148484848485 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 4.454e-09 -2.073e-04 -7.812e-04 4.098e-10 0.70000 1.159e-04 -2.105e-08
0.7 0.155555555556 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 5.740e-09 -2.671e-04 -7.866e-04 5.281e-10 0.70000 1.459e-04 -2.712e-08
0.7 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.397e-09 -3.441e-04 -7.935e-04 6.806e-10 0.70000 1.845e-04 -3.496e-08
0.7 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.533e-09 -4.433e-04 -8.024e-04 8.771e-10 0.70000 2.342e-04 -4.505e-08
0.7 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.229e-08 -5.710e-04 -8.138e-04 1.130e-09 0.70000 2.982e-04 -5.806e-08
0.7 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.583e-08 -7.353e-04 -8.285e-04 1.456e-09 0.70000 3.805e-04 -7.481e-08
0.7 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.040e-08 -9.469e-04 -8.474e-04 1.877e-09 0.70000 4.864e-04 -9.642e-08
0.7 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 2.629e-08 -1.219e-03 -8.718e-04 2.419e-09 0.70000 6.226e-04 -1.242e-07
0.7 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 3.388e-08 -1.569e-03 -9.031e-04 3.117e-09 0.70000 7.979e-04 -1.601e-07
0.7 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 4.366e-08 -2.019e-03 -9.433e-04 4.016e-09 0.70000 1.023e-03 -2.063e-07
0.7 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 5.624e-08 -2.596e-03 -9.950e-04 5.174e-09 0.70000 1.312e-03 -2.658e-07
0.7 0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 7.248e-08 -3.337e-03 -1.061e-03 6.669e-09 0.70000 1.684e-03 -3.425e-07
0.7 0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.337e-08 -4.286e-03 -1.146e-03 8.590e-09 0.70000 2.159e-03 -4.411e-07
0.7 0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.204e-07 -5.505e-03 -1.256e-03 1.107e-08 0.70000 2.771e-03 -5.684e-07
0.7 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.551e-07 -7.063e-03 -1.395e-03 1.427e-08 0.70000 3.553e-03 -7.321e-07
0.7 0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 1.999e-07 -9.054e-03 -1.574e-03 1.839e-08 0.70000 4.554e-03 -9.427e-07
