vd vg vs vb l alpha1_p alpha11_p t_fe ni in1aux vfed qid vn2aux in2aux vfes ids qmis vn1aux sweepvar vtm
0.05 0.0 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 9.451e-08 0. -64.4724 0. 4.779e-13 2.462e-05 4.070e-17 5.0000e-02 2.586e-02
0.05 0.0204081632653 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.078e-07 0. -64.4724 0. 1.052e-12 5.420e-05 4.070e-17 5.0000e-02 2.586e-02
0.05 0.0408163265306 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.569e-07 0. -64.4724 0. 2.316e-12 1.193e-04 3.889e-17 5.0000e-02 2.586e-02
0.05 0.0612244897959 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.004e-06 0. -64.4724 0. 5.100e-12 2.626e-04 2.793e-17 5.0000e-02 2.586e-02
0.05 0.0816326530612 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.203e-06 0. -64.4724 0. 1.123e-11 5.777e-04 3.235e-17 5.0000e-02 2.586e-02
0.05 0.102040816327 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.827e-06 0. -64.4724 0. 2.472e-11 1.270e-03 1.153e-17 5.0000e-02 2.586e-02
0.05 0.122448979592 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.056e-05 0. -64.4724 0. 5.439e-11 2.790e-03 1.684e-17 5.0000e-02 2.586e-02
0.05 0.142857142857 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.301e-05 0. -64.4724 0. 1.195e-10 6.109e-03 1.122e-17 5.0000e-02 2.586e-02
0.05 0.163265306122 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.990e-05 0. -64.4724 0. 2.617e-10 1.330e-02 5.542e-18 5.0000e-02 2.586e-02
0.05 0.183673469388 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.074e-04 0. -64.4724 0. 5.686e-10 2.859e-02 0. 5.0000e-02 2.586e-02
0.05 0.204081632653 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.289e-04 0. -64.4724 0. 1.216e-09 5.993e-02 0. 5.0000e-02 2.586e-02
0.05 0.224489795918 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.802e-04 0. -64.4724 0. 2.522e-09 0.1202 -5.680e-18 5.0000e-02 2.586e-02
0.05 0.244897959184 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 9.858e-04 0. -64.4724 0. 4.979e-09 0.2251 0. 5.0000e-02 2.586e-02
0.05 0.265306122449 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.966e-03 0. -64.4724 0. 9.183e-09 0.3873 -1.111e-17 5.0000e-02 2.586e-02
0.05 0.285714285714 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 3.771e-03 0. -64.4724 0. 1.565e-08 0.6112 -1.744e-17 5.0000e-02 2.586e-02
0.05 0.30612244898 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 6.885e-03 0. -64.4724 0. 2.455e-08 0.8938 -1.111e-17 5.0000e-02 2.586e-02
0.05 0.326530612245 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.184e-02 0. -64.4724 0. 3.550e-08 1.2286 -1.667e-17 5.0000e-02 2.586e-02
0.05 0.34693877551 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 1.908e-02 0. -64.4724 0. 4.742e-08 1.6085 -2.557e-17 5.0000e-02 2.586e-02
0.05 0.367346938776 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.875e-02 0. -64.4724 0. 5.871e-08 2.0274 -3.056e-17 5.0000e-02 2.586e-02
0.05 0.387755102041 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 4.075e-02 0. -64.4724 0. 6.764e-08 2.4801 -3.835e-17 5.0000e-02 2.586e-02
0.05 0.408163265306 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 5.475e-02 0. -64.4724 0. 7.282e-08 2.9623 -3.889e-17 5.0000e-02 2.586e-02
0.05 0.428571428571 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 7.038e-02 0. -64.4724 0. 7.340e-08 3.4706 -4.212e-17 5.0000e-02 2.586e-02
0.05 0.448979591837 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 8.724e-02 0. -64.4724 0. 6.909e-08 4.0019 -4.861e-17 5.0000e-02 2.586e-02
0.05 0.469387755102 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1050 0. -64.4724 0. 6.002e-08 4.5536 -5.398e-17 5.0000e-02 2.586e-02
0.05 0.489795918367 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1235 0. -64.4724 0. 4.659e-08 5.1234 -6.037e-17 5.0000e-02 2.586e-02
0.05 0.510204081633 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1424 0. -64.4724 0. 2.930e-08 5.7091 -5.605e-17 5.0000e-02 2.586e-02
0.05 0.530612244898 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1617 0. -64.4724 0. 8.720e-09 6.3091 -6.389e-17 5.0000e-02 2.586e-02
0.05 0.551020408163 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.1813 0. -64.4724 0. -1.464e-08 6.9217 -6.771e-17 5.0000e-02 2.586e-02
0.05 0.571428571429 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2010 0. -64.4724 0. -4.030e-08 7.5456 -7.065e-17 5.0000e-02 2.586e-02
0.05 0.591836734694 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2209 0. -64.4724 0. -6.783e-08 8.1796 -7.677e-17 5.0000e-02 2.586e-02
0.05 0.612244897959 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2409 0. -64.4724 0. -9.686e-08 8.8227 -8.090e-17 5.0000e-02 2.586e-02
0.05 0.632653061224 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2609 0. -64.4724 0. -1.271e-07 9.4740 -8.194e-17 5.0000e-02 2.586e-02
0.05 0.65306122449 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 0.2810 0. -64.4724 0. -1.583e-07 10.1327 -9.304e-17 5.0000e-02 2.586e-02
