vd vg vs vb l alpha1_p alpha11_p t_fe sweepvar vfes ids vfed qis vgs
0.5 0.0 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 2.819e-09 0. 8.978e-06 -2.819e-12
0.5 0.0204081632653 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 5.410e-09 0. 1.723e-05 2.041e-02
0.5 0.0408163265306 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 1.038e-08 0. 3.305e-05 4.082e-02
0.5 0.0612244897959 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 1.991e-08 0. 6.335e-05 6.122e-02
0.5 0.0816326530612 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 3.815e-08 0. 1.213e-04 8.163e-02
0.5 0.102040816327 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 7.298e-08 0. 2.315e-04 0.1020
0.5 0.122448979592 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 1.392e-07 0. 4.398e-04 0.1224
0.5 0.142857142857 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 2.640e-07 0. 8.281e-04 0.1429
0.5 0.163265306122 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 4.956e-07 0. 1.535e-03 0.1633
0.5 0.183673469388 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 9.146e-07 0. 2.771e-03 0.1837
0.5 0.204081632653 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 1.643e-06 0. 4.811e-03 0.2041
0.5 0.224489795918 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 2.845e-06 0. 7.929e-03 0.2245
0.5 0.244897959184 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 4.705e-06 0. 1.231e-02 0.2449
0.5 0.265306122449 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 7.402e-06 0. 1.802e-02 0.2653
0.5 0.285714285714 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 1.108e-05 0. 2.498e-02 0.2857
0.5 0.30612244898 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 1.586e-05 0. 3.310e-02 0.3061
0.5 0.326530612245 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 2.178e-05 0. 4.224e-02 0.3265
0.5 0.34693877551 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 2.886e-05 0. 5.229e-02 0.3469
0.5 0.367346938776 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 3.711e-05 0. 6.315e-02 0.3673
0.5 0.387755102041 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 4.648e-05 0. 7.474e-02 0.3878
0.5 0.408163265306 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 5.690e-05 0. 8.698e-02 0.4082
0.5 0.428571428571 0 0 3e-08 -84927000.0 611660000000.0 0.0 0.50000 0. 6.832e-05 0. 9.982e-02 0.4286
