vd vg vs vb l alpha1_p alpha11_p t_fe idsperum qms vfes ids sweepvar qm qmd
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.133e-11 -9.933e-07 -3.812e-04 1.962e-12 0.70000 1.097e-05 -1.008e-10
0.7 0.010101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.064e-11 -1.427e-06 -3.813e-04 2.819e-12 0.70000 1.132e-05 -1.448e-10
0.7 0.020202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.403e-11 -2.051e-06 -3.813e-04 4.051e-12 0.70000 1.176e-05 -2.080e-10
0.7 0.030303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.326e-11 -2.946e-06 -3.814e-04 5.820e-12 0.70000 1.234e-05 -2.989e-10
0.7 0.040404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.090e-11 -4.234e-06 -3.814e-04 8.363e-12 0.70000 1.311e-05 -4.295e-10
0.7 0.0505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.306e-10 -6.083e-06 -3.815e-04 1.202e-11 0.70000 1.417e-05 -6.171e-10
0.7 0.0606060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.877e-10 -8.740e-06 -3.817e-04 1.726e-11 0.70000 1.562e-05 -8.867e-10
0.7 0.0707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.696e-10 -1.256e-05 -3.818e-04 2.481e-11 0.70000 1.765e-05 -1.274e-09
0.7 0.0808080808081 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.874e-10 -1.804e-05 -3.821e-04 3.564e-11 0.70000 2.052e-05 -1.831e-09
0.7 0.0909090909091 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.567e-10 -2.592e-05 -3.825e-04 5.121e-11 0.70000 2.458e-05 -2.630e-09
0.7 0.10101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.998e-10 -3.725e-05 -3.830e-04 7.358e-11 0.70000 3.036e-05 -3.779e-09
0.7 0.111111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.149e-09 -5.351e-05 -3.837e-04 1.057e-10 0.70000 3.861e-05 -5.430e-09
0.7 0.121212121212 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.651e-09 -7.688e-05 -3.848e-04 1.519e-10 0.70000 5.042e-05 -7.802e-09
0.7 0.131313131313 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.372e-09 -1.104e-04 -3.863e-04 2.182e-10 0.70000 6.732e-05 -1.121e-08
0.7 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.408e-09 -1.586e-04 -3.884e-04 3.135e-10 0.70000 9.153e-05 -1.610e-08
0.7 0.151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.896e-09 -2.278e-04 -3.915e-04 4.505e-10 0.70000 1.263e-04 -2.314e-08
0.7 0.161616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.034e-09 -3.272e-04 -3.960e-04 6.471e-10 0.70000 1.761e-04 -3.324e-08
0.7 0.171717171717 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.010e-08 -4.697e-04 -4.024e-04 9.295e-10 0.70000 2.475e-04 -4.774e-08
0.7 0.181818181818 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.451e-08 -6.741e-04 -4.115e-04 1.335e-09 0.70000 3.498e-04 -6.857e-08
0.7 0.191919191919 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.084e-08 -9.669e-04 -4.246e-04 1.917e-09 0.70000 4.964e-04 -9.846e-08
0.7 0.20202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.991e-08 -1.386e-03 -4.434e-04 2.752e-09 0.70000 7.063e-04 -1.414e-07
0.7 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.293e-08 -1.985e-03 -4.702e-04 3.949e-09 0.70000 1.006e-03 -2.029e-07
0.7 0.222222222222 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.158e-08 -2.839e-03 -5.084e-04 5.665e-09 0.70000 1.434e-03 -2.910e-07
0.7 0.232323232323 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.828e-08 -4.055e-03 -5.628e-04 8.122e-09 0.70000 2.044e-03 -4.171e-07
0.7 0.242424242424 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.265e-07 -5.779e-03 -6.401e-04 1.163e-08 0.70000 2.909e-03 -5.972e-07
0.7 0.252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.810e-07 -8.215e-03 -7.495e-04 1.665e-08 0.70000 4.133e-03 -8.538e-07
0.7 0.262626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.588e-07 -1.164e-02 -9.035e-04 2.381e-08 0.70000 5.857e-03 -1.218e-06
0.7 0.272727272727 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.691e-07 -1.641e-02 -1.118e-03 3.396e-08 0.70000 8.263e-03 -1.732e-06
0.7 0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.269e-07 -2.307e-02 -1.420e-03 4.848e-08 0.70000 1.164e-02 -2.458e-06
0.7 0.292929292929 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.501e-07 -3.223e-02 -1.836e-03 6.901e-08 0.70000 1.630e-02 -3.469e-06
0.7 0.30303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.066e-06 -4.471e-02 -2.408e-03 9.808e-08 0.70000 2.269e-02 -4.864e-06
0.7 0.313131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.513e-06 -6.158e-02 -3.185e-03 1.392e-07 0.70000 3.140e-02 -6.765e-06
0.7 0.323232323232 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.143e-06 -8.409e-02 -4.235e-03 1.971e-07 0.70000 4.315e-02 -9.315e-06
0.7 0.333333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.030e-06 -0.1138 -5.639e-03 2.787e-07 0.70000 5.886e-02 -1.267e-05
0.7 0.343434343434 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.249e-06 -0.1517 -7.455e-03 3.909e-07 0.70000 7.920e-02 -1.689e-05
0.7 0.353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.037e-06 -0.2026 -9.940e-03 5.554e-07 0.70000 0.1070 -2.239e-05
0.7 0.363636363636 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.515e-06 -0.2667 -1.312e-02 7.833e-07 0.70000 0.1427 -2.899e-05
0.7 0.373737373737 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.201e-05 -0.3480 -1.725e-02 1.105e-06 0.70000 0.1890 -3.678e-05
0.7 0.383838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.697e-05 -0.4508 -2.256e-02 1.561e-06 0.70000 0.2488 -4.570e-05
0.7 0.393939393939 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.402e-05 -0.5804 -2.939e-02 2.210e-06 0.70000 0.3258 -5.564e-05
0.7 0.40404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.411e-05 -0.7438 -3.814e-02 3.138e-06 0.70000 0.4249 -6.646e-05
0.7 0.414141414141 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.858e-05 -0.9503 -4.930e-02 4.470e-06 0.70000 0.5524 -7.822e-05
0.7 0.424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.941e-05 -1.2114 -6.344e-02 6.385e-06 0.70000 0.7164 -9.142e-05
0.7 0.434343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.915e-05 -1.5403 -8.109e-02 9.122e-06 0.70000 0.9260 -1.075e-04
0.7 0.444444444444 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.402e-04 -1.9447 -0.1022 1.290e-05 0.70000 1.1867 -1.295e-04
0.7 0.454545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.923e-04 -2.4081 -0.1250 1.770e-05 0.70000 1.4882 -1.624e-04
0.7 0.464646464646 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.500e-04 -2.8830 -0.1464 2.300e-05 0.70000 1.7993 -2.110e-04
0.7 0.474747474747 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.064e-04 -3.3234 -0.1640 2.819e-05 0.70000 2.0891 -2.782e-04
0.7 0.484848484848 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.580e-04 -3.7126 -0.1774 3.294e-05 0.70000 2.3461 -3.651e-04
0.7 0.494949494949 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.042e-04 -4.0532 -0.1873 3.719e-05 0.70000 2.5715 -4.731e-04
0.7 0.505050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.455e-04 -4.3534 -0.1944 4.098e-05 0.70000 2.7705 -6.035e-04
0.7 0.515151515152 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.827e-04 -4.6211 -0.1993 4.441e-05 0.70000 2.9483 -7.586e-04
0.7 0.525252525253 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.184e-04 -4.8767 -0.2027 4.769e-05 0.70000 3.1183 -9.527e-04
0.7 0.535353535354 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.474e-04 -5.0830 -0.2044 5.036e-05 0.70000 3.2556 -1.152e-03
0.7 0.545454545455 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.759e-04 -5.2858 -0.2052 5.299e-05 0.70000 3.3908 -1.396e-03
0.7 0.555555555556 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.025e-04 -5.4739 -0.2052 5.543e-05 0.70000 3.5162 -1.676e-03
0.7 0.565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.273e-04 -5.6495 -0.2043 5.771e-05 0.70000 3.6334 -1.994e-03
0.7 0.575757575758 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.506e-04 -5.8145 -0.2029 5.986e-05 0.70000 3.7436 -2.354e-03
0.7 0.585858585859 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.726e-04 -5.9701 -0.2009 6.188e-05 0.70000 3.8477 -2.759e-03
0.7 0.59595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.941e-04 -6.1220 -0.1983 6.386e-05 0.70000 3.9492 -3.229e-03
0.7 0.606060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.133e-04 -6.2578 -0.1955 6.562e-05 0.70000 4.0402 -3.722e-03
0.7 0.616161616162 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.322e-04 -6.3916 -0.1922 6.736e-05 0.70000 4.1298 -4.287e-03
0.7 0.626262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.503e-04 -6.5197 -0.1887 6.902e-05 0.70000 4.2156 -4.913e-03
0.7 0.636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.676e-04 -6.6425 -0.1848 7.062e-05 0.70000 4.2980 -5.604e-03
0.7 0.646464646465 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.842e-04 -6.7606 -0.1806 7.215e-05 0.70000 4.3772 -6.365e-03
0.7 0.656565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.003e-04 -6.8743 -0.1762 7.362e-05 0.70000 4.4536 -7.199e-03
0.7 0.666666666667 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.157e-04 -6.9841 -0.1716 7.504e-05 0.70000 4.5273 -8.112e-03
0.7 0.676767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.306e-04 -7.0903 -0.1668 7.642e-05 0.70000 4.5987 -9.107e-03
0.7 0.686868686869 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.451e-04 -7.1931 -0.1618 7.775e-05 0.70000 4.6678 -1.019e-02
0.7 0.69696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.591e-04 -7.2928 -0.1566 7.903e-05 0.70000 4.7348 -1.136e-02
0.7 0.707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.729e-04 -7.3911 -0.1512 8.030e-05 0.70000 4.8010 -1.266e-02
0.7 0.717171717172 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.858e-04 -7.4836 -0.1458 8.150e-05 0.70000 4.8633 -1.401e-02
0.7 0.727272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.987e-04 -7.5752 -0.1402 8.268e-05 0.70000 4.9250 -1.548e-02
0.7 0.737373737374 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.111e-04 -7.6643 -0.1344 8.382e-05 0.70000 4.9851 -1.707e-02
0.7 0.747474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.233e-04 -7.7513 -0.1286 8.494e-05 0.70000 5.0437 -1.877e-02
0.7 0.757575757576 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.352e-04 -7.8361 -0.1226 8.604e-05 0.70000 5.1010 -2.059e-02
0.7 0.767676767677 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.468e-04 -7.9190 -0.1165 8.710e-05 0.70000 5.1569 -2.253e-02
0.7 0.777777777778 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.581e-04 -8.0000 -0.1103 8.814e-05 0.70000 5.2116 -2.460e-02
0.7 0.787878787879 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.693e-04 -8.0801 -0.1040 8.917e-05 0.70000 5.2658 -2.683e-02
0.7 0.79797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.800e-04 -8.1567 -9.767e-02 9.016e-05 0.70000 5.3175 -2.913e-02
0.7 0.808080808081 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.906e-04 -8.2326 -9.121e-02 9.113e-05 0.70000 5.3689 -3.160e-02
0.7 0.818181818182 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.001e-03 -8.3070 -8.468e-02 9.209e-05 0.70000 5.4192 -3.420e-02
0.7 0.828282828283 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.011e-03 -8.3800 -7.807e-02 9.303e-05 0.70000 5.4686 -3.696e-02
0.7 0.838383838384 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.021e-03 -8.4516 -7.138e-02 9.395e-05 0.70000 5.5171 -3.985e-02
0.7 0.848484848485 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.031e-03 -8.5218 -6.463e-02 9.485e-05 0.70000 5.5647 -4.290e-02
0.7 0.858585858586 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.041e-03 -8.5908 -5.781e-02 9.574e-05 0.70000 5.6115 -4.609e-02
0.7 0.868686868687 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.050e-03 -8.6586 -5.093e-02 9.661e-05 0.70000 5.6574 -4.944e-02
0.7 0.878787878788 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.059e-03 -8.7252 -4.398e-02 9.747e-05 0.70000 5.7026 -5.294e-02
0.7 0.888888888889 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.069e-03 -8.7913 -3.692e-02 9.832e-05 0.70000 5.7475 -5.663e-02
0.7 0.89898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.078e-03 -8.8551 -2.992e-02 9.914e-05 0.70000 5.7908 -6.040e-02
0.7 0.909090909091 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.087e-03 -8.9190 -2.275e-02 9.996e-05 0.70000 5.8343 -6.441e-02
0.7 0.919191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.095e-03 -8.9814 -1.559e-02 1.008e-04 0.70000 5.8767 -6.853e-02
0.7 0.929292929293 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.104e-03 -9.0423 -8.441e-03 1.016e-04 0.70000 5.9181 -7.278e-02
0.7 0.939393939394 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.112e-03 -9.1028 -1.182e-03 1.023e-04 0.70000 5.9593 -7.722e-02
0.7 0.949494949495 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.121e-03 -9.1625 6.122e-03 1.031e-04 0.70000 5.9999 -8.182e-02
0.7 0.959595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.129e-03 -9.2212 1.347e-02 1.039e-04 0.70000 6.0399 -8.657e-02
0.7 0.969696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.137e-03 -9.2792 2.086e-02 1.046e-04 0.70000 6.0794 -9.148e-02
0.7 0.979797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.145e-03 -9.3363 2.829e-02 1.054e-04 0.70000 6.1184 -9.655e-02
0.7 0.989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.153e-03 -9.3927 3.577e-02 1.061e-04 0.70000 6.1568 -0.1018
0.7 1.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.161e-03 -9.4483 4.328e-02 1.068e-04 0.70000 6.1948 -0.1071
