vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.143e-11 -3.803e-04 -6.480e-07 -3.812e-04 1.051e-12 5.0000e-02 1.097e-05 -1.098e-07
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.133e-11 -3.803e-04 -9.933e-07 -3.812e-04 1.962e-12 0.70000 1.097e-05 -1.008e-10
0.05 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.475e-11 -3.803e-04 -8.364e-07 -3.813e-04 1.357e-12 5.0000e-02 1.118e-05 -1.417e-07
0.7 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.749e-11 -3.803e-04 -1.280e-06 -3.813e-04 2.529e-12 0.70000 1.121e-05 -1.299e-10
0.05 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.904e-11 -3.803e-04 -1.080e-06 -3.813e-04 1.751e-12 5.0000e-02 1.141e-05 -1.829e-07
0.7 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.542e-11 -3.803e-04 -1.650e-06 -3.813e-04 3.259e-12 0.70000 1.149e-05 -1.674e-10
0.05 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.457e-11 -3.803e-04 -1.393e-06 -3.813e-04 2.260e-12 5.0000e-02 1.169e-05 -2.361e-07
0.7 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.565e-11 -3.803e-04 -2.126e-06 -3.813e-04 4.200e-12 0.70000 1.182e-05 -2.157e-10
0.05 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.171e-11 -3.803e-04 -1.798e-06 -3.813e-04 2.917e-12 5.0000e-02 1.202e-05 -3.047e-07
0.7 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.884e-11 -3.803e-04 -2.740e-06 -3.814e-04 5.413e-12 0.70000 1.221e-05 -2.780e-10
0.05 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.093e-11 -3.803e-04 -2.321e-06 -3.814e-04 3.765e-12 5.0000e-02 1.241e-05 -3.932e-07
0.7 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.583e-11 -3.803e-04 -3.532e-06 -3.814e-04 6.977e-12 0.70000 1.270e-05 -3.583e-10
