vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.127e-11 0. -6.392e-07 0. 1.037e-12 5.0000e-02 1.096e-05 -1.083e-07
0.7 0.0 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.104e-11 0. -9.798e-07 0. 1.935e-12 0.70000 1.096e-05 -9.940e-11
0.05 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.455e-11 0. -8.250e-07 0. 1.338e-12 5.0000e-02 1.117e-05 -1.398e-07
0.7 0.00707070707071 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.711e-11 0. -1.263e-06 0. 2.494e-12 0.70000 1.119e-05 -1.281e-10
0.05 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.878e-11 0. -1.065e-06 0. 1.727e-12 5.0000e-02 1.140e-05 -1.804e-07
0.7 0.0141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.494e-11 0. -1.627e-06 0. 3.215e-12 0.70000 1.147e-05 -1.651e-10
0.05 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.423e-11 0. -1.374e-06 0. 2.230e-12 5.0000e-02 1.167e-05 -2.328e-07
0.7 0.0212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.503e-11 0. -2.097e-06 0. 4.143e-12 0.70000 1.180e-05 -2.128e-10
0.05 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.128e-11 0. -1.774e-06 0. 2.878e-12 5.0000e-02 1.200e-05 -3.005e-07
0.7 0.0282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.804e-11 0. -2.703e-06 0. 5.340e-12 0.70000 1.219e-05 -2.742e-10
0.05 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.037e-11 0. -2.289e-06 0. 3.714e-12 5.0000e-02 1.239e-05 -3.879e-07
0.7 0.0353535353535 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.480e-11 0. -3.484e-06 0. 6.882e-12 0.70000 1.267e-05 -3.534e-10
0.05 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.210e-11 0. -2.955e-06 0. 4.793e-12 5.0000e-02 1.287e-05 -5.006e-07
0.7 0.0424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 9.640e-11 0. -4.490e-06 0. 8.869e-12 0.70000 1.326e-05 -4.555e-10
