Vd Vg Vs Vb L Ids Qg E_FE V_FE  
0.05 0.0 0 0 1e-06 4.797e-13 -3.595e-19 580.3824 1.335e-04 
0.3 0.0 0 0 1e-06 5.629e-13 -2.170e-18 3.503e+03 8.057e-04 
0.05 0.0030303030303 0 0 1e-06 5.395e-13 -3.158e-19 509.8333 1.173e-04 
0.3 0.0030303030303 0 0 1e-06 6.335e-13 -2.126e-18 3.431e+03 7.893e-04 
0.05 0.00606060606061 0 0 1e-06 6.068e-13 -2.721e-19 439.3135 1.010e-04 
0.3 0.00606060606061 0 0 1e-06 7.115e-13 -2.082e-18 3.362e+03 7.733e-04 
0.05 0.00909090909091 0 0 1e-06 6.830e-13 -2.279e-19 367.8843 8.461e-05 
0.3 0.00909090909091 0 0 1e-06 8.016e-13 -2.038e-18 3.290e+03 7.567e-04 
0.05 0.0121212121212 0 0 1e-06 7.680e-13 -1.841e-19 297.1819 6.835e-05 
0.3 0.0121212121212 0 0 1e-06 9.018e-13 -1.994e-18 3.219e+03 7.404e-04 
0.05 0.0151515151515 0 0 1e-06 8.635e-13 -1.404e-19 226.6125 5.212e-05 
0.3 0.0151515151515 0 0 1e-06 1.015e-12 -1.950e-18 3.148e+03 7.241e-04 
0.05 0.0181818181818 0 0 1e-06 9.721e-13 -9.593e-20 154.8767 3.562e-05 
0.3 0.0181818181818 0 0 1e-06 1.142e-12 -1.906e-18 3.077e+03 7.077e-04 
0.05 0.0212121212121 0 0 1e-06 1.093e-12 -5.225e-20 84.3520 1.940e-05 
0.3 0.0212121212121 0 0 1e-06 1.286e-12 -1.862e-18 3.005e+03 6.913e-04 
0.05 0.0242424242424 0 0 1e-06 1.231e-12 -8.028e-21 12.9606 2.981e-06 
0.3 0.0242424242424 0 0 1e-06 1.445e-12 -1.818e-18 2.934e+03 6.750e-04 
0.05 0.0272727272727 0 0 1e-06 1.384e-12 3.596e-20 -58.0505 -1.335e-05 
0.3 0.0272727272727 0 0 1e-06 1.626e-12 -1.774e-18 2.864e+03 6.587e-04 
0.05 0.030303030303 0 0 1e-06 1.557e-12 7.994e-20 -129.0675 -2.969e-05 
0.3 0.030303030303 0 0 1e-06 1.828e-12 -1.730e-18 2.793e+03 6.424e-04 
0.05 0.0333333333333 0 0 1e-06 1.753e-12 1.240e-19 -200.2300 -4.605e-05 
0.3 0.0333333333333 0 0 1e-06 2.058e-12 -1.686e-18 2.722e+03 6.262e-04 
0.05 0.0363636363636 0 0 1e-06 1.973e-12 1.687e-19 -272.3622 -6.264e-05 
