idsperum vfed qms vfes ids vgsmos sweepvar qm qmd vgs
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.707e-15 0. 1.093e-05 -1.457e-10 -1.707e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.672e-15 1.0000e-10 1.093e-05 -1.457e-10 -1.672e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.686e-15 2.0000e-10 1.093e-05 -1.457e-10 -1.686e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.671e-15 3.0000e-10 1.093e-05 -1.457e-10 -1.671e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.668e-15 4.0000e-10 1.093e-05 -1.457e-10 -1.668e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.679e-15 5.0000e-10 1.093e-05 -1.457e-10 -1.679e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.690e-15 6.0000e-10 1.093e-05 -1.457e-10 -1.690e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.689e-15 7.0000e-10 1.093e-05 -1.457e-10 -1.689e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.683e-15 8.0000e-10 1.093e-05 -1.457e-10 -1.683e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.679e-15 9.0000e-10 1.093e-05 -1.457e-10 -1.679e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.679e-15 1.0000e-09 1.093e-05 -1.457e-10 -1.679e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.679e-15 1.1000e-09 1.093e-05 -1.457e-10 -1.679e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.680e-15 1.2000e-09 1.093e-05 -1.457e-10 -1.680e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.682e-15 1.3000e-09 1.093e-05 -1.457e-10 -1.682e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.684e-15 1.4000e-09 1.093e-05 -1.457e-10 -1.684e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.687e-15 1.5000e-09 1.093e-05 -1.457e-10 -1.687e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.689e-15 1.6000e-09 1.093e-05 -1.457e-10 -1.689e-15
1.820e-11 0. -8.510e-07 0. 1.675e-12 -1.691e-15 1.7000e-09 1.093e-05 -1.457e-10 -1.691e-15
