idsperum vfed vg qms vfes ids vgs_out vgs_noswap sweepvar qm qmd
1.845e-11 -3.803e-04 -9.958e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.685e-15 3.812e-04 0. 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.279e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.707e-15 3.812e-04 1.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -8.153e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.699e-15 3.812e-04 2.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.948e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.671e-15 3.812e-04 3.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.918e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.673e-15 3.812e-04 4.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.971e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.685e-15 3.812e-04 5.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1051 -8.627e-07 -3.812e-04 1.698e-12 -1.664e-15 3.812e-04 6.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1023 -8.627e-07 -3.812e-04 1.698e-12 -1.697e-15 3.812e-04 7.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1027 -8.627e-07 -3.812e-04 1.698e-12 -1.704e-15 3.812e-04 8.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1048 -8.627e-07 -3.812e-04 1.698e-12 -1.695e-15 3.812e-04 9.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1077 -8.627e-07 -3.812e-04 1.698e-12 -1.689e-15 3.812e-04 1.0000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1090 -8.627e-07 -3.812e-04 1.698e-12 -1.688e-15 3.812e-04 1.1000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1065 -8.627e-07 -3.812e-04 1.698e-12 -1.696e-15 3.812e-04 1.2000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1040 -8.627e-07 -3.812e-04 1.698e-12 -1.704e-15 3.812e-04 1.3000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1015 -8.627e-07 -3.812e-04 1.698e-12 -1.712e-15 3.812e-04 1.4000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.904e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.721e-15 3.812e-04 1.5000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.827e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.723e-15 3.812e-04 1.6000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1024 -8.627e-07 -3.812e-04 1.698e-12 -1.710e-15 3.812e-04 1.7000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1066 -8.627e-07 -3.812e-04 1.698e-12 -1.697e-15 3.812e-04 1.8000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1107 -8.627e-07 -3.812e-04 1.698e-12 -1.684e-15 3.812e-04 1.9000e-09 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1149 -8.627e-07 -3.812e-04 1.698e-12 -1.671e-15 3.812e-04 2.0000e-09 1.095e-05 -1.477e-10
7.440e-11 -3.803e-04 -9.362e-02 -3.478e-06 -3.814e-04 6.845e-12 2.500e-02 2.538e-02 2.1000e-09 1.257e-05 -5.956e-10
1.304e-10 -3.803e-04 -7.234e-02 -6.094e-06 -3.815e-04 1.199e-11 5.000e-02 5.038e-02 2.2000e-09 1.420e-05 -1.044e-09
2.820e-10 -3.803e-04 -4.267e-02 -1.318e-05 -3.819e-04 2.595e-11 7.500e-02 7.538e-02 2.3000e-09 1.806e-05 -2.258e-09
1.271e-09 -3.803e-04 -1.710e-02 -5.940e-05 -3.840e-04 1.169e-10 0.1000 0.1004 2.4000e-09 4.147e-05 -1.018e-08
2.380e-09 -3.803e-04 7.255e-03 -1.112e-04 -3.863e-04 2.189e-10 0.1250 0.1254 2.5000e-09 6.767e-05 -1.905e-08
4.058e-09 -3.803e-04 1.801e-02 -1.896e-04 -3.898e-04 3.733e-10 0.1500 0.1504 2.6000e-09 1.072e-04 -3.249e-08
9.956e-09 -3.803e-04 3.916e-02 -4.647e-04 -4.021e-04 9.160e-10 0.1750 0.1754 2.7000e-09 2.450e-04 -7.973e-08
2.450e-08 -3.803e-04 5.074e-02 -1.141e-03 -4.323e-04 2.254e-09 0.2000 0.2004 2.8000e-09 5.835e-04 -1.963e-07
5.978e-08 -3.803e-04 6.960e-02 -2.768e-03 -5.050e-04 5.499e-09 0.2250 0.2255 2.9000e-09 1.398e-03 -4.794e-07
1.458e-07 -3.804e-04 0.1044 -6.673e-03 -6.797e-04 1.342e-08 0.2500 0.2507 3.0000e-09 3.358e-03 -1.171e-06
3.538e-07 -3.805e-04 0.1147 -1.581e-02 -1.090e-03 3.255e-08 0.2750 0.2761 3.1000e-09 7.961e-03 -2.841e-06
8.503e-07 -3.809e-04 0.1508 -3.637e-02 -2.022e-03 7.823e-08 0.3000 0.3020 3.2000e-09 1.842e-02 -6.782e-06
2.028e-06 -3.817e-04 0.1704 -8.033e-02 -4.053e-03 1.866e-07 0.3250 0.3291 3.3000e-09 4.119e-02 -1.576e-05
4.772e-06 -3.834e-04 0.1881 -0.1676 -8.212e-03 4.390e-07 0.3500 0.3582 3.4000e-09 8.784e-02 -3.490e-05
1.119e-05 -3.868e-04 0.1961 -0.3307 -1.633e-02 1.030e-06 0.3750 0.3913 3.5000e-09 0.1791 -7.334e-05
2.645e-05 -3.936e-04 0.2020 -0.6233 -3.162e-02 2.433e-06 0.4000 0.4316 3.6000e-09 0.3516 -1.499e-04
6.360e-05 -4.098e-04 0.2462 -1.1447 -5.973e-02 5.851e-06 0.4250 0.4847 3.7000e-09 0.6743 -3.313e-04
1.517e-04 -4.716e-04 0.2614 -2.0555 -0.1076 1.396e-05 0.4500 0.5576 3.8000e-09 1.2588 -1.024e-03
2.908e-04 -7.699e-04 0.2673 -3.2106 -0.1595 2.676e-05 0.4750 0.6345 3.9000e-09 2.0154 -4.370e-03
4.129e-04 -1.639e-03 0.2911 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.0000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2854 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.1000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2884 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.2000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2882 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.3000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2812 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.4000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2874 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.5000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2960 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.6000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2843 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.7000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2932 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.8000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2822 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 4.9000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.3110 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.0000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2865 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.1000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2632 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.2000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2805 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.3000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2781 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.4000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2867 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.5000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2831 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.6000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2830 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.7000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.3021 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.8000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2870 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 5.9000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2964 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.0000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2870 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.1000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2886 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.2000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2934 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.3000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2798 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.4000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.3095 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.5000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2865 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.6000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2869 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.7000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2707 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.8000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2725 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 6.9000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.3037 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.0000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2955 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.1000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2765 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.2000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2792 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.3000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2935 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.4000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2779 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.5000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2883 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.6000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2894 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.7000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2864 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.8000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2883 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 7.9000e-09 2.6204 -1.412e-02
4.129e-04 -1.639e-03 0.2848 -4.1245 -0.1890 3.798e-05 0.5000 0.6890 8.0000e-09 2.6204 -1.412e-02
2.909e-04 -7.680e-04 0.2894 -3.2117 -0.1596 2.676e-05 0.4750 0.6346 8.1000e-09 2.0161 -4.348e-03
1.517e-04 -4.716e-04 0.2650 -2.0555 -0.1076 1.396e-05 0.4500 0.5576 8.2000e-09 1.2588 -1.024e-03
6.359e-05 -4.098e-04 0.2480 -1.1446 -5.973e-02 5.851e-06 0.4250 0.4847 8.3000e-09 0.6743 -3.313e-04
2.646e-05 -3.936e-04 0.2203 -0.6234 -3.163e-02 2.434e-06 0.4000 0.4316 8.4000e-09 0.3517 -1.499e-04
1.119e-05 -3.868e-04 0.2044 -0.3307 -1.633e-02 1.030e-06 0.3750 0.3913 8.5000e-09 0.1791 -7.334e-05
4.770e-06 -3.834e-04 0.1907 -0.1676 -8.209e-03 4.388e-07 0.3500 0.3582 8.6000e-09 8.782e-02 -3.488e-05
2.024e-06 -3.817e-04 0.1675 -8.022e-02 -4.047e-03 1.862e-07 0.3250 0.3290 8.7000e-09 4.112e-02 -1.574e-05
8.503e-07 -3.809e-04 0.1364 -3.637e-02 -2.022e-03 7.823e-08 0.3000 0.3020 8.8000e-09 1.842e-02 -6.782e-06
3.537e-07 -3.805e-04 0.1287 -1.581e-02 -1.090e-03 3.254e-08 0.2750 0.2761 8.9000e-09 7.959e-03 -2.840e-06
1.459e-07 -3.804e-04 8.776e-02 -6.675e-03 -6.798e-04 1.342e-08 0.2500 0.2507 9.0000e-09 3.359e-03 -1.171e-06
6.001e-08 -3.803e-04 7.412e-02 -2.778e-03 -5.054e-04 5.521e-09 0.2250 0.2255 9.1000e-09 1.404e-03 -4.812e-07
2.442e-08 -3.803e-04 6.849e-02 -1.137e-03 -4.321e-04 2.246e-09 0.2000 0.2004 9.2000e-09 5.816e-04 -1.956e-07
9.969e-09 -3.803e-04 4.566e-02 -4.653e-04 -4.021e-04 9.172e-10 0.1750 0.1754 9.3000e-09 2.453e-04 -7.984e-08
4.053e-09 -3.803e-04 1.688e-02 -1.894e-04 -3.898e-04 3.729e-10 0.1500 0.1504 9.4000e-09 1.071e-04 -3.245e-08
1.650e-09 -3.803e-04 -2.272e-03 -7.714e-05 -3.848e-04 1.518e-10 0.1250 0.1254 9.5000e-09 5.064e-05 -1.321e-08
6.719e-10 -3.803e-04 -1.800e-02 -3.141e-05 -3.827e-04 6.182e-11 0.1000 0.1004 9.6000e-09 2.748e-05 -5.379e-09
2.737e-10 -3.803e-04 -4.574e-02 -1.280e-05 -3.819e-04 2.518e-11 7.500e-02 7.538e-02 9.7000e-09 1.787e-05 -2.191e-09
1.116e-10 -3.803e-04 -4.435e-02 -5.215e-06 -3.815e-04 1.026e-11 5.000e-02 5.038e-02 9.8000e-09 1.377e-05 -8.930e-10
4.562e-11 -3.803e-04 -8.135e-02 -2.133e-06 -3.813e-04 4.197e-12 2.500e-02 2.538e-02 9.9000e-09 1.191e-05 -3.652e-10
1.845e-11 -3.803e-04 -0.1003 -8.627e-07 -3.812e-04 1.698e-12 3.296e-12 3.812e-04 1.0000e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1045 -8.627e-07 -3.812e-04 1.698e-12 -1.692e-15 3.812e-04 1.0100e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1007 -8.627e-07 -3.812e-04 1.698e-12 -1.683e-15 3.812e-04 1.0200e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1126 -8.627e-07 -3.812e-04 1.698e-12 -1.687e-15 3.812e-04 1.0300e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1123 -8.627e-07 -3.812e-04 1.698e-12 -1.706e-15 3.812e-04 1.0400e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1106 -8.627e-07 -3.812e-04 1.698e-12 -1.686e-15 3.812e-04 1.0500e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1025 -8.627e-07 -3.812e-04 1.698e-12 -1.713e-15 3.812e-04 1.0600e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1032 -8.627e-07 -3.812e-04 1.698e-12 -1.712e-15 3.812e-04 1.0700e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1006 -8.627e-07 -3.812e-04 1.698e-12 -1.696e-15 3.812e-04 1.0800e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1003 -8.627e-07 -3.812e-04 1.698e-12 -1.682e-15 3.812e-04 1.0900e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.994e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.677e-15 3.812e-04 1.1000e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.947e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.706e-15 3.812e-04 1.1100e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.900e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.734e-15 3.812e-04 1.1200e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.929e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.727e-15 3.812e-04 1.1300e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.980e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.710e-15 3.812e-04 1.1400e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1003 -8.627e-07 -3.812e-04 1.698e-12 -1.692e-15 3.812e-04 1.1500e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1008 -8.627e-07 -3.812e-04 1.698e-12 -1.675e-15 3.812e-04 1.1600e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1009 -8.627e-07 -3.812e-04 1.698e-12 -1.591e-15 3.812e-04 1.1700e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1008 -8.627e-07 -3.812e-04 1.698e-12 -1.493e-15 3.812e-04 1.1800e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1008 -8.627e-07 -3.812e-04 1.698e-12 -1.395e-15 3.812e-04 1.1900e-08 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1008 -8.627e-07 -3.812e-04 1.698e-12 -1.297e-15 3.812e-04 1.2000e-08 1.095e-05 -1.477e-10
