idsperum vfed vg qms vfes ids vgs_out vgs_noswap sweepvar qm qmd
1.845e-11 -3.803e-04 -9.958e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.685e-15 3.812e-04 0. 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1083 -8.627e-07 -3.812e-04 1.698e-12 -1.660e-15 3.812e-04 5.0000e-11 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1053 -8.627e-07 -3.812e-04 1.698e-12 -1.695e-15 3.812e-04 1.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1100 -8.627e-07 -3.812e-04 1.698e-12 -1.716e-15 3.812e-04 1.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1030 -8.627e-07 -3.812e-04 1.698e-12 -1.672e-15 3.812e-04 2.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1065 -8.627e-07 -3.812e-04 1.698e-12 -1.699e-15 3.812e-04 2.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1088 -8.627e-07 -3.812e-04 1.698e-12 -1.704e-15 3.812e-04 3.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1097 -8.627e-07 -3.812e-04 1.698e-12 -1.689e-15 3.812e-04 3.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1055 -8.627e-07 -3.812e-04 1.698e-12 -1.706e-15 3.812e-04 4.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.967e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.734e-15 3.812e-04 4.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.829e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.729e-15 3.812e-04 5.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.830e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.713e-15 3.812e-04 5.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.831e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.697e-15 3.812e-04 6.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.832e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.681e-15 3.812e-04 6.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.866e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.673e-15 3.812e-04 7.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -9.947e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.677e-15 3.812e-04 7.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1003 -8.627e-07 -3.812e-04 1.698e-12 -1.681e-15 3.812e-04 8.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1010 -8.627e-07 -3.812e-04 1.698e-12 -1.685e-15 3.812e-04 8.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1008 -8.627e-07 -3.812e-04 1.698e-12 -1.680e-15 3.812e-04 9.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1006 -8.627e-07 -3.812e-04 1.698e-12 -1.676e-15 3.812e-04 9.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1004 -8.627e-07 -3.812e-04 1.698e-12 -1.671e-15 3.812e-04 1.0000e-09 1.095e-05 -1.477e-10
2.892e-11 -3.803e-04 -8.372e-02 -1.352e-06 -3.813e-04 2.661e-12 1.250e-02 1.288e-02 1.0500e-09 1.136e-05 -2.315e-10
4.533e-11 -3.803e-04 -0.1018 -2.119e-06 -3.813e-04 4.170e-12 2.500e-02 2.538e-02 1.1000e-09 1.190e-05 -3.629e-10
7.105e-11 -3.803e-04 -9.078e-02 -3.322e-06 -3.814e-04 6.536e-12 3.750e-02 3.788e-02 1.1500e-09 1.266e-05 -5.688e-10
1.114e-10 -3.803e-04 -6.072e-02 -5.206e-06 -3.815e-04 1.024e-11 5.000e-02 5.038e-02 1.2000e-09 1.376e-05 -8.914e-10
1.745e-10 -3.803e-04 -7.128e-02 -8.159e-06 -3.816e-04 1.606e-11 6.250e-02 6.288e-02 1.2500e-09 1.539e-05 -1.397e-09
2.735e-10 -3.803e-04 -4.500e-02 -1.279e-05 -3.819e-04 2.517e-11 7.500e-02 7.538e-02 1.3000e-09 1.786e-05 -2.190e-09
4.287e-10 -3.803e-04 -4.493e-02 -2.004e-05 -3.822e-04 3.944e-11 8.750e-02 8.788e-02 1.3500e-09 2.164e-05 -3.432e-09
6.719e-10 -3.803e-04 -1.857e-02 -3.141e-05 -3.827e-04 6.182e-11 0.1000 0.1004 1.4000e-09 2.748e-05 -5.379e-09
1.053e-09 -3.803e-04 1.795e-02 -4.922e-05 -3.835e-04 9.688e-11 0.1125 0.1129 1.4500e-09 3.653e-05 -8.431e-09
1.650e-09 -3.803e-04 1.646e-02 -7.714e-05 -3.848e-04 1.518e-10 0.1250 0.1254 1.5000e-09 5.064e-05 -1.321e-08
2.586e-09 -3.803e-04 2.035e-02 -1.209e-04 -3.867e-04 2.380e-10 0.1375 0.1379 1.5500e-09 7.265e-05 -2.071e-08
4.053e-09 -3.803e-04 1.534e-02 -1.894e-04 -3.898e-04 3.729e-10 0.1500 0.1504 1.6000e-09 1.070e-04 -3.245e-08
6.351e-09 -3.803e-04 3.487e-02 -2.966e-04 -3.946e-04 5.843e-10 0.1625 0.1629 1.6500e-09 1.608e-04 -5.086e-08
9.951e-09 -3.803e-04 3.292e-02 -4.644e-04 -4.021e-04 9.155e-10 0.1750 0.1754 1.7000e-09 2.449e-04 -7.969e-08
1.559e-08 -3.803e-04 4.150e-02 -7.268e-04 -4.138e-04 1.434e-09 0.1875 0.1879 1.7500e-09 3.763e-04 -1.249e-07
2.441e-08 -3.803e-04 5.735e-02 -1.136e-03 -4.321e-04 2.246e-09 0.2000 0.2004 1.8000e-09 5.814e-04 -1.956e-07
3.821e-08 -3.803e-04 7.717e-02 -1.775e-03 -4.606e-04 3.515e-09 0.2125 0.2130 1.8500e-09 9.012e-04 -3.062e-07
5.977e-08 -3.803e-04 9.330e-02 -2.767e-03 -5.050e-04 5.499e-09 0.2250 0.2255 1.9000e-09 1.398e-03 -4.793e-07
9.341e-08 -3.803e-04 8.439e-02 -4.304e-03 -5.737e-04 8.594e-09 0.2375 0.2381 1.9500e-09 2.169e-03 -7.496e-07
1.458e-07 -3.804e-04 0.1025 -6.672e-03 -6.797e-04 1.342e-08 0.2500 0.2507 2.0000e-09 3.358e-03 -1.171e-06
2.273e-07 -3.804e-04 0.1072 -1.030e-02 -8.423e-04 2.091e-08 0.2625 0.2633 2.0500e-09 5.181e-03 -1.826e-06
3.537e-07 -3.805e-04 0.1243 -1.581e-02 -1.090e-03 3.254e-08 0.2750 0.2761 2.1000e-09 7.959e-03 -2.840e-06
5.490e-07 -3.807e-04 0.1270 -2.408e-02 -1.464e-03 5.051e-08 0.2875 0.2890 2.1500e-09 1.215e-02 -4.400e-06
8.503e-07 -3.809e-04 0.1369 -3.637e-02 -2.022e-03 7.823e-08 0.3000 0.3020 2.2000e-09 1.841e-02 -6.782e-06
1.313e-06 -3.812e-04 0.1517 -5.434e-02 -2.847e-03 1.208e-07 0.3125 0.3153 2.2500e-09 2.766e-02 -1.038e-05
2.023e-06 -3.817e-04 0.1469 -8.021e-02 -4.047e-03 1.862e-07 0.3250 0.3290 2.3000e-09 4.112e-02 -1.573e-05
3.110e-06 -3.824e-04 0.1810 -0.1168 -5.770e-03 2.861e-07 0.3375 0.3433 2.3500e-09 6.045e-02 -2.358e-05
4.770e-06 -3.834e-04 0.1805 -0.1676 -8.209e-03 4.388e-07 0.3500 0.3582 2.4000e-09 8.782e-02 -3.488e-05
7.306e-06 -3.848e-04 0.2042 -0.2370 -1.162e-02 6.722e-07 0.3625 0.3741 2.4500e-09 0.1261 -5.090e-05
1.119e-05 -3.868e-04 0.2168 -0.3307 -1.633e-02 1.030e-06 0.3750 0.3913 2.5000e-09 0.1791 -7.334e-05
1.718e-05 -3.896e-04 0.2277 -0.4561 -2.280e-02 1.580e-06 0.3875 0.4103 2.5500e-09 0.2519 -1.048e-04
2.644e-05 -3.936e-04 0.2240 -0.6233 -3.162e-02 2.433e-06 0.4000 0.4316 2.6000e-09 0.3516 -1.499e-04
4.091e-05 -3.997e-04 0.2165 -0.8464 -4.360e-02 3.764e-06 0.4125 0.4561 2.6500e-09 0.4880 -2.180e-04
6.359e-05 -4.098e-04 0.2367 -1.1446 -5.973e-02 5.851e-06 0.4250 0.4847 2.7000e-09 0.6743 -3.313e-04
9.901e-05 -4.291e-04 0.2575 -1.5427 -8.108e-02 9.109e-06 0.4375 0.5186 2.7500e-09 0.9276 -5.479e-04
1.517e-04 -4.716e-04 0.2664 -2.0555 -0.1076 1.396e-05 0.4500 0.5576 2.8000e-09 1.2588 -1.024e-03
2.196e-04 -5.689e-04 0.2719 -2.6432 -0.1357 2.021e-05 0.4625 0.5982 2.8500e-09 1.6423 -2.115e-03
2.909e-04 -7.686e-04 0.2951 -3.2113 -0.1596 2.676e-05 0.4750 0.6346 2.9000e-09 2.0159 -4.355e-03
3.560e-04 -1.114e-03 0.3046 -3.7053 -0.1770 3.275e-05 0.4875 0.6645 2.9500e-09 2.3423 -8.228e-03
