idsperum vfed vg qms vfes ids vgs_out vgs_noswap sweepvar qm qmd
1.845e-11 -3.803e-04 -9.958e-02 -8.627e-07 -3.812e-04 1.698e-12 -1.685e-15 3.812e-04 0. 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.699e-15 3.812e-04 5.0000e-11 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.644e-15 3.812e-04 1.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.685e-15 3.812e-04 1.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.727e-15 3.812e-04 2.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.716e-15 3.812e-04 2.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.706e-15 3.812e-04 3.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.696e-15 3.812e-04 3.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.685e-15 3.812e-04 4.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.689e-15 3.812e-04 4.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.692e-15 3.812e-04 5.0000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.696e-15 3.812e-04 5.5000e-10 1.095e-05 -1.477e-10
1.845e-11 -3.803e-04 -0.1000 -8.627e-07 -3.812e-04 1.698e-12 -1.699e-15 3.812e-04 6.0000e-10 1.095e-05 -1.477e-10
