idsperum vfed vg qms vfes ids vgs_out vgs_noswap sweepvar qm qmd
1.820e-11 0. -8.929e-02 -8.510e-07 0. 1.675e-12 -1.707e-15 -1.707e-15 0. 1.093e-05 -1.457e-10
1.820e-11 0. -0.1123 -8.510e-07 0. 1.675e-12 -1.671e-15 -1.671e-15 5.0000e-11 1.093e-05 -1.457e-10
1.820e-11 0. -0.1017 -8.510e-07 0. 1.675e-12 -1.679e-15 -1.679e-15 1.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -9.211e-02 -8.510e-07 0. 1.675e-12 -1.683e-15 -1.683e-15 1.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -9.597e-02 -8.510e-07 0. 1.675e-12 -1.696e-15 -1.696e-15 2.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -7.379e-02 -8.510e-07 0. 1.675e-12 -1.667e-15 -1.667e-15 2.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -9.479e-02 -8.510e-07 0. 1.675e-12 -1.661e-15 -1.661e-15 3.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1002 -8.510e-07 0. 1.675e-12 -1.683e-15 -1.683e-15 3.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1003 -8.510e-07 0. 1.675e-12 -1.692e-15 -1.692e-15 4.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1009 -8.510e-07 0. 1.675e-12 -1.687e-15 -1.687e-15 4.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1008 -8.510e-07 0. 1.675e-12 -1.653e-15 -1.653e-15 5.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1010 -8.510e-07 0. 1.675e-12 -1.665e-15 -1.665e-15 5.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1012 -8.510e-07 0. 1.675e-12 -1.679e-15 -1.679e-15 6.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1015 -8.510e-07 0. 1.675e-12 -1.693e-15 -1.693e-15 6.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1023 -8.510e-07 0. 1.675e-12 -1.684e-15 -1.684e-15 7.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1031 -8.510e-07 0. 1.675e-12 -1.675e-15 -1.675e-15 7.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1039 -8.510e-07 0. 1.675e-12 -1.666e-15 -1.666e-15 8.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1046 -8.510e-07 0. 1.675e-12 -1.657e-15 -1.657e-15 8.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1044 -8.510e-07 0. 1.675e-12 -1.654e-15 -1.654e-15 9.0000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1025 -8.510e-07 0. 1.675e-12 -1.660e-15 -1.660e-15 9.5000e-10 1.093e-05 -1.457e-10
1.820e-11 0. -0.1006 -8.510e-07 0. 1.675e-12 -1.665e-15 -1.665e-15 1.0000e-09 1.093e-05 -1.457e-10
2.853e-11 0. -8.304e-02 -1.334e-06 0. 2.625e-12 1.250e-02 1.250e-02 1.0500e-09 1.134e-05 -2.284e-10
4.471e-11 0. -7.302e-02 -2.090e-06 0. 4.114e-12 2.500e-02 2.500e-02 1.1000e-09 1.188e-05 -3.579e-10
7.008e-11 0. -5.473e-02 -3.276e-06 0. 6.447e-12 3.750e-02 3.750e-02 1.1500e-09 1.263e-05 -5.610e-10
1.098e-10 0. -5.970e-02 -5.135e-06 0. 1.010e-11 5.000e-02 5.000e-02 1.2000e-09 1.372e-05 -8.793e-10
1.721e-10 0. -6.583e-02 -8.048e-06 0. 1.584e-11 6.250e-02 6.250e-02 1.2500e-09 1.533e-05 -1.378e-09
2.698e-10 0. -6.065e-02 -1.261e-05 0. 2.482e-11 7.500e-02 7.500e-02 1.3000e-09 1.777e-05 -2.160e-09
4.229e-10 0. -3.489e-02 -1.977e-05 0. 3.890e-11 8.750e-02 8.750e-02 1.3500e-09 2.150e-05 -3.385e-09
6.627e-10 0. -2.725e-02 -3.098e-05 0. 6.097e-11 0.1000 0.1000 1.4000e-09 2.726e-05 -5.306e-09
1.039e-09 0. -2.489e-03 -4.855e-05 0. 9.556e-11 0.1125 0.1125 1.4500e-09 3.619e-05 -8.315e-09
1.628e-09 0. 1.527e-02 -7.608e-05 0. 1.498e-10 0.1250 0.1250 1.5000e-09 5.010e-05 -1.303e-08
2.551e-09 0. 2.169e-02 -1.192e-04 0. 2.347e-10 0.1375 0.1375 1.5500e-09 7.181e-05 -2.042e-08
3.997e-09 0. 2.263e-02 -1.867e-04 0. 3.677e-10 0.1500 0.1500 1.6000e-09 1.057e-04 -3.200e-08
6.262e-09 0. 3.308e-02 -2.924e-04 0. 5.761e-10 0.1625 0.1625 1.6500e-09 1.587e-04 -5.014e-08
9.808e-09 0. 3.531e-02 -4.578e-04 0. 9.024e-10 0.1750 0.1750 1.7000e-09 2.416e-04 -7.855e-08
1.536e-08 0. 5.575e-02 -7.161e-04 0. 1.413e-09 0.1875 0.1875 1.7500e-09 3.710e-04 -1.230e-07
2.403e-08 0. 5.283e-02 -1.119e-03 0. 2.211e-09 0.2000 0.2000 1.8000e-09 5.727e-04 -1.926e-07
