Vd Vg Vs Vb Lg PHIG Nch TFIN HFIN tins alpha1_P alpha11_P cgsfe t_FE gauss_n SSrolloff ul QMFACTORCV qs vfe qmguess q0 q1 q2 q3 q4 ids0  
0.1 0.0 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 7.03067792404e-07 -1.3757166537e-06 7.03104256554e-07 -1.75704785208e-05 -1.75618008541e-05 -1.75462007742e-05 -1.75236971146e-05 -1.74943199555e-05 8.67633025597e-14
0.1 0.010101010101 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 9.73211977084e-07 -1.90431696477e-06 9.73275203771e-07 -2.43196935181e-05 -2.43076813293e-05 -2.42860905238e-05 -2.42549437567e-05 -2.42142871e-05 1.20095373523e-13
0.1 0.020202020202 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 1.34715599462e-06 -2.63602593799e-06 1.34726081206e-06 -3.36606542928e-05 -3.36440294041e-05 -3.36141458224e-05 -3.35710412211e-05 -3.35147725778e-05 1.6623030768e-13
0.1 0.030303030303 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 1.86477994495e-06 -3.6488783208e-06 1.86495267836e-06 -4.6588052579e-05 -4.65650460258e-05 -4.65236901356e-05 -4.64640354395e-05 -4.63861643057e-05 2.30083977123e-13
0.1 0.040404040404 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 2.58127548983e-06 -5.05086951432e-06 2.58157128443e-06 -6.44779366936e-05 -6.44461000156e-05 -6.43888706961e-05 -6.43063174271e-05 -6.41985574518e-05 3.18458555721e-13
0.1 0.0505050505051 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 3.57303761063e-06 -6.99148417601e-06 3.57355653504e-06 -8.92336298128e-05 -8.91895762528e-05 -8.91103861366e-05 -8.89961544598e-05 -8.88470433568e-05 4.40765442295e-13
0.1 0.0606060606061 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 4.94583887667e-06 -9.6776910885e-06 4.94672208454e-06 -0.000123487283515 -0.000123426329914 -0.000123316762097 -0.000123158711182 -0.000122952399526 6.10024591264e-13
0.1 0.0707070707071 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 6.84601418145e-06 -1.33958287133e-05 6.84754362051e-06 -0.000170878118421 -0.00017079379272 -0.000170642210716 -0.000170423555086 -0.00017013813303 8.44245555241e-13
0.1 0.0808080808081 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 9.47614426082e-06 -1.8542293664e-05 9.47878591355e-06 -0.000236436291733 -0.000236319647678 -0.000236109970725 -0.000235807513648 -0.000235412701111 1.16833515548e-12
0.1 0.0909090909091 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 1.31165681393e-05 -2.56656348415e-05 1.31211369208e-05 -0.00032711204565 -0.000326950724921 -0.000326660738214 -0.000326242434413 -0.000325696401068 1.61673135226e-12
0.1 0.10101010101 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 1.81552400274e-05 -3.55249754398e-05 1.81631592852e-05 -0.000452504402997 -0.000452281341673 -0.000451880371147 -0.000451301973337 -0.000450546960415 2.23703746688e-12
0.1 0.111111111111 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 2.51290202963e-05 -4.91708084005e-05 2.51427592631e-05 -0.000625863400525 -0.000625555051262 -0.000625000768378 -0.000624201217488 -0.000623157520468 3.09503279565e-12
0.1 0.121212121212 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 3.47807432886e-05 -6.80566629381e-05 3.48046064438e-05 -0.000865466415813 -0.000865040308662 -0.000864274345751 -0.00086316944608 -0.00086172715828 4.28157430721e-12
0.1 0.131313131313 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 4.81381582974e-05 -9.41935710379e-05 4.81796482639e-05 -0.00119650460495 -0.00119591600784 -0.00119485795479 -0.0011933317135 -0.00119133942068 5.92209186441e-12
0.1 0.141414141414 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 6.66230175702e-05 -0.000130363523662 6.66952377993e-05 -0.00165366239094 -0.0016528497489 -0.00165138895443 -0.00164928175477 -0.00164653109575 8.18963239839e-12
0.1 0.151515151515 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 9.22018340736e-05 -0.000180414463594 9.23276926981e-05 -0.00228463428277 -0.00228351300972 -0.00228149742138 -0.00227858992348 -0.00227479457351 1.13227470562e-11
0.1 0.161616161616 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.000127594087288 -0.000249667688795 0.000127813694298 -0.00315490226944 -0.00315335633142 -0.00315057736494 -0.00314656867833 -0.00314133585355 1.56499645417e-11
0.1 0.171717171717 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.000176559639099 -0.00034548024885 0.000176943337392 -0.00435419663406 -0.00435206719412 -0.00434823932058 -0.00434271755604 -0.0043355095686 2.16231835137e-11
0.1 0.181818181818 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.000244295228654 -0.000478020779938 0.000244966590852 -0.00600518532168 -0.00600225551358 -0.00599698888687 -0.00598939166728 -0.00597947437015 2.98630802357e-11
0.1 0.191919191919 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.000337980978746 -0.000661338872447 0.000339157488337 -0.00827508171403 -0.00827105637636 -0.00826382040048 -0.00825338229935 -0.00823975646179 4.12205985971e-11
0.1 0.20202020202 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.000467532906885 -0.000914837534972 0.000469598081357 -0.0113910233348 -0.0113855022809 -0.0113755775551 -0.0113612607658 -0.0113425715507 5.68597969069e-11
0.1 0.212121212121 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.00064663777038 -0.00126529811086 0.000650269339829 -0.0156602436072 -0.015652686752 -0.0156391023749 -0.0156195062523 -0.0155939251023 7.83687836508e-11
0.1 0.222222222222 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.000894173927215 -0.00174966052496 0.000900572229691 -0.021496216134 -0.0214858985812 -0.0214673514027 -0.0214405959553 -0.0214056684538 1.07907169152e-10
