Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.05 0.0 0 0 1e-07 1e-07 2.45237564407e-12 4.83901806276e-24 0 0
0.5 0.0 0 0 1e-07 1e-07 2.97761694508e-12 4.23283208273e-24 0 0
0.05 0.00505050505051 0 0 1e-07 1e-07 2.94644910677e-12 5.81391839022e-24 0 0
0.5 0.00505050505051 0 0 1e-07 1e-07 3.57693937918e-12 5.08479612985e-24 0 0
0.05 0.010101010101 0 0 1e-07 1e-07 3.54006247002e-12 6.98522820132e-24 0 0
0.5 0.010101010101 0 0 1e-07 1e-07 4.29689123293e-12 6.10823908727e-24 0 0
0.05 0.0151515151515 0 0 1e-07 1e-07 4.25326993535e-12 8.39251722446e-24 0 0
0.5 0.0151515151515 0 0 1e-07 1e-07 5.16175247687e-12 7.33767520623e-24 0 0
0.05 0.020202020202 0 0 1e-07 1e-07 5.11016605631e-12 1.00833270577e-23 0 0
0.5 0.020202020202 0 0 1e-07 1e-07 6.20069014245e-12 8.81456549824e-24 0 0
0.05 0.0252525252525 0 0 1e-07 1e-07 6.13969977493e-12 1.21147771804e-23 0 0
0.5 0.0252525252525 0 0 1e-07 1e-07 7.448742014e-12 1.05887159012e-23 0 0
0.05 0.030303030303 0 0 1e-07 1e-07 7.37665248257e-12 1.45554945043e-23 0 0
0.5 0.030303030303 0 0 1e-07 1e-07 8.94799833154e-12 1.27199568373e-23 0 0
0.05 0.0353535353535 0 0 1e-07 1e-07 8.86281315074e-12 1.74879316289e-23 0 0
0.5 0.0353535353535 0 0 1e-07 1e-07 1.07490213664e-11 1.5280160792e-23 0 0
0.05 0.040404040404 0 0 1e-07 1e-07 1.06483902523e-11 2.1011152097e-23 0 0
0.5 0.040404040404 0 0 1e-07 1e-07 1.291255077e-11 1.83556659418e-23 0 0
0.05 0.0454545454545 0 0 1e-07 1e-07 1.27937081932e-11 2.52441767217e-23 0 0
0.5 0.0454545454545 0 0 1e-07 1e-07 1.55115522202e-11 2.20501875288e-23 0 0
0.05 0.0505050505051 0 0 1e-07 1e-07 1.5371245601e-11 3.03300039819e-23 0 0
0.5 0.0505050505051 0 0 1e-07 1e-07 1.86336784956e-11 2.64883151288e-23 0 0
0.05 0.0555555555556 0 0 1e-07 1e-07 1.84680843747e-11 3.64404402441e-23 0 0
0.5 0.0555555555556 0 0 1e-07 1e-07 2.23842260324e-11 3.18197137061e-23 0 0
0.05 0.0606060606061 0 0 1e-07 1e-07 2.2188852304e-11 4.37819029023e-23 0 0
0.5 0.0606060606061 0 0 1e-07 1e-07 2.68896867377e-11 3.82241700387e-23 0 0
0.05 0.0656565656566 0 0 1e-07 1e-07 2.66592587788e-11 5.26023923661e-23 0 0
0.5 0.0656565656566 0 0 1e-07 1e-07 3.23020149449e-11 4.59176545735e-23 0 0
0.05 0.0707070707071 0 0 1e-07 1e-07 3.20303431641e-11 6.31998681906e-23 0 0
0.5 0.0707070707071 0 0 1e-07 1e-07 3.88037535775e-11 5.51596029847e-23 0 0
0.05 0.0757575757576 0 0 1e-07 1e-07 3.84835796086e-11 7.59323121501e-23 0 0
0.5 0.0757575757576 0 0 1e-07 1e-07 4.66141926202e-11 6.62616627538e-23 0 0
0.05 0.0808080808081 0 0 1e-07 1e-07 4.62370109966e-11 9.12298176659e-23 0 0
0.5 0.0808080808081 0 0 1e-07 1e-07 5.59967679009e-11 7.95981993593e-23 0 0
0.05 0.0858585858586 0 0 1e-07 1e-07 5.55526197802e-11 1.09609113633e-22 0 0
0.5 0.0858585858586 0 0 1e-07 1e-07 6.72679501707e-11 9.56189158827e-23 0 0
0.05 0.0909090909091 0 0 1e-07 1e-07 6.67451852817e-11 1.3169101229e-22 0 0
0.5 0.0909090909091 0 0 1e-07 1e-07 8.0807924952e-11 1.14864010889e-22 0 0
0.05 0.0959595959596 0 0 1e-07 1e-07 8.01929276805e-11 1.58221369628e-22 0 0
0.5 0.0959595959596 0 0 1e-07 1e-07 9.70734242968e-11 1.37982384688e-22 0 0
0.05 0.10101010101 0 0 1e-07 1e-07 9.63502995109e-11 1.90096264434e-22 0 0
0.5 0.10101010101 0 0 1e-07 1e-07 1.16613144522e-10 1.65753506312e-22 0 0
0.05 0.106060606061 0 0 1e-07 1e-07 1.15763358879e-10 2.28392244543e-22 0 0
0.5 0.106060606061 0 0 1e-07 1e-07 1.40086272108e-10 1.99113676685e-22 0 0
0.05 0.111111111111 0 0 1e-07 1e-07 1.39088246424e-10 2.74402658233e-22 0 0
0.5 0.111111111111 0 0 1e-07 1e-07 1.68284745176e-10 2.39187570096e-22 0 0
0.05 0.116161616162 0 0 1e-07 1e-07 1.67113394322e-10 3.2968129333e-22 0 0
0.5 0.116161616162 0 0 1e-07 1e-07 2.02160005835e-10 2.87326113453e-22 0 0
0.05 0.121212121212 0 0 1e-07 1e-07 2.00786223389e-10 3.96094790773e-22 0 0
0.5 0.121212121212 0 0 1e-07 1e-07 2.42855151431e-10 3.45151973703e-22 0 0
