Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.05 0.0 0 0 1e-07 1e-07 2.45237480513e-12 4.83901640744e-24 0 0
0.5 0.0 0 0 1e-07 1e-07 2.97761605499e-12 4.2328308175e-24 0 0
0.05 0.0102040816327 0 0 1e-07 1e-07 3.55334590209e-12 7.01143886944e-24 0 0
0.5 0.0102040816327 0 0 1e-07 1e-07 4.31300077009e-12 6.13113948075e-24 0 0
0.05 0.0204081632653 0 0 1e-07 1e-07 5.14858937182e-12 1.01591430723e-23 0 0
0.5 0.0204081632653 0 0 1e-07 1e-07 6.24727303237e-12 8.88078481946e-24 0 0
0.05 0.030612244898 0 0 1e-07 1e-07 7.46000661857e-12 1.47199660765e-23 0 0
0.5 0.030612244898 0 0 1e-07 1e-07 9.0490211179e-12 1.2863563749e-23 0 0
0.05 0.0408163265306 0 0 1e-07 1e-07 1.08091225599e-11 2.13283011081e-23 0 0
0.5 0.0408163265306 0 0 1e-07 1e-07 1.31072913671e-11 1.86324934082e-23 0 0
0.05 0.0510204081633 0 0 1e-07 1e-07 1.56618140311e-11 3.09033324881e-23 0 0
0.5 0.0510204081633 0 0 1e-07 1e-07 1.89856140969e-11 2.69885927601e-23 0 0
0.05 0.0612244897959 0 0 1e-07 1e-07 2.26931223475e-11 4.4776875094e-23 0 0
0.5 0.0612244897959 0 0 1e-07 1e-07 2.7500262688e-11 3.9092091926e-23 0 0
0.05 0.0714285714286 0 0 1e-07 1e-07 3.28811707725e-11 6.48785900153e-23 0 0
0.5 0.0714285714286 0 0 1e-07 1e-07 3.98336182243e-11 5.66235018291e-23 0 0
0.05 0.0816326530612 0 0 1e-07 1e-07 4.76432619709e-11 9.40043171932e-23 0 0
0.5 0.0816326530612 0 0 1e-07 1e-07 5.76983927974e-11 8.20168895939e-23 0 0
0.05 0.0918367346939 0 0 1e-07 1e-07 6.90331101764e-11 1.36204802726e-22 0 0
0.5 0.0918367346939 0 0 1e-07 1e-07 8.35755396266e-11 1.18797709533e-22 0 0
0.05 0.102040816327 0 0 1e-07 1e-07 1.00026692427e-10 1.97348793183e-22 0 0
0.5 0.102040816327 0 0 1e-07 1e-07 1.21058937193e-10 1.72072011847e-22 0 0
0.05 0.112244897959 0 0 1e-07 1e-07 1.44936584632e-10 2.85938614901e-22 0 0
0.5 0.112244897959 0 0 1e-07 1e-07 1.75354818012e-10 2.49234775043e-22 0 0
0.05 0.122448979592 0 0 1e-07 1e-07 2.10012634558e-10 4.14291248417e-22 0 0
0.5 0.122448979592 0 0 1e-07 1e-07 2.5400551975e-10 3.60995333941e-22 0 0
0.05 0.132653061224 0 0 1e-07 1e-07 3.04312982171e-10 6.00248269741e-22 0 0
0.5 0.132653061224 0 0 1e-07 1e-07 3.6793853565e-10 5.22861485221e-22 0 0
0.05 0.142857142857 0 0 1e-07 1e-07 4.40967544531e-10 8.69650595618e-22 0 0
0.5 0.142857142857 0 0 1e-07 1e-07 5.32987536705e-10 7.57286664666e-22 0 0
0.05 0.15306122449 0 0 1e-07 1e-07 6.39011717887e-10 1.25991825704e-21 0 0
0.5 0.15306122449 0 0 1e-07 1e-07 7.72098669479e-10 1.09677482427e-21 0 0
0.05 0.163265306122 0 0 1e-07 1e-07 9.26049544128e-10 1.82522476101e-21 0 0
0.5 0.163265306122 0 0 1e-07 1e-07 1.11853286751e-09 1.58836678414e-21 0 0
0.05 0.173469387755 0 0 1e-07 1e-07 1.34212546754e-09 2.64396826553e-21 0 0
0.5 0.173469387755 0 0 1e-07 1e-07 1.62051793337e-09 2.30011565867e-21 0 0
0.05 0.183673469388 0 0 1e-07 1e-07 1.94536117069e-09 3.82954223663e-21 0 0
0.5 0.183673469388 0 0 1e-07 1e-07 2.34801513988e-09 3.33041847869e-21 0 0
0.05 0.19387755102 0 0 1e-07 1e-07 2.82017826572e-09 5.54582759019e-21 0 0
0.5 0.19387755102 0 0 1e-07 1e-07 3.40257835661e-09 4.82143305442e-21 0 0
0.05 0.204081632653 0 0 1e-07 1e-07 4.08932468418e-09 8.02940287629e-21 0 0
0.5 0.204081632653 0 0 1e-07 1e-07 4.93175226698e-09 6.97830442611e-21 0 0
0.05 0.214285714286 0 0 1e-07 1e-07 5.93152405611e-09 1.16212336263e-20 0 0
0.5 0.214285714286 0 0 1e-07 1e-07 7.15016233089e-09 1.00965830477e-20 0 0
0.05 0.224489795918 0 0 1e-07 1e-07 8.60748313518e-09 1.68115710645e-20 0 0
0.5 0.224489795918 0 0 1e-07 1e-07 1.0370518626e-08 1.46010475312e-20 0 0
0.05 0.234693877551 0 0 1e-07 1e-07 1.24983823516e-08 2.43029143349e-20 0 0
0.5 0.234693877551 0 0 1e-07 1e-07 1.50493721169e-08 2.11000999251e-20 0 0
0.05 0.244897959184 0 0 1e-07 1e-07 1.8163039227e-08 3.50969618834e-20 0 0
0.5 0.244897959184 0 0 1e-07 1e-07 2.18548605664e-08 3.04607878467e-20 0 0
0.05 0.255102040816 0 0 1e-07 1e-07 2.64228210475e-08 5.06119507442e-20 0 0
0.5 0.255102040816 0 0 1e-07 1e-07 3.17670601619e-08 4.39098167495e-20 0 0
0.05 0.265306122449 0 0 1e-07 1e-07 3.84868504829e-08 7.28354623785e-20 0 0
0.5 0.265306122449 0 0 1e-07 1e-07 4.62257473289e-08 6.31645212979e-20 0 0
0.05 0.275510204082 0 0 1e-07 1e-07 5.61325832718e-08 1.04512397973e-19 0 0
0.5 0.275510204082 0 0 1e-07 1e-07 6.7343956298e-08 9.05924911836e-20 0 0
0.05 0.285714285714 0 0 1e-07 1e-07 8.19539138641e-08 1.49354837779e-19 0 0
0.5 0.285714285714 0 0 1e-07 1e-07 9.82042933151e-08 1.29385859155e-19 0 0
0.05 0.295918367347 0 0 1e-07 1e-07 1.19670972115e-07 2.12236070689e-19 0 0
0.5 0.295918367347 0 0 1e-07 1e-07 1.432391111e-07 1.8371209848e-19 0 0
0.05 0.30612244898 0 0 1e-07 1e-07 1.7444918656e-07 2.99295634545e-19 0 0
0.5 0.30612244898 0 0 1e-07 1e-07 2.08652100601e-07 2.58767296361e-19 0 0
