x1:ids(unknown) x1.d(voltage) vout(voltage) sweepvar(time) x1.d(current) vin(voltage)
1.883e-08 3.479e-02 3.479e-02 0. 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 2.0000e-10 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 4.0000e-10 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 6.0000e-10 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 8.0000e-10 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 1.0000e-09 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 1.2000e-09 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 1.4000e-09 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 1.6000e-09 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 1.8000e-09 1.883e-08 0.2000
1.883e-08 3.479e-02 3.479e-02 2.0000e-09 1.883e-08 0.2000
1.747e-07 6.799e-04 6.799e-04 2.2000e-09 -7.367e-08 1.1200
2.876e-07 1.998e-03 1.998e-03 2.4000e-09 1.007e-07 2.0400
5.967e-05 0.4121 0.4121 2.6000e-09 5.752e-05 2.9600
1.870e-04 1.3754 1.3754 2.8000e-09 5.645e-05 3.8800
3.469e-04 3.0715 3.0715 3.0000e-09 -6.535e-06 4.8000
3.471e-04 3.0750 3.0750 3.2000e-09 1.324e-07 4.8000
3.471e-04 3.0749 3.0749 3.4000e-09 -2.121e-08 4.8000
3.471e-04 3.0749 3.0749 3.6000e-09 -1.260e-07 4.8000
3.471e-04 3.0749 3.0749 3.8000e-09 -7.046e-08 4.8000
3.471e-04 3.0749 3.0749 4.0000e-09 -1.492e-08 4.8000
3.471e-04 3.0750 3.0750 4.2000e-09 4.063e-08 4.8000
3.471e-04 3.0750 3.0750 4.4000e-09 9.617e-08 4.8000
3.471e-04 3.0750 3.0750 4.6000e-09 1.258e-07 4.8000
3.471e-04 3.0750 3.0750 4.8000e-09 7.038e-08 4.8000
3.471e-04 3.0750 3.0750 5.0000e-09 1.492e-08 4.8000
3.471e-04 3.0749 3.0749 5.2000e-09 -4.053e-08 4.8000
3.471e-04 3.0749 3.0749 5.4000e-09 -9.598e-08 4.8000
3.471e-04 3.0749 3.0749 5.6000e-09 -1.256e-07 4.8000
3.471e-04 3.0749 3.0749 5.8000e-09 -7.023e-08 4.8000
3.471e-04 3.0749 3.0749 6.0000e-09 -1.487e-08 4.8000
3.471e-04 3.0750 3.0750 6.2000e-09 4.049e-08 4.8000
3.471e-04 3.0750 3.0750 6.4000e-09 9.585e-08 4.8000
3.471e-04 3.0750 3.0750 6.6000e-09 1.254e-07 4.8000
3.471e-04 3.0750 3.0750 6.8000e-09 7.014e-08 4.8000
3.471e-04 3.0750 3.0750 7.0000e-09 1.488e-08 4.8000
3.471e-04 3.0749 3.0749 7.2000e-09 -4.039e-08 4.8000
3.471e-04 3.0749 3.0749 7.4000e-09 -9.566e-08 4.8000
3.471e-04 3.0749 3.0749 7.6000e-09 -1.093e-07 4.8000
3.471e-04 3.0750 3.0750 7.8000e-09 1.415e-08 4.8000
3.471e-04 3.0750 3.0750 8.0000e-09 1.376e-07 4.8000
1.844e-04 1.3446 1.3446 8.2000e-09 5.039e-05 3.8800
6.119e-05 0.4209 0.4209 8.4000e-09 6.022e-05 2.9600
2.671e-06 1.788e-03 1.788e-03 8.6000e-09 4.988e-07 2.0400
6.806e-07 2.540e-03 2.540e-03 8.8000e-09 6.729e-07 1.1200
1.016e-09 1.106e-03 1.106e-03 9.0000e-09 2.328e-08 0.2000
4.305e-09 5.054e-03 5.054e-03 9.2000e-09 4.465e-09 0.2000
6.614e-09 8.271e-03 8.271e-03 9.4000e-09 6.750e-09 0.2000
8.427e-09 1.107e-02 1.107e-02 9.6000e-09 8.547e-09 0.2000
1.024e-08 1.386e-02 1.386e-02 9.8000e-09 1.034e-08 0.2000
1.133e-08 1.582e-02 1.582e-02 1.0000e-08 1.143e-08 0.2000
1.210e-08 1.741e-02 1.741e-02 1.0200e-08 1.220e-08 0.2000
1.286e-08 1.899e-02 1.899e-02 1.0400e-08 1.296e-08 0.2000
1.363e-08 2.057e-02 2.057e-02 1.0600e-08 1.373e-08 0.2000
1.440e-08 2.216e-02 2.216e-02 1.0800e-08 1.450e-08 0.2000
1.486e-08 2.322e-02 2.322e-02 1.1000e-08 1.496e-08 0.2000
1.520e-08 2.405e-02 2.405e-02 1.1200e-08 1.528e-08 0.2000
1.553e-08 2.487e-02 2.487e-02 1.1400e-08 1.560e-08 0.2000
1.586e-08 2.570e-02 2.570e-02 1.1600e-08 1.592e-08 0.2000
1.619e-08 2.652e-02 2.652e-02 1.1800e-08 1.624e-08 0.2000
1.642e-08 2.714e-02 2.714e-02 1.2000e-08 1.646e-08 0.2000
1.661e-08 2.767e-02 2.767e-02 1.2200e-08 1.664e-08 0.2000
1.679e-08 2.819e-02 2.819e-02 1.2400e-08 1.682e-08 0.2000
1.698e-08 2.872e-02 2.872e-02 1.2600e-08 1.700e-08 0.2000
1.716e-08 2.925e-02 2.925e-02 1.2800e-08 1.718e-08 0.2000
1.730e-08 2.965e-02 2.965e-02 1.3000e-08 1.731e-08 0.2000
1.741e-08 3.000e-02 3.000e-02 1.3200e-08 1.742e-08 0.2000
1.752e-08 3.035e-02 3.035e-02 1.3400e-08 1.753e-08 0.2000
1.763e-08 3.070e-02 3.070e-02 1.3600e-08 1.764e-08 0.2000
1.774e-08 3.105e-02 3.105e-02 1.3800e-08 1.775e-08 0.2000
1.783e-08 3.131e-02 3.131e-02 1.4000e-08 1.784e-08 0.2000
1.790e-08 3.154e-02 3.154e-02 1.4200e-08 1.791e-08 0.2000
1.797e-08 3.177e-02 3.177e-02 1.4400e-08 1.798e-08 0.2000
1.804e-08 3.201e-02 3.201e-02 1.4600e-08 1.805e-08 0.2000
1.811e-08 3.224e-02 3.224e-02 1.4800e-08 1.812e-08 0.2000
1.816e-08 3.241e-02 3.241e-02 1.5000e-08 1.817e-08 0.2000
1.820e-08 3.257e-02 3.257e-02 1.5200e-08 1.821e-08 0.2000
1.825e-08 3.273e-02 3.273e-02 1.5400e-08 1.826e-08 0.2000
1.829e-08 3.288e-02 3.288e-02 1.5600e-08 1.830e-08 0.2000
1.834e-08 3.304e-02 3.304e-02 1.5800e-08 1.835e-08 0.2000
1.837e-08 3.316e-02 3.316e-02 1.6000e-08 1.838e-08 0.2000
1.840e-08 3.326e-02 3.326e-02 1.6200e-08 1.841e-08 0.2000
1.843e-08 3.337e-02 3.337e-02 1.6400e-08 1.844e-08 0.2000
1.847e-08 3.348e-02 3.348e-02 1.6600e-08 1.847e-08 0.2000
1.850e-08 3.358e-02 3.358e-02 1.6800e-08 1.850e-08 0.2000
1.852e-08 3.366e-02 3.366e-02 1.7000e-08 1.852e-08 0.2000
1.854e-08 3.374e-02 3.374e-02 1.7200e-08 1.854e-08 0.2000
1.856e-08 3.381e-02 3.381e-02 1.7400e-08 1.856e-08 0.2000
1.858e-08 3.388e-02 3.388e-02 1.7600e-08 1.858e-08 0.2000
1.860e-08 3.395e-02 3.395e-02 1.7800e-08 1.860e-08 0.2000
1.862e-08 3.401e-02 3.401e-02 1.8000e-08 1.862e-08 0.2000
1.863e-08 3.406e-02 3.406e-02 1.8200e-08 1.863e-08 0.2000
1.864e-08 3.411e-02 3.411e-02 1.8400e-08 1.864e-08 0.2000
1.866e-08 3.416e-02 3.416e-02 1.8600e-08 1.866e-08 0.2000
1.867e-08 3.421e-02 3.421e-02 1.8800e-08 1.867e-08 0.2000
1.868e-08 3.425e-02 3.425e-02 1.9000e-08 1.868e-08 0.2000
1.869e-08 3.428e-02 3.428e-02 1.9200e-08 1.869e-08 0.2000
1.870e-08 3.432e-02 3.432e-02 1.9400e-08 1.870e-08 0.2000
1.871e-08 3.435e-02 3.435e-02 1.9600e-08 1.871e-08 0.2000
1.872e-08 3.439e-02 3.439e-02 1.9800e-08 1.872e-08 0.2000
1.873e-08 3.442e-02 3.442e-02 2.0000e-08 1.873e-08 0.2000
