vinaux(voltage) x1.d(voltage) x1:ids(unknown) vout(voltage) sweepvar(time) x1.d(current) vin(voltage)
0.3297 0.4559 1.100e-06 0.4559 0. 1.100e-06 0.
0.3297 0.4559 1.100e-06 0.4559 2.0000e-10 1.100e-06 0.
0.3297 0.4559 1.100e-06 0.4559 4.0000e-10 1.100e-06 0.
0.3297 0.4559 1.100e-06 0.4559 6.0000e-10 1.100e-06 0.
0.3297 0.4559 1.100e-06 0.4559 8.0000e-10 1.100e-06 0.
0.3297 0.4559 1.100e-06 0.4559 1.0000e-09 1.100e-06 0.
0.3761 0.3131 2.179e-06 0.3131 1.2000e-09 2.164e-06 5.000e-02
0.4186 2.301e-02 7.603e-07 2.301e-02 1.4000e-09 7.421e-07 0.1000
0.4642 2.603e-03 1.233e-07 2.603e-03 1.6000e-09 1.242e-07 0.1500
0.5101 7.615e-04 4.166e-08 7.615e-04 1.8000e-09 3.290e-08 0.2000
0.5560 2.133e-04 1.448e-08 2.133e-04 2.0000e-09 1.104e-08 0.2500
0.6018 2.473e-04 1.865e-08 2.473e-04 2.2000e-09 1.120e-10 0.3000
0.6473 2.036e-04 1.581e-08 2.036e-04 2.4000e-09 2.249e-09 0.3500
0.6929 1.587e-04 1.286e-08 1.587e-04 2.6000e-09 4.596e-09 0.4000
0.7385 1.138e-04 9.918e-09 1.138e-04 2.8000e-09 6.943e-09 0.4500
0.7840 6.883e-05 6.971e-09 6.883e-05 3.0000e-09 9.290e-09 0.5000
0.7840 -4.729e-06 8.750e-10 -4.729e-06 3.2000e-09 -4.619e-10 0.5000
0.7840 6.701e-06 8.133e-10 6.701e-06 3.4000e-09 6.543e-10 0.5000
0.7840 4.531e-06 7.995e-10 4.531e-06 3.6000e-09 4.425e-10 0.5000
0.7840 6.268e-07 7.918e-10 6.268e-07 3.8000e-09 6.127e-11 0.5000
0.7840 -3.277e-06 7.840e-10 -3.277e-06 4.0000e-09 -3.199e-10 0.5000
0.7840 -7.181e-06 7.763e-10 -7.181e-06 4.2000e-09 -7.011e-10 0.5000
0.7840 -5.914e-06 7.735e-10 -5.914e-06 4.4000e-09 -5.774e-10 0.5000
0.7840 -3.886e-06 7.714e-10 -3.886e-06 4.6000e-09 -3.794e-10 0.5000
0.7840 -1.858e-06 7.693e-10 -1.858e-06 4.8000e-09 -1.814e-10 0.5000
0.7840 1.695e-07 7.672e-10 0. 5.0000e-09 1.666e-11 0.5000
0.7840 2.197e-06 7.652e-10 2.197e-06 5.2000e-09 2.147e-10 0.5000
0.7840 4.225e-06 7.631e-10 4.225e-06 5.4000e-09 4.127e-10 0.5000
0.7840 6.253e-06 7.610e-10 6.253e-06 5.6000e-09 6.107e-10 0.5000
0.7840 3.669e-06 7.372e-10 3.669e-06 5.8000e-09 3.584e-10 0.5000
0.7840 -6.706e-06 6.769e-10 -6.706e-06 6.0000e-09 -6.549e-10 0.5000
0.7385 -1.336e-04 1.281e-08 -1.336e-04 6.2000e-09 -4.366e-09 0.4500
