x1:ids(unknown) x1.d(voltage) vout(voltage) x1.d(current) sweepvar(volt) vin(voltage)
2.113e-11 0.5000 0.5000 2.228e-11 0. 0.
3.066e-11 0.5000 0.5000 3.178e-11 1.0000e-02 1.000e-02
4.447e-11 0.5000 0.5000 4.559e-11 2.0000e-02 2.000e-02
6.450e-11 0.5000 0.5000 6.560e-11 3.0000e-02 3.000e-02
9.356e-11 0.5000 0.5000 9.470e-11 4.0000e-02 4.000e-02
1.357e-10 0.5000 0.5000 1.367e-10 5.0000e-02 5.000e-02
1.968e-10 0.5000 0.5000 1.979e-10 6.0000e-02 6.000e-02
2.855e-10 0.5000 0.5000 2.865e-10 7.0000e-02 7.000e-02
4.140e-10 0.5000 0.5000 4.150e-10 8.0000e-02 8.000e-02
6.004e-10 0.4999 0.4999 6.013e-10 9.0000e-02 9.000e-02
8.704e-10 0.4999 0.4999 8.713e-10 0.10000 0.1000
1.262e-09 0.4998 0.4998 1.262e-09 0.11000 0.1100
1.828e-09 0.4997 0.4997 1.829e-09 0.12000 0.1200
2.647e-09 0.4994 0.4994 2.648e-09 0.13000 0.1300
3.830e-09 0.4990 0.4990 3.831e-09 0.14000 0.1400
5.536e-09 0.4980 0.4980 5.536e-09 0.15000 0.1500
7.985e-09 0.4961 0.4961 7.986e-09 0.16000 0.1600
1.148e-08 0.4919 0.4919 1.148e-08 0.17000 0.1700
1.641e-08 0.4810 0.4810 1.641e-08 0.18000 0.1800
2.246e-08 0.3920 0.3920 2.246e-08 0.19000 0.1900
1.882e-08 3.479e-02 3.479e-02 1.883e-08 0.20000 0.2000
1.336e-08 1.251e-02 1.251e-02 1.337e-08 0.21000 0.2100
9.404e-09 5.724e-03 5.724e-03 9.405e-09 0.22000 0.2200
6.529e-09 2.830e-03 2.830e-03 6.585e-09 0.23000 0.2300
4.584e-09 1.460e-03 1.460e-03 4.597e-09 0.24000 0.2400
3.200e-09 7.756e-04 7.756e-04 3.203e-09 0.25000 0.2500
2.228e-09 4.225e-04 4.225e-04 2.229e-09 0.26000 0.2600
1.549e-09 2.352e-04 2.352e-04 1.549e-09 0.27000 0.2700
8.049e-10 1.336e-04 1.336e-04 1.076e-09 0.28000 0.2800
5.730e-10 7.720e-05 7.720e-05 7.472e-10 0.29000 0.2900
4.063e-10 4.534e-05 4.534e-05 5.186e-10 0.30000 0.3000
2.870e-10 2.701e-05 2.701e-05 3.598e-10 0.31000 0.3100
2.022e-10 1.631e-05 1.631e-05 2.497e-10 0.32000 0.3200
1.422e-10 9.959e-06 9.959e-06 1.732e-10 0.33000 0.3300
9.974e-11 6.146e-06 6.146e-06 1.202e-10 0.34000 0.3400
6.988e-11 3.828e-06 3.828e-06 8.336e-11 0.35000 0.3500
4.890e-11 2.405e-06 2.405e-06 5.785e-11 0.36000 0.3600
3.420e-11 1.523e-06 1.523e-06 4.016e-11 0.37000 0.3700
2.391e-11 9.715e-07 9.715e-07 2.790e-11 0.38000 0.3800
1.674e-11 6.244e-07 6.244e-07 1.941e-11 0.39000 0.3900
1.175e-11 4.051e-07 0. 1.356e-11 0.40000 0.4000
