Vd Vg Vs Vb Lg Ids mu  
0.01 0.0 0 0 1e-07 1.06651265717e-13 0.0170645842246
0.12 0.0 0 0 1e-07 2.5239715419e-13 0.0170401796615
0.23 0.0 0 0 1e-07 2.54753584882e-13 0.0170401600168
0.34 0.0 0 0 1e-07 2.55913276507e-13 0.0170407501914
0.45 0.0 0 0 1e-07 2.5727713671e-13 0.0170414709725
0.56 0.0 0 0 1e-07 2.588160068e-13 0.0170422845209
0.67 0.0 0 0 1e-07 2.60489409798e-13 0.0170431689363
0.78 0.0 0 0 1e-07 2.62266729586e-13 0.017044107999
0.89 0.0 0 0 1e-07 2.64124816219e-13 0.017045089409
1.0 0.0 0 0 1e-07 2.66045762581e-13 0.0170461036986
0.01 0.010101010101 0 0 1e-07 1.54523544207e-13 0.017134598981
0.12 0.010101010101 0 0 1e-07 3.65360355084e-13 0.0170999123279
0.23 0.010101010101 0 0 1e-07 3.68749964494e-13 0.0170998728592
0.34 0.010101010101 0 0 1e-07 3.70401416121e-13 0.0171006961631
0.45 0.010101010101 0 0 1e-07 3.72342245459e-13 0.0171017015326
0.56 0.010101010101 0 0 1e-07 3.7453165827e-13 0.0171028359401
0.67 0.010101010101 0 0 1e-07 3.76912029073e-13 0.0171040688129
0.78 0.010101010101 0 0 1e-07 3.79439853565e-13 0.0171053775108
0.89 0.010101010101 0 0 1e-07 3.82082155151e-13 0.0171067448657
1.0 0.010101010101 0 0 1e-07 3.84813543529e-13 0.0171081576644
0.01 0.020202020202 0 0 1e-07 2.24223681165e-13 0.0172336320033
0.12 0.020202020202 0 0 1e-07 5.29498970414e-13 0.0171846475236
0.23 0.020202020202 0 0 1e-07 5.34380250437e-13 0.0171845754103
0.34 0.020202020202 0 0 1e-07 5.36736167093e-13 0.0171857166445
0.45 0.020202020202 0 0 1e-07 5.39503061065e-13 0.0171871100385
0.56 0.020202020202 0 0 1e-07 5.42623641649e-13 0.0171886817295
0.67 0.020202020202 0 0 1e-07 5.46015785364e-13 0.017190389301
0.78 0.020202020202 0 0 1e-07 5.49617584911e-13 0.0171922013453
0.89 0.020202020202 0 0 1e-07 5.53381982417e-13 0.0171940940466
1.0 0.020202020202 0 0 1e-07 5.57272842512e-13 0.0171960490788
0.01 0.030303030303 0 0 1e-07 3.26037122458e-13 0.0173725708239
0.12 0.030303030303 0 0 1e-07 7.68609097057e-13 0.0173040011397
0.23 0.030303030303 0 0 1e-07 7.75649140738e-13 0.0173038771251
0.34 0.030303030303 0 0 1e-07 7.79018430155e-13 0.0173054454981
0.45 0.030303030303 0 0 1e-07 7.82972932946e-13 0.017307360065
0.56 0.030303030303 0 0 1e-07 7.87431945287e-13 0.0173095187888
0.67 0.030303030303 0 0 1e-07 7.92278249741e-13 0.0173118633112
0.78 0.030303030303 0 0 1e-07 7.97423357007e-13 0.0173143504236
0.89 0.030303030303 0 0 1e-07 8.028001383e-13 0.0173169473649
1.0 0.030303030303 0 0 1e-07 8.08356876348e-13 0.0173196289296
0.01 0.040404040404 0 0 1e-07 4.75393522759e-13 0.0175653657022
0.12 0.040404040404 0 0 1e-07 1.11811255674e-12 0.0174705044764
0.23 0.040404040404 0 0 1e-07 1.12828606851e-12 0.0174703007066
0.34 0.040404040404 0 0 1e-07 1.13312068007e-12 0.0174724315091
0.45 0.040404040404 0 0 1e-07 1.13879165306e-12 0.0174750321025
0.56 0.040404040404 0 0 1e-07 1.14518477459e-12 0.0174779630827
0.67 0.040404040404 0 0 1e-07 1.1521321061e-12 0.0174811450481
0.78 0.040404040404 0 0 1e-07 1.15950686833e-12 0.017484519216
0.89 0.040404040404 0 0 1e-07 1.16721284884e-12 0.017488041021
1.0 0.040404040404 0 0 1e-07 1.17517603729e-12 0.0174916761838
0.01 0.0505050505051 0 0 1e-07 6.95660083976e-13 0.0178290693823
0.12 0.0505050505051 0 0 1e-07 1.63117501089e-12 0.017699832638
0.23 0.0505050505051 0 0 1e-07 1.64591264694e-12 0.0176995106165
0.34 0.0505050505051 0 0 1e-07 1.65287929462e-12 0.0177023626655
0.45 0.0505050505051 0 0 1e-07 1.66104680558e-12 0.0177058426614
0.56 0.0505050505051 0 0 1e-07 1.67025246969e-12 0.0177097628888
0.67 0.0505050505051 0 0 1e-07 1.68025472204e-12 0.017714016881
0.78 0.0505050505051 0 0 1e-07 1.69087109428e-12 0.0177185258249
0.89 0.0505050505051 0 0 1e-07 1.70196323125e-12 0.0177232299786
1.0 0.0505050505051 0 0 1e-07 1.7134246214e-12 0.0177280833997
0.01 0.0606060606061 0 0 1e-07 1.02255431583e-12 0.0181832494199
0.12 0.0606060606061 0 0 1e-07 2.38828265314e-12 0.0180105357833
0.23 0.0606060606061 0 0 1e-07 2.4096936598e-12 0.0180100451796
0.34 0.0606060606061 0 0 1e-07 2.41978362963e-12 0.0180137915087
0.45 0.0606060606061 0 0 1e-07 2.43160758506e-12 0.0180183613838
0.56 0.0606060606061 0 0 1e-07 2.44493170372e-12 0.0180235066405
0.67 0.0606060606061 0 0 1e-07 2.45940670918e-12 0.0180290871333
0.78 0.0606060606061 0 0 1e-07 2.47476882129e-12 0.0180349991314
0.89 0.0606060606061 0 0 1e-07 2.49081792229e-12 0.0180411640167
1.0 0.0606060606061 0 0 1e-07 2.50740001358e-12 0.0180475213505
0.01 0.0707070707071 0 0 1e-07 1.51109883028e-12 0.0186485524555
