Vd Vgf Vs Vgb L IDS qtotd qtots vbgs  
0.0 -1.0 1 1 1e-06 6.834e-05 3.922e-03 1.736e-02 -2.124e-02 
0.95 -1.0 1 1 1e-06 5.286e-06 1.694e-02 1.769e-02 -1.642e-03 
0.0 -0.979797979798 1 1 1e-06 6.712e-05 3.748e-03 1.708e-02 -2.086e-02 
0.95 -0.979797979798 1 1 1e-06 5.251e-06 1.667e-02 1.741e-02 -1.631e-03 
0.0 -0.959595959596 1 1 1e-06 6.588e-05 3.579e-03 1.681e-02 -2.048e-02 
0.95 -0.959595959596 1 1 1e-06 5.215e-06 1.639e-02 1.713e-02 -1.620e-03 
0.0 -0.939393939394 1 1 1e-06 6.463e-05 3.415e-03 1.654e-02 -2.009e-02 
0.95 -0.939393939394 1 1 1e-06 5.179e-06 1.611e-02 1.685e-02 -1.609e-03 
0.0 -0.919191919192 1 1 1e-06 6.336e-05 3.258e-03 1.627e-02 -1.969e-02 
0.95 -0.919191919192 1 1 1e-06 5.142e-06 1.583e-02 1.657e-02 -1.597e-03 
0.0 -0.89898989899 1 1 1e-06 6.208e-05 3.106e-03 1.600e-02 -1.929e-02 
0.95 -0.89898989899 1 1 1e-06 5.104e-06 1.555e-02 1.630e-02 -1.585e-03 
0.0 -0.878787878788 1 1 1e-06 6.079e-05 2.960e-03 1.573e-02 -1.889e-02 
0.95 -0.878787878788 1 1 1e-06 5.066e-06 1.528e-02 1.602e-02 -1.574e-03 
0.0 -0.858585858586 1 1 1e-06 5.948e-05 2.820e-03 1.546e-02 -1.849e-02 
0.95 -0.858585858586 1 1 1e-06 5.027e-06 1.500e-02 1.574e-02 -1.561e-03 
0.0 -0.838383838384 1 1 1e-06 5.817e-05 2.686e-03 1.519e-02 -1.808e-02 
0.95 -0.838383838384 1 1 1e-06 4.987e-06 1.472e-02 1.547e-02 -1.549e-03 
0.0 -0.818181818182 1 1 1e-06 5.685e-05 2.558e-03 1.492e-02 -1.767e-02 
0.95 -0.818181818182 1 1 1e-06 4.946e-06 1.445e-02 1.519e-02 -1.537e-03 
0.0 -0.79797979798 1 1 1e-06 5.551e-05 2.436e-03 1.465e-02 -1.725e-02 
0.95 -0.79797979798 1 1 1e-06 4.905e-06 1.417e-02 1.491e-02 -1.524e-03 
0.0 -0.777777777778 1 1 1e-06 5.418e-05 2.319e-03 1.438e-02 -1.684e-02 
0.95 -0.777777777778 1 1 1e-06 4.863e-06 1.390e-02 1.464e-02 -1.511e-03 
0.0 -0.757575757576 1 1 1e-06 5.283e-05 2.208e-03 1.411e-02 -1.642e-02 
0.95 -0.757575757576 1 1 1e-06 4.820e-06 1.362e-02 1.436e-02 -1.497e-03 
0.0 -0.737373737374 1 1 1e-06 5.148e-05 2.103e-03 1.384e-02 -1.600e-02 
