vp vn l qicoreguess deltaaux1s qicore5 qicore2 qicores qicore1 qicores2 qicore4 sweepvar phisguesss phifsnew qicore3
-2.5 0 1e-06 2.196e-09 8.0000 NaN NaN NaN -13.3333 NaN NaN -2.50000 -1.9194 NaN NaN
-2.36206896552 0 1e-06 7.251e-09 0. 3.395e-02 3.395e-02 3.395e-02 7.251e-09 -7.799e-24 3.395e-02 -2.36207 -1.7992 -1.7992 3.395e-02
-2.22413793103 0 1e-06 2.398e-08 0. 2.442e-02 2.442e-02 2.442e-02 2.398e-08 -2.725e-22 2.442e-02 -2.22414 -1.6791 -1.6791 2.442e-02
-2.08620689655 0 1e-06 7.940e-08 0.6882 -1.7231 -1.7231 -1.7231 -1.1470 -5.597e-20 -1.7231 -2.08621 -1.5590 -1.5411 -1.7231
-1.94827586207 0 1e-06 2.634e-07 0. -4.746e-03 -4.746e-03 -4.746e-03 2.634e-07 -3.437e-19 -4.746e-03 -1.94828 -1.4388 -1.4388 -4.746e-03
-1.81034482759 0 1e-06 8.756e-07 3.898e-02 4.308e-02 0.1262 4.308e-02 -6.496e-02 -1.104e-17 -5.543e-02 -1.81034 -1.3187 -1.3191 4.259e-02
-1.6724137931 0 1e-06 2.917e-06 0. -1.440e-04 -1.440e-04 -1.440e-04 2.917e-06 -3.943e-16 -1.440e-04 -1.67241 -1.1986 -1.1986 -1.440e-04
-1.53448275862 0 1e-06 9.742e-06 0. 1.332e-04 1.332e-04 1.332e-04 9.742e-06 -1.346e-14 1.332e-04 -1.53448 -1.0784 -1.0784 1.332e-04
-1.39655172414 0 1e-06 3.263e-05 1.404e-03 6.374e-05 6.374e-05 6.374e-05 -2.308e-03 -4.609e-13 6.374e-05 -1.39655 -0.9583 -0.9583 6.374e-05
-1.25862068966 0 1e-06 1.096e-04 0. 1.141e-04 1.141e-04 1.141e-04 1.096e-04 -1.580e-11 1.141e-04 -1.25862 -0.8382 -0.8382 1.141e-04
-1.12068965517 0 1e-06 3.698e-04 0. -2.195e-05 -2.195e-05 -2.195e-05 3.698e-04 -5.426e-10 -2.195e-05 -1.12069 -0.7180 -0.7180 -2.195e-05
-0.98275862069 0 1e-06 1.252e-03 5.142e-04 -5.274e-05 7.771e-05 -5.274e-05 3.956e-04 -1.867e-08 -5.274e-05 -0.98276 -0.5979 -0.5979 -1.859e-04
-0.844827586207 0 1e-06 4.264e-03 1.674e-03 9.970e-06 -3.359e-05 9.970e-06 1.473e-03 -6.437e-07 -3.359e-05 -0.84483 -0.4778 -0.4778 9.970e-06
-0.706896551724 0 1e-06 1.459e-02 5.684e-03 1.973e-05 1.973e-05 1.973e-05 5.116e-03 -2.225e-05 1.973e-05 -0.70690 -0.3578 -0.3576 1.973e-05
-0.568965517241 0 1e-06 5.011e-02 1.884e-02 7.692e-04 7.716e-04 7.692e-04 1.870e-02 -7.704e-04 7.716e-04 -0.56897 -0.2380 -0.2375 7.692e-04
-0.431034482759 0 1e-06 0.1712 5.237e-02 2.610e-02 2.618e-02 2.610e-02 8.396e-02 -2.611e-02 2.610e-02 -0.43103 -0.1191 -0.1176 2.610e-02
-0.293103448276 0 1e-06 0.5650 5.654e-03 0.5418 0.5418 0.5418 0.5555 -0.5488 0.5418 -0.29310 -2.985e-03 -2.837e-03 0.5418
-0.155172413793 0 1e-06 1.6625 -0.4329 2.5490 2.5569 2.5490 2.3840 -2.7242 2.5490 -0.15517 0.1059 9.643e-02 2.5490
-0.0172413793103 0 1e-06 3.9204 -0.6989 5.3956 5.4044 5.3956 5.0853 -6.3241 5.3956 -1.7241e-02 0.2029 0.1868 5.3956
0.120689655172 0 1e-06 7.2615 -0.6388 8.6099 8.6119 8.6099 8.3261 -11.5350 8.6099 0.12069 0.2886 0.2730 8.6099
0.258620689655 0 1e-06 11.4634 -0.3985 12.1330 12.1364 12.1330 12.1276 -19.6984 12.1330 0.25862 0.3643 0.3551 12.1330
0.396551724138 0 1e-06 17.1351 0.3058 16.1929 16.1943 16.1929 16.6254 -34.3997 16.1929 0.39655 0.4207 0.4294 16.1929
0.534482758621 0 1e-06 23.9522 1.5716 21.3360 22.0930 21.3360 21.3329 -61.9107 21.3360 0.53448 0.4572 0.4871 21.3179
0.672413793103 0 1e-06 29.2633 1.4481 27.7238 28.0736 27.7238 26.8498 -105.9139 27.7238 0.67241 0.5073 0.5257 28.0741
0.810344827586 0 1e-06 35.5249 0.7249 34.9390 34.9914 34.9390 34.3167 -165.7114 34.9390 0.81034 0.5432 0.5515 34.9923
0.948275862069 0 1e-06 42.6584 0.3055 42.6233 42.4514 42.6233 42.1492 -239.9165 42.6233 0.94828 0.5668 0.5700 42.4515
1.08620689655 0 1e-06 50.3117 0.1145 50.5863 50.2390 50.5863 50.1209 -327.5218 50.5863 1.08621 0.5830 0.5841 50.2390
1.22413793103 0 1e-06 58.2613 3.281e-02 58.7281 58.2387 58.7281 58.2066 -427.8112 58.7281 1.22414 0.5952 0.5955 58.2387
1.36206896552 0 1e-06 66.3896 5.238e-03 66.9928 66.3845 66.9928 66.3809 -540.2445 66.9928 1.36207 0.6050 0.6050 66.3845
1.5 0 1e-06 74.6358 -2.184e-04 75.3463 74.6363 75.3463 74.6362 -664.3937 75.3463 1.50000 0.6132 0.6131 74.6363
