Vd Vgf Vs Vgb L IDS qicore xg1 xg2  
1.0 -1.5 0 5.0 5.5e-08 4.369e-04 3.7429 -18.1923 104.5316 
1.0 -1.48 0 5.0 5.5e-08 4.369e-04 3.7437 -18.1908 104.5315 
1.0 -1.46 0 5.0 5.5e-08 4.369e-04 3.7445 -18.1891 104.5314 
1.0 -1.44 0 5.0 5.5e-08 4.370e-04 3.7454 -18.1874 104.5312 
1.0 -1.42 0 5.0 5.5e-08 4.370e-04 3.7463 -18.1855 104.5311 
1.0 -1.4 0 5.0 5.5e-08 4.371e-04 3.7473 -18.1835 104.5309 
1.0 -1.38 0 5.0 5.5e-08 4.371e-04 3.7484 -18.1813 104.5308 
1.0 -1.36 0 5.0 5.5e-08 4.372e-04 3.7496 -18.1789 104.5306 
1.0 -1.34 0 5.0 5.5e-08 4.372e-04 3.7508 -18.1764 104.5304 
1.0 -1.32 0 5.0 5.5e-08 4.373e-04 3.7522 -18.1736 104.5301 
1.0 -1.3 0 5.0 5.5e-08 4.373e-04 3.7537 -18.1706 104.5299 
1.0 -1.28 0 5.0 5.5e-08 4.374e-04 3.7554 -18.1672 104.5296 
1.0 -1.26 0 5.0 5.5e-08 4.375e-04 3.7572 -18.1636 104.5293 
1.0 -1.24 0 5.0 5.5e-08 4.375e-04 3.7592 -18.1595 104.5290 
1.0 -1.22 0 5.0 5.5e-08 4.376e-04 3.7614 -18.1550 104.5287 
1.0 -1.2 0 5.0 5.5e-08 4.377e-04 3.7639 -18.1500 104.5283 
1.0 -1.18 0 5.0 5.5e-08 4.379e-04 3.7668 -18.1443 104.5278 
1.0 -1.16 0 5.0 5.5e-08 4.380e-04 3.7699 -18.1379 104.5273 
1.0 -1.14 0 5.0 5.5e-08 4.381e-04 3.7736 -18.1306 104.5267 
1.0 -1.12 0 5.0 5.5e-08 4.383e-04 3.7778 -18.1221 104.5260 
1.0 -1.1 0 5.0 5.5e-08 4.385e-04 3.7827 -18.1123 104.5253 
1.0 -1.08 0 5.0 5.5e-08 4.387e-04 3.7885 -18.1006 104.5243 
1.0 -1.06 0 5.0 5.5e-08 4.390e-04 3.7954 -18.0867 104.5232 
1.0 -1.04 0 5.0 5.5e-08 4.394e-04 3.8038 -18.0698 104.5219 
1.0 -1.02 0 5.0 5.5e-08 4.398e-04 3.8143 -18.0487 104.5202 
1.0 -1.0 0 5.0 5.5e-08 4.403e-04 3.8276 -18.0220 104.5181 
1.0 -0.98 0 5.0 5.5e-08 4.410e-04 3.8451 -17.9871 104.5153 
1.0 -0.96 0 5.0 5.5e-08 4.420e-04 3.8686 -17.9399 104.5115 
1.0 -0.94 0 5.0 5.5e-08 4.433e-04 3.9019 -17.8733 104.5063 
1.0 -0.92 0 5.0 5.5e-08 4.453e-04 3.9511 -17.7752 104.4985 
1.0 -0.9 0 5.0 5.5e-08 4.482e-04 4.0269 -17.6245 104.4866 
1.0 -0.88 0 5.0 5.5e-08 4.528e-04 4.1457 -17.3897 104.4682 
1.0 -0.86 0 5.0 5.5e-08 4.595e-04 4.3236 -17.0403 104.4410 
1.0 -0.84 0 5.0 5.5e-08 4.682e-04 4.5638 -16.5735 104.4049 
1.0 -0.82 0 5.0 5.5e-08 4.784e-04 4.8535 -16.0166 104.3625 
1.0 -0.8 0 5.0 5.5e-08 4.892e-04 5.1769 -15.4023 104.3163 
1.0 -0.78 0 5.0 5.5e-08 5.003e-04 5.5227 -14.7531 104.2682 
1.0 -0.76 0 5.0 5.5e-08 5.114e-04 5.8839 -14.0824 104.2192 
1.0 -0.74 0 5.0 5.5e-08 5.224e-04 6.2565 -13.3979 104.1698 
1.0 -0.72 0 5.0 5.5e-08 5.333e-04 6.6378 -12.7040 104.1205 
1.0 -0.7 0 5.0 5.5e-08 5.440e-04 7.0263 -12.0035 104.0712 
1.0 -0.68 0 5.0 5.5e-08 5.545e-04 7.4209 -11.2981 104.0222 
1.0 -0.66 0 5.0 5.5e-08 5.648e-04 7.8206 -10.5891 103.9734 
1.0 -0.64 0 5.0 5.5e-08 5.750e-04 8.2250 -9.8772 103.9249 
1.0 -0.62 0 5.0 5.5e-08 5.850e-04 8.6336 -9.1630 103.8767 
1.0 -0.6 0 5.0 5.5e-08 5.948e-04 9.0460 -8.4470 103.8288 
1.0 -0.58 0 5.0 5.5e-08 6.044e-04 9.4620 -7.7295 103.7811 
1.0 -0.56 0 5.0 5.5e-08 6.139e-04 9.8813 -7.0107 103.7337 
1.0 -0.54 0 5.0 5.5e-08 6.233e-04 10.3037 -6.2909 103.6865 
1.0 -0.52 0 5.0 5.5e-08 6.326e-04 10.7291 -5.5702 103.6394 
1.0 -0.5 0 5.0 5.5e-08 6.417e-04 11.1574 -4.8488 103.5925 
1.0 -0.48 0 5.0 5.5e-08 6.507e-04 11.5884 -4.1267 103.5458 
1.0 -0.46 0 5.0 5.5e-08 6.596e-04 12.0222 -3.4042 103.4991 
1.0 -0.44 0 5.0 5.5e-08 6.685e-04 12.4587 -2.6812 103.4524 
1.0 -0.42 0 5.0 5.5e-08 6.772e-04 12.8977 -1.9578 103.4058 
1.0 -0.4 0 5.0 5.5e-08 6.859e-04 13.3394 -1.2342 103.3592 
1.0 -0.38 0 5.0 5.5e-08 6.945e-04 13.7838 -0.5104 103.3125 
1.0 -0.36 0 5.0 5.5e-08 7.030e-04 14.2308 0.2135 103.2658 
1.0 -0.34 0 5.0 5.5e-08 7.115e-04 14.6806 0.9375 103.2188 
1.0 -0.32 0 5.0 5.5e-08 7.199e-04 15.1331 1.6614 103.1717 
1.0 -0.3 0 5.0 5.5e-08 7.283e-04 15.5886 2.3853 103.1244 
1.0 -0.28 0 5.0 5.5e-08 7.367e-04 16.0470 3.1089 103.0767 
1.0 -0.26 0 5.0 5.5e-08 7.450e-04 16.5087 3.8323 103.0286 
1.0 -0.24 0 5.0 5.5e-08 7.532e-04 16.9737 4.5553 102.9800 
1.0 -0.22 0 5.0 5.5e-08 7.615e-04 17.4424 5.2779 102.9308 
1.0 -0.2 0 5.0 5.5e-08 7.698e-04 17.9149 5.9998 102.8810 
1.0 -0.18 0 5.0 5.5e-08 7.781e-04 18.3917 6.7209 102.8303 
1.0 -0.16 0 5.0 5.5e-08 7.864e-04 18.8730 7.4412 102.7785 
1.0 -0.14 0 5.0 5.5e-08 7.948e-04 19.3595 8.1603 102.7257 
1.0 -0.12 0 5.0 5.5e-08 8.033e-04 19.8517 8.8782 102.6715 
1.0 -0.1 0 5.0 5.5e-08 8.120e-04 20.3503 9.5946 102.6157 
1.0 -0.08 0 5.0 5.5e-08 8.209e-04 20.8560 10.3093 102.5582 
1.0 -0.06 0 5.0 5.5e-08 8.302e-04 21.3699 11.0222 102.4988 
1.0 -0.04 0 5.0 5.5e-08 8.399e-04 21.8931 11.7331 102.4374 
1.0 -0.02 0 5.0 5.5e-08 8.501e-04 22.4267 12.4418 102.3737 
1.0 1.33226762955e-15 0 5.0 5.5e-08 8.609e-04 22.9721 13.1482 102.3078 
