Vd Vg Vs Vb L Ids qs  
0.05 0.0 0 0 1e-06 4.788e-13 -3.150e-22 
1.0 0.0 0 0 1e-06 6.483e-13 -2.926e-22 
0.05 0.010101010101 0 0 1e-06 7.075e-13 -7.319e-20 
1.0 0.010101010101 0 0 1e-06 9.580e-13 -7.316e-20 
0.05 0.020202020202 0 0 1e-06 1.045e-12 -1.461e-19 
1.0 0.020202020202 0 0 1e-06 1.416e-12 -1.461e-19 
0.05 0.030303030303 0 0 1e-06 1.545e-12 -2.192e-19 
1.0 0.030303030303 0 0 1e-06 2.092e-12 -2.191e-19 
0.05 0.040404040404 0 0 1e-06 2.283e-12 -2.924e-19 
1.0 0.040404040404 0 0 1e-06 3.091e-12 -2.923e-19 
0.05 0.0505050505051 0 0 1e-06 3.374e-12 -3.659e-19 
1.0 0.0505050505051 0 0 1e-06 4.568e-12 -3.657e-19 
0.05 0.0606060606061 0 0 1e-06 4.985e-12 -4.396e-19 
1.0 0.0606060606061 0 0 1e-06 6.750e-12 -4.394e-19 
0.05 0.0707070707071 0 0 1e-06 7.366e-12 -5.139e-19 
1.0 0.0707070707071 0 0 1e-06 9.974e-12 -5.136e-19 
0.05 0.0808080808081 0 0 1e-06 1.088e-11 -5.890e-19 
1.0 0.0808080808081 0 0 1e-06 1.474e-11 -5.885e-19 
0.05 0.0909090909091 0 0 1e-06 1.608e-11 -6.651e-19 
1.0 0.0909090909091 0 0 1e-06 2.177e-11 -6.644e-19 
0.05 0.10101010101 0 0 1e-06 2.375e-11 -7.429e-19 
1.0 0.10101010101 0 0 1e-06 3.216e-11 -7.418e-19 
0.05 0.111111111111 0 0 1e-06 3.508e-11 -8.231e-19 
1.0 0.111111111111 0 0 1e-06 4.751e-11 -8.214e-19 
0.05 0.121212121212 0 0 1e-06 5.179e-11 -9.068e-19 
1.0 0.121212121212 0 0 1e-06 7.015e-11 -9.044e-19 
0.05 0.131313131313 0 0 1e-06 7.643e-11 -9.957e-19 
1.0 0.131313131313 0 0 1e-06 1.035e-10 -9.921e-19 
0.05 0.141414141414 0 0 1e-06 1.127e-10 -1.092e-18 
1.0 0.141414141414 0 0 1e-06 1.528e-10 -1.087e-18 
0.05 0.151515151515 0 0 1e-06 1.661e-10 -1.200e-18 
1.0 0.151515151515 0 0 1e-06 2.252e-10 -1.192e-18 
0.05 0.161616161616 0 0 1e-06 2.445e-10 -1.324e-18 
1.0 0.161616161616 0 0 1e-06 3.316e-10 -1.313e-18 
0.05 0.171717171717 0 0 1e-06 3.591e-10 -1.472e-18 
1.0 0.171717171717 0 0 1e-06 4.874e-10 -1.455e-18 
0.05 0.181818181818 0 0 1e-06 5.259e-10 -1.653e-18 
1.0 0.181818181818 0 0 1e-06 7.147e-10 -1.628e-18 
0.05 0.191919191919 0 0 1e-06 7.674e-10 -1.882e-18 
1.0 0.191919191919 0 0 1e-06 1.044e-09 -1.846e-18 
0.05 0.20202020202 0 0 1e-06 1.114e-09 -2.177e-18 
1.0 0.20202020202 0 0 1e-06 1.519e-09 -2.125e-18 
0.05 0.212121212121 0 0 1e-06 1.604e-09 -2.562e-18 
1.0 0.212121212121 0 0 1e-06 2.196e-09 -2.486e-18 
0.05 0.222222222222 0 0 1e-06 2.289e-09 -3.064e-18 
1.0 0.222222222222 0 0 1e-06 3.147e-09 -2.956e-18 
0.05 0.232323232323 0 0 1e-06 3.227e-09 -3.715e-18 
1.0 0.232323232323 0 0 1e-06 4.464e-09 -3.562e-18 
0.05 0.242424242424 0 0 1e-06 4.482e-09 -4.545e-18 
1.0 0.242424242424 0 0 1e-06 6.253e-09 -4.332e-18 
0.05 0.252525252525 0 0 1e-06 6.122e-09 -5.583e-18 
1.0 0.252525252525 0 0 1e-06 8.632e-09 -5.290e-18 
0.05 0.262626262626 0 0 1e-06 8.206e-09 -6.850e-18 
1.0 0.262626262626 0 0 1e-06 1.173e-08 -6.452e-18 
0.05 0.272727272727 0 0 1e-06 1.079e-08 -8.361e-18 
1.0 0.272727272727 0 0 1e-06 1.567e-08 -7.829e-18 
0.05 0.282828282828 0 0 1e-06 1.390e-08 -1.012e-17 
1.0 0.282828282828 0 0 1e-06 2.060e-08 -9.422e-18 
0.05 0.292929292929 0 0 1e-06 1.757e-08 -1.213e-17 
1.0 0.292929292929 0 0 1e-06 2.664e-08 -1.123e-17 
0.05 0.30303030303 0 0 1e-06 2.179e-08 -1.438e-17 
1.0 0.30303030303 0 0 1e-06 3.390e-08 -1.323e-17 
0.05 0.313131313131 0 0 1e-06 2.656e-08 -1.687e-17 
1.0 0.313131313131 0 0 1e-06 4.250e-08 -1.543e-17 
0.05 0.323232323232 0 0 1e-06 3.186e-08 -1.959e-17 
1.0 0.323232323232 0 0 1e-06 5.255e-08 -1.781e-17 
0.05 0.333333333333 0 0 1e-06 3.766e-08 -2.252e-17 
1.0 0.333333333333 0 0 1e-06 6.414e-08 -2.036e-17 
0.05 0.343434343434 0 0 1e-06 4.393e-08 -2.565e-17 
1.0 0.343434343434 0 0 1e-06 7.734e-08 -2.306e-17 
0.05 0.353535353535 0 0 1e-06 5.063e-08 -2.898e-17 
1.0 0.353535353535 0 0 1e-06 9.225e-08 -2.591e-17 
0.05 0.363636363636 0 0 1e-06 5.773e-08 -3.248e-17 
1.0 0.363636363636 0 0 1e-06 1.089e-07 -2.889e-17 
0.05 0.373737373737 0 0 1e-06 6.519e-08 -3.615e-17 
1.0 0.373737373737 0 0 1e-06 1.274e-07 -3.199e-17 
0.05 0.383838383838 0 0 1e-06 7.297e-08 -3.997e-17 
1.0 0.383838383838 0 0 1e-06 1.478e-07 -3.521e-17 
0.05 0.393939393939 0 0 1e-06 8.106e-08 -4.394e-17 
1.0 0.393939393939 0 0 1e-06 1.700e-07 -3.854e-17 
0.05 0.40404040404 0 0 1e-06 8.941e-08 -4.805e-17 
1.0 0.40404040404 0 0 1e-06 1.943e-07 -4.197e-17 
0.05 0.414141414141 0 0 1e-06 9.800e-08 -5.229e-17 
1.0 0.414141414141 0 0 1e-06 2.205e-07 -4.550e-17 
0.05 0.424242424242 0 0 1e-06 1.068e-07 -5.665e-17 
1.0 0.424242424242 0 0 1e-06 2.487e-07 -4.911e-17 
0.05 0.434343434343 0 0 1e-06 1.158e-07 -6.113e-17 
1.0 0.434343434343 0 0 1e-06 2.790e-07 -5.282e-17 
0.05 0.444444444444 0 0 1e-06 1.249e-07 -6.572e-17 
1.0 0.444444444444 0 0 1e-06 3.113e-07 -5.660e-17 
0.05 0.454545454545 0 0 1e-06 1.342e-07 -7.040e-17 
1.0 0.454545454545 0 0 1e-06 3.457e-07 -6.046e-17 
0.05 0.464646464646 0 0 1e-06 1.436e-07 -7.518e-17 
1.0 0.464646464646 0 0 1e-06 3.822e-07 -6.439e-17 
0.05 0.474747474747 0 0 1e-06 1.530e-07 -8.006e-17 
1.0 0.474747474747 0 0 1e-06 4.207e-07 -6.838e-17 
0.05 0.484848484848 0 0 1e-06 1.625e-07 -8.501e-17 
1.0 0.484848484848 0 0 1e-06 4.613e-07 -7.244e-17 
