Vd Vg Vs Vb Lg Ids qd  
0.01 0.0 0 0 1e-06 1.45399318606e-15 -5.16105073893e-07
0.12 0.0 0 0 1e-06 4.42215108529e-15 -7.36769375947e-09
0.23 0.0 0 0 1e-06 4.4637867324e-15 -1.05177955619e-10
0.34 0.0 0 0 1e-06 4.4643809491e-15 -1.50147422091e-12
0.45 0.0 0 0 1e-06 4.46438943186e-15 -2.14343853954e-14
0.56 0.0 0 0 1e-06 4.46438955298e-15 -3.05987855702e-16
0.67 0.0 0 0 1e-06 4.46438955466e-15 -4.36814800673e-18
0.78 0.0 0 0 1e-06 4.46438955468e-15 -6.235775915e-20
0.89 0.0 0 0 1e-06 4.46438955468e-15 -8.9019193494e-22
1.0 0.0 0 0 1e-06 4.46438955468e-15 -1.27079884177e-23
0.01 0.010101010101 0 0 1e-06 2.31808603789e-15 -7.62424492173e-07
0.12 0.010101010101 0 0 1e-06 7.05141424044e-15 -1.08840470656e-08
0.23 0.010101010101 0 0 1e-06 7.11782315418e-15 -1.55375869529e-10
0.34 0.010101010101 0 0 1e-06 7.1187709333e-15 -2.21807755526e-12
0.45 0.010101010101 0 0 1e-06 7.11878446323e-15 -3.16642993226e-14
0.56 0.010101010101 0 0 1e-06 7.11878465654e-15 -4.52025606209e-16
0.67 0.010101010101 0 0 1e-06 7.11878465919e-15 -6.45291868275e-18
0.78 0.010101010101 0 0 1e-06 7.11878465923e-15 -9.21190281131e-20
0.89 0.010101010101 0 0 1e-06 7.11878465923e-15 -1.315050717e-21
1.0 0.010101010101 0 0 1e-06 7.11878465923e-15 -1.87730854711e-23
0.01 0.020202020202 0 0 1e-06 3.69236067575e-15 -1.12630363155e-06
0.12 0.020202020202 0 0 1e-06 1.12340688341e-14 -1.60786379218e-08
0.23 0.020202020202 0 0 1e-06 1.13399023303e-14 -2.29531565722e-10
0.34 0.020202020202 0 0 1e-06 1.13414127765e-14 -3.27669164923e-12
0.45 0.020202020202 0 0 1e-06 1.13414343387e-14 -4.67766083839e-14
0.56 0.020202020202 0 0 1e-06 1.13414346465e-14 -6.67762281612e-16
0.67 0.020202020202 0 0 1e-06 1.13414346511e-14 -9.5326805461e-18
0.78 0.020202020202 0 0 1e-06 1.13414346512e-14 -1.36084353514e-19
0.89 0.020202020202 0 0 1e-06 1.13414346512e-14 -1.9426803596e-21
1.0 0.020202020202 0 0 1e-06 1.13414346512e-14 -2.77328501193e-23
0.01 0.030303030303 0 0 1e-06 5.8754186416e-15 -1.6638494725e-06
0.12 0.030303030303 0 0 1e-06 1.78799982171e-14 -2.37524328057e-08
0.23 0.030303030303 0 0 1e-06 1.80485000342e-14 -3.39079290856e-10
0.34 0.030303030303 0 0 1e-06 1.80509048858e-14 -4.84054677814e-12
0.45 0.030303030303 0 0 1e-06 1.8050939216e-14 -6.91015161775e-14
0.56 0.030303030303 0 0 1e-06 1.80509397063e-14 -9.86462843295e-16
0.67 0.030303030303 0 0 1e-06 1.80509397134e-14 -1.40823095504e-17
0.78 0.030303030303 0 0 1e-06 1.80509397135e-14 -2.01032855541e-19
0.89 0.030303030303 0 0 1e-06 1.80509397135e-14 -2.86985660005e-21
1.0 0.030303030303 0 0 1e-06 1.80509397135e-14 -4.0968810211e-23
0.01 0.040404040404 0 0 1e-06 9.33881426319e-15 -2.457946581e-06
0.12 0.040404040404 0 0 1e-06 2.84265770709e-14 -3.50886725817e-08
0.23 0.040404040404 0 0 1e-06 2.86945718497e-14 -5.00910474431e-10
0.34 0.040404040404 0 0 1e-06 2.86983966753e-14 -7.1507775587e-12
0.45 0.040404040404 0 0 1e-06 2.8698451277e-14 -1.02081354399e-13
0.56 0.040404040404 0 0 1e-06 2.86984520562e-14 -1.45726850408e-15
0.67 0.040404040404 0 0 1e-06 2.86984520671e-14 -2.08033240298e-17
0.78 0.040404040404 0 0 1e-06 2.86984520672e-14 -2.96979101297e-19
0.89 0.040404040404 0 0 1e-06 2.86984520672e-14 -4.23954299231e-21
1.0 0.040404040404 0 0 1e-06 2.86984520672e-14 -6.05218505447e-23
0.01 0.0505050505051 0 0 1e-06 1.48260168691e-14 -3.63103668434e-06
0.12 0.0505050505051 0 0 1e-06 4.5140814535e-14 -5.18353191475e-08
0.23 0.0505050505051 0 0 1e-06 4.55665583959e-14 -7.39978259162e-10
0.34 0.0505050505051 0 0 1e-06 4.55726346445e-14 -1.05636040801e-11
0.45 0.0505050505051 0 0 1e-06 4.55727213847e-14 -1.50801364322e-13
0.56 0.0505050505051 0 0 1e-06 4.55727226231e-14 -2.15277393102e-15
0.67 0.0505050505051 0 0 1e-06 4.55727226411e-14 -3.0732053513e-17
0.78 0.0505050505051 0 0 1e-06 4.55727226413e-14 -4.38717275192e-19
0.89 0.0505050505051 0 0 1e-06 4.55727226413e-14 -6.26293480424e-21
1.0 0.0505050505051 0 0 1e-06 4.55727226413e-14 -8.9406901848e-23
0.01 0.0606060606061 0 0 1e-06 2.3507206598e-14 -5.36399695703e-06
0.12 0.0606060606061 0 0 1e-06 7.15921693204e-14 -7.65745776619e-08
0.23 0.0606060606061 0 0 1e-06 7.22676823275e-14 -1.09314508663e-09
0.34 0.0606060606061 0 0 1e-06 7.22773233435e-14 -1.56052583427e-11
0.45 0.0606060606061 0 0 1e-06 7.22774609734e-14 -2.22773802474e-13
0.56 0.0606060606061 0 0 1e-06 7.2277462938e-14 -3.18022079331e-15
0.67 0.0606060606061 0 0 1e-06 7.22774629669e-14 -4.53994328873e-17
0.78 0.0606060606061 0 0 1e-06 7.22774629672e-14 -6.48102330135e-19
0.89 0.0606060606061 0 0 1e-06 7.22774629672e-14 -9.25202372834e-21
1.0 0.0606060606061 0 0 1e-06 7.22774629672e-14 -1.3207782026e-22
0.01 0.0707070707071 0 0 1e-06 3.72209016999e-14 -7.92402707163e-06
0.12 0.0707070707071 0 0 1e-06 1.13390922623e-13 -1.13121052444e-07
0.23 0.0707070707071 0 0 1e-06 1.14461325422e-13 -1.61486660645e-09
0.34 0.0707070707071 0 0 1e-06 1.14476602429e-13 -2.30531252493e-11
0.45 0.0707070707071 0 0 1e-06 1.14476820519e-13 -3.29096273703e-13
0.56 0.0707070707071 0 0 1e-06 1.1447682363e-13 -4.69803361535e-15
0.67 0.0707070707071 0 0 1e-06 1.14476823674e-13 -6.70670609635e-17
0.78 0.0707070707071 0 0 1e-06 1.14476823675e-13 -9.57419855742e-19
0.89 0.0707070707071 0 0 1e-06 1.14476823675e-13 -1.36677046377e-20
1.0 0.0707070707071 0 0 1e-06 1.14476823675e-13 -1.95114138216e-22
0.01 0.0808080808081 0 0 1e-06 5.88503134161e-14 -1.17058431718e-05
0.12 0.0808080808081 0 0 1e-06 1.79338805651e-13 -1.671099288e-07
0.23 0.0808080808081 0 0 1e-06 1.81032579095e-13 -2.38558832447e-09
